side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,be,2026-04-24T15:05:00.000Z,2026-04-24T15:10:00.000Z,2026-04-24T16:40:00.000Z,3.3990194,3.3979996941799997,4589.808788565866,15600.849114625877,0.6410,6.2403,-10.9206,-0.1092,-0.2763,1.9727,18,0.7989
short,sweep,sl,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-25T06:15:00.000Z,3.4429668,3.4829945849999997,2562.406217452607,8822.279534802907,1.1323,3.5289,-106.0964,-1.0621,-1.0526,0.7431,108,0.7220
short,sweep,sl,2026-04-25T08:10:00.000Z,2026-04-25T08:15:00.000Z,2026-04-25T08:45:00.000Z,3.4929518,3.5110590018,5795.043478234673,20241.807548378063,0.4882,8.0967,-113.0287,-1.1437,-1.4687,0.5835,6,0.7867
short,sweep,tp,2026-04-25T13:50:00.000Z,2026-04-25T13:55:00.000Z,2026-04-25T14:00:00.000Z,3.5749272000000003,3.524484,5354.925405557535,19143.468486298665,0.5104,7.6574,262.4622,2.6864,-0.6069,4.3260,1,0.7171
short,sweep,sl,2026-04-26T04:50:00.000Z,2026-04-26T04:55:00.000Z,2026-04-26T05:10:00.000Z,3.5799257,3.603270657,4506.055204859106,16131.34283349388,0.6219,6.4525,-111.6462,-1.1129,-2.3389,0.2662,3,0.7900
short,sigma,sl,2026-04-26T05:20:00.000Z,2026-04-26T05:25:00.000Z,2026-04-26T05:25:00.000Z,3.6389080000000003,3.6493764846,8178.912702072246,29762.310862872317,0.2576,11.9049,-97.5257,-1.2720,-1.0766,0.5236,0,0.5980
short,sweep,sl,2026-04-26T06:55:00.000Z,2026-04-26T07:00:00.000Z,2026-04-26T07:10:00.000Z,3.7368786000000003,3.7957123721999997,1702.6044609470837,6362.426174377693,1.5439,2.5450,-102.7156,-1.0456,-1.0940,0.7779,2,0.7920
short,sweep,be,2026-04-26T14:50:00.000Z,2026-04-26T14:55:00.000Z,2026-04-26T15:20:00.000Z,3.6539034999999997,3.6549996710499997,6303.640561681255,23032.894311069103,0.4220,9.2132,-16.1230,-0.1659,-0.6547,1.0962,5,0.7007
short,sweep,sl,2026-04-26T19:10:00.000Z,2026-04-26T19:15:00.000Z,2026-04-26T19:30:00.000Z,3.7208834,3.7506088451999995,3393.077733377291,12625.246613033189,0.7687,5.0501,-105.9108,-1.0914,-1.7173,0.1358,3,0.8500
short,sweep,tp,2026-04-26T20:40:00.000Z,2026-04-26T20:45:00.000Z,2026-04-26T20:50:00.000Z,3.8328498000000004,3.795966000000001,6941.246913738135,26604.75684507183,0.3608,10.6419,245.3777,2.5564,-0.6617,3.6773,1,0.7869
short,sweep,sl,2026-04-27T03:05:00.000Z,2026-04-27T03:10:00.000Z,2026-04-27T03:10:00.000Z,3.8618411,3.8829125244,4944.955124822964,19096.63093869695,0.5155,7.6387,-111.8359,-1.1361,-1.0629,0.0000,0,0.8015
long,sweep,be,2026-04-27T16:45:00.000Z,2026-04-27T16:50:00.000Z,2026-04-27T19:25:00.000Z,3.5300586999999997,3.52899968239,4405.889353825502,15553.048044709092,0.6257,6.2212,-10.8871,-0.1119,-0.4554,1.2197,31,0.8247
short,sweep,sl,2026-04-27T23:20:00.000Z,2026-04-27T23:25:00.000Z,2026-04-28T00:05:00.000Z,3.5679293,3.5942499515999997,3851.0736503436297,13740.358513518991,0.7075,5.4961,-106.8589,-1.0992,-1.1120,0.2745,8,0.7077
short,sweep,be,2026-04-28T08:30:00.000Z,2026-04-28T08:35:00.000Z,2026-04-28T10:00:00.000Z,3.6119161,3.61299967483,3649.255015813136,13180.802944621222,0.7294,5.2723,-9.2266,-0.0960,-0.3068,1.4392,17,0.8165
short,sweep,sl,2026-04-29T02:50:00.000Z,2026-04-29T02:55:00.000Z,2026-04-29T03:35:00.000Z,3.5739275000000004,3.5962545527999996,4520.34929997407,16155.40067278308,0.5945,6.4622,-107.3882,-1.1180,-1.0858,0.6555,8,0.8500
short,sweep,tp,2026-04-29T10:15:00.000Z,2026-04-29T10:20:00.000Z,2026-04-29T12:00:00.000Z,3.6079173,3.5452619999999997,4253.573191581056,15346.540304721506,0.6189,6.1386,260.3703,2.7414,-0.1381,3.1313,20,0.8500
long,sweep,sl,2026-04-29T12:15:00.000Z,2026-04-29T12:20:00.000Z,2026-04-29T12:30:00.000Z,3.5360605,3.5129038126,4414.906123992332,15611.375156257389,0.6251,6.2446,-108.4792,-1.1117,-1.4958,0.0000,2,0.7430
long,sweep,be,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-04-30T04:40:00.000Z,3.4100227,3.40899969319,2855.856280199642,9738.534743418339,0.9909,3.8954,-6.8170,-0.0706,-0.7110,2.6037,125,0.8500
long,sweep,sl,2026-04-30T18:10:00.000Z,2026-04-30T18:15:00.000Z,2026-04-30T20:50:00.000Z,3.4390314,3.4181222556000006,4849.6485184413805,16678.093533883388,0.5782,6.6712,-108.0732,-1.1208,-1.0577,0.2499,31,0.7906
short,sweep,sl,2026-05-01T00:45:00.000Z,2026-05-01T00:50:00.000Z,2026-05-01T01:50:00.000Z,3.4379683,3.4549301681999998,5986.975075872853,20583.030523740967,0.4632,8.2332,-109.7835,-1.1514,-1.1950,0.5003,12,0.7711
short,sweep,sl,2026-05-01T07:40:00.000Z,2026-05-01T07:45:00.000Z,2026-05-01T07:50:00.000Z,3.4869536,3.5170728054,3242.7620739529216,11307.360887713607,0.8335,4.5229,-102.1924,-1.0843,-1.8595,0.1016,1,0.7635
short,sweep,sl,2026-05-01T07:55:00.000Z,2026-05-01T08:00:00.000Z,2026-05-01T08:15:00.000Z,3.5239425,3.5581671299999997,2811.6417223541966,9908.063760177154,0.9409,3.9632,-100.1906,-1.0747,-1.2986,0.0586,3,0.8500
short,sweep,sl,2026-05-01T13:20:00.000Z,2026-05-01T13:25:00.000Z,2026-05-01T13:30:00.000Z,3.6509044000000004,3.6644109936,7432.952720712848,27136.99979304251,0.3399,10.8548,-111.2487,-1.2063,-1.9420,0.0729,1,0.7153
short,sweep,be,2026-05-01T13:35:00.000Z,2026-05-01T13:40:00.000Z,2026-05-01T21:30:00.000Z,3.6678993,3.6689996697900003,2988.9943299602032,10963.330210564998,0.8311,4.3853,-7.6743,-0.0842,-0.9219,2.8508,94,0.8500
long,sweep,sl,2026-05-02T11:10:00.000Z,2026-05-02T11:15:00.000Z,2026-05-02T11:20:00.000Z,3.8201457,3.8022369866,5429.240393757273,20740.489344478152,0.4389,8.2962,-105.5269,-1.1592,-1.4400,0.4684,1,0.7324
long,sweep,tp,2026-05-03T03:25:00.000Z,2026-05-03T03:30:00.000Z,2026-05-03T05:05:00.000Z,3.7221163,3.7702719999999994,5129.9353540766915,19094.215999355125,0.4712,7.6377,239.3979,2.6606,-0.2347,3.0150,19,0.7016
short,sweep,be,2026-05-03T05:05:00.000Z,2026-05-03T05:10:00.000Z,2026-05-03T07:30:00.000Z,3.7548732,3.75599966196,3337.617951006477,12532.332196073134,0.7371,5.0129,-8.7726,-0.0950,-0.4382,1.6936,28,0.8500
long,sweep,be,2026-05-03T11:00:00.000Z,2026-05-03T11:05:00.000Z,2026-05-03T21:35:00.000Z,3.7231166,3.7219996650200002,3126.396854222228,11639.940026142556,0.7928,4.6560,-8.1480,-0.0883,-0.3088,2.7062,126,0.7535
short,sweep,sl,2026-05-04T03:20:00.000Z,2026-05-04T03:25:00.000Z,2026-05-04T04:05:00.000Z,3.7728678,3.7947100716,4453.462514893644,16802.32532094925,0.5488,6.7209,-103.9947,-1.1279,-1.0690,0.4283,8,0.8500
long,sweep,be,2026-05-04T06:25:00.000Z,2026-05-04T06:30:00.000Z,2026-05-04T08:30:00.000Z,3.7661295,3.76499966115,2424.5158283970222,9131.040584542963,0.9984,3.6524,-6.3917,-0.0701,-0.0566,1.1401,24,0.7221
short,sweep,be,2026-05-05T05:30:00.000Z,2026-05-05T05:35:00.000Z,2026-05-05T06:50:00.000Z,3.7068876000000004,3.70799966628,5192.034527731035,19246.28840961803,0.4733,7.6985,-13.4724,-0.1479,-0.4053,1.6464,15,0.8500
long,sweep,sl,2026-05-05T13:30:00.000Z,2026-05-05T13:35:00.000Z,2026-05-05T14:10:00.000Z,3.7701307,3.746365753,4017.843556891345,15147.795341633257,0.6005,6.0591,-101.5430,-1.1163,-1.1983,0.4359,7,0.7666
long,sweep,sl,2026-05-05T22:10:00.000Z,2026-05-05T22:15:00.000Z,2026-05-05T22:40:00.000Z,3.7981391,3.7822829745999997,6110.369540679905,23208.03346790539,0.3876,9.2832,-106.1700,-1.1803,-1.8436,0.8057,5,0.7471
short,sweep,sl,2026-05-06T01:25:00.000Z,2026-05-06T01:30:00.000Z,2026-05-06T01:35:00.000Z,3.8068576,3.8227744884,6018.094368105099,22910.028282738094,0.3880,9.1640,-104.9533,-1.1807,-1.3637,0.0000,1,0.8179
short,sweep,sl,2026-05-06T02:35:00.000Z,2026-05-06T02:40:00.000Z,2026-05-06T08:55:00.000Z,3.8528438,3.9129815423999994,1489.7196532328464,5739.657129696322,1.5304,2.2959,-91.8842,-1.0460,-1.0711,0.5061,75,0.7705
short,sweep,tp,2026-05-06T08:55:00.000Z,2026-05-06T09:00:00.000Z,2026-05-06T14:05:00.000Z,3.8978303000000003,3.824504,3342.907778379517,13030.087228673367,0.6671,5.2120,239.9110,2.7601,-0.8911,3.4163,61,0.7679
long,sweep,be,2026-05-06T18:10:00.000Z,2026-05-06T18:15:00.000Z,2026-05-07T01:00:00.000Z,3.8411519999999997,3.8399996543999997,3462.2992254622227,13299.217594482667,0.6716,5.3197,-9.3095,-0.1042,-0.9750,2.5912,81,0.7150
short,sweep,sl,2026-05-07T12:15:00.000Z,2026-05-07T12:20:00.000Z,2026-05-07T12:30:00.000Z,3.9038285,3.9260114501999994,4247.806569484771,16582.70834844188,0.5381,6.6331,-100.8620,-1.1304,-1.6268,0.0000,2,0.8460
long,sweep,sl,2026-05-07T13:50:00.000Z,2026-05-07T13:55:00.000Z,2026-05-07T14:00:00.000Z,3.9021703,3.8750691304,3401.097267207823,13271.66074350953,0.6647,5.3087,-97.4824,-1.1050,-1.2403,0.0000,1,0.7022
long,sweep,sl,2026-05-07T21:10:00.000Z,2026-05-07T21:15:00.000Z,2026-05-08T02:15:00.000Z,3.8331495999999996,3.8002415854000002,2746.3156632668943,10527.03878612523,0.8288,4.2108,-94.5866,-1.0842,-1.0435,0.5934,60,0.7252
long,sweep,tp,2026-05-08T07:05:00.000Z,2026-05-08T07:10:00.000Z,2026-05-08T07:35:00.000Z,3.8721612999999997,3.92716,4340.661392857717,16807.741061827746,0.5134,6.7231,232.0076,2.6884,-0.6117,3.7140,5,0.7204
