side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-24T10:55:00.000Z,2026-04-24T11:00:00.000Z,2026-04-24T11:05:00.000Z,9.294210900000001,9.335427788399999,2603.007514882802,24192.900817605652,0.4133,9.6772,-116.9650,-1.1697,-1.7906,0.0055,1,0.7094
long,sweep,be,2026-04-25T00:30:00.000Z,2026-04-25T00:35:00.000Z,2026-04-25T12:30:00.000Z,9.3648086,9.36199915742,2221.575703566443,20804.631254310076,0.4750,8.3219,-14.5632,-0.1474,-0.1530,1.7352,143,0.7652
long,sweep,sl,2026-04-25T12:30:00.000Z,2026-04-25T12:35:00.000Z,2026-04-25T15:45:00.000Z,9.381813699999999,9.340473017199999,2560.7318878785936,24024.30950772625,0.4108,9.6097,-115.4721,-1.1701,-1.0850,0.8611,38,0.7237
short,sigma,sl,2026-04-26T05:20:00.000Z,2026-04-26T05:25:00.000Z,2026-04-26T08:30:00.000Z,9.39718,9.429644044799998,3113.5935245575606,29258.99879710182,0.3154,11.7036,-112.7834,-1.2223,-1.0737,0.5797,37,0.5749
long,sweep,be,2026-04-26T21:50:00.000Z,2026-04-26T21:55:00.000Z,2026-04-27T05:10:00.000Z,9.4548356,9.451999149319999,1384.2214015135633,13087.58578531233,0.7366,5.2350,-9.1613,-0.0950,-0.4140,1.9121,87,0.7066
long,sweep,tp,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-27T23:50:00.000Z,9.2037603,9.310098000000004,2461.52967436094,22655.32909415515,0.4251,9.0621,252.6913,2.6237,-0.0961,2.9964,51,0.7029
short,sweep,be,2026-04-27T23:55:00.000Z,2026-04-28T00:00:00.000Z,2026-04-28T05:25:00.000Z,9.3122055,9.314999161649999,2787.884104706391,25961.349693209428,0.3807,10.3845,-18.1729,-0.1839,-0.3327,2.0085,65,0.7006
long,sweep,sl,2026-04-28T11:40:00.000Z,2026-04-28T11:45:00.000Z,2026-04-28T13:10:00.000Z,9.1997591,9.1618846098,2808.6961111642427,25839.327607817853,0.3818,10.3357,-116.7137,-1.1830,-1.2173,0.8325,17,0.7089
long,sweep,be,2026-04-28T13:10:00.000Z,2026-04-28T13:15:00.000Z,2026-04-28T13:55:00.000Z,9.1847546,9.18199917362,2116.1614446814915,19436.423563380973,0.5016,7.7746,-13.6055,-0.1396,-0.3637,1.2643,8,0.7732
long,sweep,sl,2026-04-29T13:35:00.000Z,2026-04-29T13:40:00.000Z,2026-04-29T15:05:00.000Z,9.215763899999999,9.1678708134,2156.5893364149915,19874.618153658233,0.4898,7.9498,-111.2356,-1.1426,-1.4347,0.5812,17,0.7054
short,sweep,be,2026-04-29T18:00:00.000Z,2026-04-29T18:05:00.000Z,2026-04-29T21:30:00.000Z,9.098269700000001,9.100999180910001,1265.6138030333207,11514.895716039831,0.8358,4.6060,-8.0604,-0.0838,-0.1148,2.5679,41,0.7006
long,sweep,sl,2026-05-01T06:40:00.000Z,2026-05-01T06:45:00.000Z,2026-05-01T10:10:00.000Z,9.1587468,9.1199811846,2668.964279254126,24444.36805193303,0.3934,9.7777,-113.2418,-1.1776,-1.3252,0.7564,41,0.7161
short,sweep,sl,2026-05-02T15:20:00.000Z,2026-05-02T15:25:00.000Z,2026-05-02T21:35:00.000Z,9.1492544,9.2201632194,1394.5133853292452,12758.757726582493,0.7448,5.1035,-103.9868,-1.0943,-1.5078,0.6641,74,0.8500
long,sweep,tp,2026-05-03T05:45:00.000Z,2026-05-03T05:50:00.000Z,2026-05-03T11:40:00.000Z,9.0837243,9.165425999999997,3044.9809117290934,27659.76710090972,0.3398,11.0639,237.7162,2.5292,-0.8010,3.1839,70,0.7216
short,sweep,be,2026-05-03T15:25:00.000Z,2026-05-03T15:30:00.000Z,2026-05-03T19:30:00.000Z,9.1692484,9.17199917452,2342.604858488993,21479.92585053243,0.4486,8.5920,-15.0359,-0.1560,-0.1641,1.0027,48,0.7194
short,sweep,sl,2026-05-04T08:50:00.000Z,2026-05-04T08:55:00.000Z,2026-05-04T09:15:00.000Z,9.3841839,9.4607153634,1305.5875156342502,12251.87334425593,0.7853,4.9007,-104.8193,-1.0894,-1.1102,0.2467,4,0.8023
short,sweep,be,2026-05-05T00:05:00.000Z,2026-05-05T00:10:00.000Z,2026-05-05T00:50:00.000Z,9.3851836,9.38799915508,2671.6686003202067,25074.100332360158,0.3795,10.0296,-17.5519,-0.1844,-0.1914,1.0720,8,0.7117
short,sweep,sl,2026-05-06T03:35:00.000Z,2026-05-06T03:40:00.000Z,2026-05-06T04:05:00.000Z,9.8550426,9.892706921999999,2737.6802154778184,26979.95514871108,0.3521,10.7920,-113.9049,-1.1991,-1.1228,0.7217,5,0.7040
short,sweep,sl,2026-05-06T09:00:00.000Z,2026-05-06T09:05:00.000Z,2026-05-06T09:10:00.000Z,10.0729772,10.136265967799998,1557.7295646757605,15690.97438874486,0.5981,6.2764,-104.8632,-1.1173,-1.6768,0.2486,1,0.7103
long,sweep,be,2026-05-06T14:05:00.000Z,2026-05-06T14:10:00.000Z,2026-05-06T18:10:00.000Z,9.951984699999999,9.94899910459,894.7365882754474,8904.40483704745,1.0422,3.5618,-6.2331,-0.0672,-0.2891,1.1764,48,0.7069
long,sweep,sl,2026-05-06T18:10:00.000Z,2026-05-06T18:15:00.000Z,2026-05-07T00:40:00.000Z,9.987995499999998,9.9141508622,1308.6077144283795,13070.367962975937,0.7095,5.2281,-101.8618,-1.0984,-1.0441,0.9878,77,0.7103
long,sweep,sl,2026-05-07T00:45:00.000Z,2026-05-07T00:50:00.000Z,2026-05-07T01:00:00.000Z,9.9359799,9.8842198442,1879.779159257338,18677.44794281981,0.4911,7.4710,-104.7685,-1.1422,-1.1473,0.2873,2,0.7187
long,sweep,tp,2026-05-07T01:05:00.000Z,2026-05-07T01:10:00.000Z,2026-05-07T07:40:00.000Z,9.9039703,10.104117999999998,1282.9487647962333,12706.286462963579,0.7136,5.0825,251.6967,2.7758,-0.8768,2.9151,78,0.7214
long,sweep,sl,2026-05-07T13:50:00.000Z,2026-05-07T13:55:00.000Z,2026-05-07T14:30:00.000Z,9.942981999999999,9.883222143600001,1640.860638173673,16315.04778986934,0.5712,6.5260,-104.5836,-1.1222,-1.4259,0.3349,7,0.7026
long,sweep,tp,2026-05-08T09:55:00.000Z,2026-05-08T10:00:00.000Z,2026-05-08T15:00:00.000Z,9.872960999999998,10.042991999999996,1519.920873108113,15006.119503282347,0.6141,6.0024,252.4312,2.7395,-0.1478,2.8378,60,0.7095
short,sweep,sl,2026-05-09T01:15:00.000Z,2026-05-09T01:20:00.000Z,2026-05-09T01:40:00.000Z,10.441866500000001,10.499098785,1750.4324815132636,18277.78228922522,0.5179,7.3111,-107.4924,-1.1354,-1.4077,0.4228,4,0.7140
long,sweep,sl,2026-05-09T14:40:00.000Z,2026-05-09T14:45:00.000Z,2026-05-09T15:05:00.000Z,10.3421017,10.294274790800001,2092.0742791472817,21636.44495889538,0.4326,8.6546,-108.7120,-1.1615,-1.2093,0.2436,4,0.7288
