side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-24T10:25:00.000Z,2026-04-24T10:30:00.000Z,2026-04-24T11:05:00.000Z,56.163146000000005,56.42952378,400.87551211847807,22514.429914934855,0.4442,9.0058,-115.7901,-1.1579,-1.0297,0.3734,7,0.8083
long,sweep,tp,2026-04-24T12:55:00.000Z,2026-04-24T13:00:00.000Z,2026-04-25T01:50:00.000Z,56.166844999999995,56.72641999999998,472.96264799195905,26564.81974055392,0.3721,10.6259,254.0321,2.5701,-0.6548,2.8383,154,0.7128
short,sweep,be,2026-04-25T01:50:00.000Z,2026-04-25T01:55:00.000Z,2026-04-25T15:25:00.000Z,56.513041,56.5299949123,281.24362431413414,15893.932471853259,0.6379,6.3576,-11.1258,-0.1097,-0.4632,1.1181,162,0.8500
long,sweep,sl,2026-04-25T18:20:00.000Z,2026-04-25T18:25:00.000Z,2026-04-26T03:30:00.000Z,55.986791,55.781440546,536.9313715627951,30061.064481029553,0.3369,12.0244,-122.2835,-1.2075,-1.0434,0.7593,109,0.7085
long,sweep,sl,2026-04-26T14:05:00.000Z,2026-04-26T14:10:00.000Z,2026-04-26T17:00:00.000Z,55.956782,55.72157851000001,457.92480687075823,25623.99859045912,0.3904,10.2496,-117.9551,-1.1790,-1.0838,0.4724,34,0.7158
long,sweep,be,2026-04-27T08:00:00.000Z,2026-04-27T08:05:00.000Z,2026-04-27T15:15:00.000Z,55.286581,55.2699950257,400.471387158332,22140.69378431148,0.4465,8.8563,-15.4985,-0.1568,-0.2697,2.4442,86,0.8430
long,sweep,be,2026-04-27T15:50:00.000Z,2026-04-27T15:55:00.000Z,2026-04-28T06:40:00.000Z,55.146539000000004,55.12999503830001,277.02213812281343,15276.812143853118,0.6462,6.1107,-10.6938,-0.1083,-0.3832,1.3006,177,0.8500
long,sweep,sl,2026-04-28T10:30:00.000Z,2026-04-28T10:35:00.000Z,2026-04-28T12:20:00.000Z,55.066514999999995,54.89348701200001,537.2058899580252,29582.05619746194,0.2843,11.8328,-104.7845,-1.2459,-1.0636,0.2778,21,0.7116
long,sweep,be,2026-04-28T13:10:00.000Z,2026-04-28T13:15:00.000Z,2026-04-28T13:55:00.000Z,54.876458,54.8599950626,524.3472961331237,28774.322373662922,0.3390,11.5097,-20.1420,-0.2065,-0.2497,1.0940,8,0.8189
short,sweep,sl,2026-04-29T04:35:00.000Z,2026-04-29T04:40:00.000Z,2026-04-29T09:30:00.000Z,55.923218,56.148879612,466.2228547151172,26072.682340815827,0.3734,10.4291,-115.6377,-1.1878,-1.0860,0.6380,58,0.8332
short,sweep,tp,2026-04-29T18:00:00.000Z,2026-04-29T18:05:00.000Z,2026-04-29T18:05:00.000Z,55.38338,54.64675999999999,359.36201803697224,19902.683202508488,0.4834,7.9611,256.7522,2.6689,-0.0994,3.2625,0,0.8020
long,sweep,sl,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-04-29T18:30:00.000Z,54.67639799999999,54.294866652,270.4229406385784,14785.752330685284,0.6680,5.9143,-109.0891,-1.1045,-1.0306,0.0000,3,0.7025
short,sweep,tp,2026-04-30T00:55:00.000Z,2026-04-30T01:00:00.000Z,2026-04-30T04:45:00.000Z,55.603314,54.98567999999999,428.1749677498705,23807.94717873592,0.4103,9.5232,254.9322,2.6099,-0.4677,3.0830,45,0.8500
long,sweep,be,2026-04-30T13:30:00.000Z,2026-04-30T13:35:00.000Z,2026-04-30T14:15:00.000Z,55.59667399999999,55.57999499779999,421.8066489538005,23451.046752916885,0.4274,9.3804,-16.4157,-0.1638,-0.4069,1.0240,8,0.8500
long,sweep,tp,2026-04-30T21:55:00.000Z,2026-04-30T22:00:00.000Z,2026-05-01T03:20:00.000Z,55.066514999999995,55.44017999999998,545.1389529039665,30018.90232717056,0.2662,12.0076,191.6918,2.3990,-0.3856,3.7761,64,0.7185
long,sweep,sl,2026-05-01T09:25:00.000Z,2026-05-01T09:30:00.000Z,2026-05-01T10:10:00.000Z,55.066514999999995,54.853578987999995,519.0478463738149,28582.15601806137,0.3568,11.4329,-121.9568,-1.1959,-1.2038,0.0177,8,0.8500
short,sweep,sl,2026-05-01T11:20:00.000Z,2026-05-01T11:25:00.000Z,2026-05-01T12:25:00.000Z,55.083470000000005,55.34703913199999,407.98622183984463,22473.296811128428,0.4484,8.9893,-116.5219,-1.1564,-1.2007,0.1760,12,0.7978
short,sweep,be,2026-05-02T16:00:00.000Z,2026-05-02T16:05:00.000Z,2026-05-02T19:40:00.000Z,55.303404,55.3199950212,540.2658665113371,29878.541483086545,0.3025,11.9514,-20.9150,-0.2314,-0.6371,1.0962,43,0.8152
short,sweep,be,2026-05-02T23:35:00.000Z,2026-05-02T23:40:00.000Z,2026-05-03T11:45:00.000Z,55.273413,55.2899950239,503.7124303069455,27841.905193589515,0.3570,11.1368,-19.4893,-0.1961,-0.4388,2.3994,145,0.8500
short,sweep,sl,2026-05-03T20:05:00.000Z,2026-05-03T20:10:00.000Z,2026-05-03T20:35:00.000Z,55.38338,55.587591276,528.9063407818026,29292.620855928068,0.3386,11.7170,-119.7257,-1.2070,-1.3683,0.1247,5,0.8500
short,sweep,sl,2026-05-04T02:20:00.000Z,2026-05-04T02:25:00.000Z,2026-05-04T02:40:00.000Z,55.88323,56.158902618,378.60309191144034,21157.56366399816,0.4632,8.4630,-112.8335,-1.1514,-1.0307,0.2057,3,0.7412
short,sweep,sl,2026-05-04T04:05:00.000Z,2026-05-04T04:10:00.000Z,2026-05-04T04:15:00.000Z,56.173142999999996,56.369385744,517.3228582001302,29059.650890844634,0.3193,11.6239,-113.1447,-1.2196,-1.2092,0.0000,1,0.7900
short,sweep,tp,2026-05-04T21:35:00.000Z,2026-05-04T21:40:00.000Z,2026-05-05T00:05:00.000Z,55.273413,54.77789999999999,511.1623112850602,28253.685541693692,0.3388,11.3015,241.9861,2.5277,-0.3555,2.9015,29,0.7387
short,sweep,sl,2026-05-05T03:20:00.000Z,2026-05-05T03:25:00.000Z,2026-05-05T08:15:00.000Z,55.153449,55.37710815,474.0567143119272,26145.86281591045,0.3754,10.4583,-116.4855,-1.1868,-1.2874,0.8860,58,0.7013
short,sweep,be,2026-05-05T13:15:00.000Z,2026-05-05T13:20:00.000Z,2026-05-05T19:25:00.000Z,55.78326,55.799994977999994,488.65911973996833,27258.998727825787,0.3558,10.9036,-19.0813,-0.1967,-0.5882,2.1325,73,0.7239
short,sweep,sl,2026-05-06T05:55:00.000Z,2026-05-06T06:00:00.000Z,2026-05-06T07:00:00.000Z,56.762966000000006,56.960743098,511.5919194297867,29039.474728467725,0.3183,11.6158,-112.7970,-1.2202,-1.0351,0.7359,12,0.8500
long,sweep,sl,2026-05-06T18:10:00.000Z,2026-05-06T18:15:00.000Z,2026-05-06T23:00:00.000Z,56.887060999999996,56.569624020000006,318.41163926143685,18113.502345775352,0.5282,7.2454,-108.3210,-1.1322,-1.7875,0.7420,57,0.8500
long,sweep,tp,2026-05-07T01:05:00.000Z,2026-05-07T01:10:00.000Z,2026-05-07T12:10:00.000Z,56.366905,57.2869,287.31966173996227,16195.320077928589,0.5840,6.4781,257.8545,2.7261,-0.7196,2.9255,132,0.8500
long,sweep,sl,2026-05-07T13:50:00.000Z,2026-05-07T13:55:00.000Z,2026-05-07T14:30:00.000Z,56.977088,56.71927911,403.5317976178914,22992.06674367279,0.4226,9.1968,-113.2309,-1.1653,-2.2721,0.1782,7,0.8392
long,sweep,be,2026-05-07T22:05:00.000Z,2026-05-07T22:10:00.000Z,2026-05-08T02:00:00.000Z,56.276877999999996,56.259994936599995,301.02785852086527,16940.908068579993,0.5669,6.7764,-11.8586,-0.1235,-0.2723,1.1069,46,0.8500
long,sweep,tp,2026-05-08T03:05:00.000Z,2026-05-08T03:10:00.000Z,2026-05-08T12:30:00.000Z,56.146839,56.766180000000006,419.026378503741,23527.006610602606,0.4077,9.4108,250.1094,2.6076,-0.1173,2.8098,112,0.7139
long,sweep,sl,2026-05-09T13:05:00.000Z,2026-05-09T13:10:00.000Z,2026-05-09T13:20:00.000Z,58.17744799999999,57.936473842,440.1658995544348,25607.72873270135,0.3843,10.2431,-116.3117,-1.1818,-1.0620,0.0000,2,0.7152
