side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,tp,2026-04-27T01:05:00.000Z,2026-04-27T01:10:00.000Z,2026-04-27T05:20:00.000Z,1.4045785000000002,1.3755280000000005,9760.382606998493,13709.223561564035,0.7294,5.4837,278.0603,2.7806,-0.7244,2.9846,50,0.8019
long,sweep,sl,2026-04-27T05:20:00.000Z,2026-04-27T05:25:00.000Z,2026-04-27T05:45:00.000Z,1.3824146,1.3708406244000002,9207.58631994353,12728.701759450207,0.8075,5.0915,-111.6599,-1.0864,-1.0226,0.0000,4,0.7519
long,sweep,sl,2026-04-27T15:25:00.000Z,2026-04-27T15:30:00.000Z,2026-04-27T16:00:00.000Z,1.3534058999999998,1.3429050076000002,10067.836327745992,13625.869086205757,0.7461,5.4503,-111.1716,-1.0935,-1.0305,0.5540,6,0.8500
short,sweep,be,2026-04-27T17:30:00.000Z,2026-04-27T17:35:00.000Z,2026-04-27T21:25:00.000Z,1.3525941000000001,1.3529998782300001,14122.710756866521,19102.295245744193,0.5264,7.6409,-13.3716,-0.1330,-0.4784,1.9093,46,0.8500
short,sweep,be,2026-04-28T19:45:00.000Z,2026-04-28T19:50:00.000Z,2026-04-29T00:10:00.000Z,1.349595,1.3499998785,16432.428776156685,22177.123714157184,0.4528,8.8708,-15.5240,-0.1546,-0.5572,1.2428,52,0.7910
short,sweep,sl,2026-04-29T00:20:00.000Z,2026-04-29T00:25:00.000Z,2026-04-29T03:10:00.000Z,1.3485953,1.3541081106,19633.683667553145,26477.893515748932,0.3787,10.5912,-118.8279,-1.1852,-1.4500,0.8999,33,0.7258
long,sweep,sl,2026-04-29T12:15:00.000Z,2026-04-29T12:20:00.000Z,2026-04-29T12:20:00.000Z,1.350405,1.3449004088,19422.672616474276,26228.474214649945,0.3777,10.4914,-117.4053,-1.1850,-1.0596,0.0000,0,0.8500
long,sweep,be,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-04-30T18:30:00.000Z,1.3043912,1.30399988264,5768.655156507852,7524.583021983464,1.3011,3.0098,-5.2672,-0.0538,-0.2587,2.1571,291,0.8500
long,sweep,be,2026-05-01T10:35:00.000Z,2026-05-01T10:40:00.000Z,2026-05-01T11:35:00.000Z,1.2943882,1.29399988354,19679.081354526068,25472.37069213856,0.3841,10.1889,-17.8307,-0.1822,-0.2792,1.5309,11,0.7655
long,sweep,sl,2026-05-02T04:45:00.000Z,2026-05-02T04:50:00.000Z,2026-05-02T05:20:00.000Z,1.2933879,1.2860360734,14021.163340864414,18134.80300899761,0.5386,7.2539,-110.3351,-1.1297,-1.3477,0.0879,6,0.8500
