side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,tp,2026-04-24T16:40:00.000Z,2026-04-24T16:45:00.000Z,2026-04-24T17:55:00.000Z,4.5443629,4.663072000000002,2416.2234910079724,10980.196390645115,0.9107,4.3921,282.4356,2.8244,-0.3470,2.9873,14,0.7068
short,sweep,sl,2026-04-24T17:55:00.000Z,2026-04-24T18:00:00.000Z,2026-04-24T18:05:00.000Z,4.638608,4.6787392008,2655.03915447737,12315.685862271965,0.8349,4.9263,-111.4762,-1.0841,-1.0946,0.2223,1,0.8443
short,sigma,sl,2026-04-24T19:10:00.000Z,2026-04-24T19:15:00.000Z,2026-04-24T19:15:00.000Z,4.8035585,4.831088892,3899.6834743688137,18732.357700613848,0.5430,7.4929,-114.8528,-1.1292,-1.0138,0.0000,0,0.5562
short,sweep,tp,2026-04-25T04:10:00.000Z,2026-04-25T04:15:00.000Z,2026-04-25T07:30:00.000Z,5.0164946,4.747412000000001,1096.6143042384888,5501.1597354951355,1.8280,2.2005,292.8794,2.9125,-0.3654,3.0370,39,0.7835
long,sweep,sl,2026-04-25T07:50:00.000Z,2026-04-25T07:55:00.000Z,2026-04-25T08:00:00.000Z,4.7504247,4.7171284367999995,3246.1602349248597,15420.639760144855,0.6711,6.1683,-114.2533,-1.1040,-1.0484,0.0000,1,0.7407
long,sweep,sl,2026-04-25T10:20:00.000Z,2026-04-25T10:25:00.000Z,2026-04-25T10:30:00.000Z,4.7584271,4.7101445326,2183.6845168099303,10390.903582638777,0.9850,4.1564,-109.5903,-1.0708,-1.1399,0.0122,1,0.7299
short,sweep,be,2026-04-25T16:35:00.000Z,2026-04-25T16:40:00.000Z,2026-04-26T04:15:00.000Z,4.6725978,4.67399957934,1192.6215800081966,5572.640970978823,1.8169,2.2291,-3.9008,-0.0385,-0.6172,1.3263,139,0.7765
short,sweep,sl,2026-04-26T04:50:00.000Z,2026-04-26T04:55:00.000Z,2026-04-26T05:20:00.000Z,4.7085870000000005,4.752909445199999,2359.4287930871105,11109.57574255566,0.9110,4.4438,-109.0195,-1.0771,-1.1286,0.2002,5,0.7665
long,sweep,be,2026-04-26T12:30:00.000Z,2026-04-26T12:35:00.000Z,2026-04-26T13:00:00.000Z,4.7534256,4.75199957232,3349.5103005605683,15921.6480101483,0.6288,6.3687,-11.1452,-0.1113,-0.2819,1.2236,5,0.7248
long,sweep,sl,2026-04-26T14:45:00.000Z,2026-04-26T14:50:00.000Z,2026-04-26T15:00:00.000Z,4.7304186999999995,4.6931836224,2791.5150031726866,13205.034772338635,0.7574,5.2820,-109.2243,-1.0921,-1.1003,0.1279,2,0.8500
