side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-04-25T11:45:00.000Z,2026-04-25T11:50:00.000Z,2026-04-25T12:35:00.000Z,0.0000038391514,0.00000381690318542,4738707659.646944,18192.61614572429,0.5497,7.2770,-112.7048,-1.1270,-1.1160,0.1113,9,0.7288
short,sweep,sl,2026-04-26T11:00:00.000Z,2026-04-26T11:05:00.000Z,2026-04-26T11:20:00.000Z,0.00000390152919,0.00000392009787666,5684637201.207878,22178.77797507244,0.4458,8.8715,-114.4278,-1.1573,-1.9991,0.2087,3,0.7045
short,sweep,sl,2026-04-29T03:20:00.000Z,2026-04-29T03:25:00.000Z,2026-04-29T03:40:00.000Z,0.0000038935315900000005,0.00000391157832156,5791805909.075304,22550.579270133367,0.4334,9.0202,-113.5434,-1.1618,-1.2842,0.3693,3,0.7028
short,sweep,sl,2026-04-29T07:35:00.000Z,2026-04-29T07:40:00.000Z,2026-04-29T08:20:00.000Z,0.00000394221698,0.0000039644997932399995,4579219891.108552,18052.278409881885,0.5351,7.2209,-109.2588,-1.1311,-1.0659,0.5365,8,0.7099
short,sweep,tp,2026-04-29T18:00:00.000Z,2026-04-29T18:05:00.000Z,2026-04-29T18:05:00.000Z,0.0000038476453600000004,0.0000037361284000000028,2466962355.538777,9491.996260583446,1.0061,3.7968,271.3113,2.8409,-0.1151,2.9098,0,0.7143
long,sweep,tp,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-04-30T00:50:00.000Z,0.00000377583241,0.0000039210004,1968242892.6597574,7431.7553048568625,1.3215,2.9727,282.7532,2.8790,-0.6059,2.9774,79,0.7298
short,sweep,tp,2026-04-30T01:00:00.000Z,2026-04-30T01:05:00.000Z,2026-04-30T02:35:00.000Z,0.00000391872403,0.000003826040200000001,3112547683.56943,12197.215402124362,0.8284,4.8789,283.6040,2.8068,-0.7170,2.8933,18,0.7018
long,sweep,sl,2026-04-30T13:30:00.000Z,2026-04-30T13:35:00.000Z,2026-04-30T14:15:00.000Z,0.00000386665965,0.0000038362585770599996,3551380147.190833,13731.978316953855,0.7565,5.4928,-113.4586,-1.0922,-1.0961,0.8356,8,0.7334
short,sweep,be,2026-05-02T09:35:00.000Z,2026-05-02T09:40:00.000Z,2026-05-02T13:10:00.000Z,0.000003933419620000001,0.0000039345996458860006,5916255101.359296,23271.11389261175,0.4415,9.3084,-16.2898,-0.1585,-0.6150,1.5501,42,0.7159
short,sweep,be,2026-05-08T12:30:00.000Z,2026-05-08T12:35:00.000Z,2026-05-08T13:50:00.000Z,0.0000041928417700000004,0.000004194099622531001,3732615575.30032,15650.266495471764,0.6555,6.2601,-10.9552,-0.1068,-0.1986,1.6571,15,0.7006
long,sweep,sl,2026-05-12T01:20:00.000Z,2026-05-12T01:25:00.000Z,2026-05-12T01:30:00.000Z,0.00000432039573,0.00000428532361712,3032910290.5068173,13103.372668578711,0.7820,5.2413,-111.6119,-1.0892,-1.0802,0.0504,1,0.7045
long,sweep,sl,2026-05-12T01:40:00.000Z,2026-05-12T01:45:00.000Z,2026-05-12T08:15:00.000Z,0.00000427898331,0.00000423593743742,2426209114.1288686,10381.708305927314,0.9763,4.1527,-108.5910,-1.0714,-1.3210,0.5965,78,0.7180
