side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-24T10:35:00.000Z,2026-04-24T10:40:00.000Z,2026-04-24T10:50:00.000Z,0.062341292,0.06271394854199999,282607.2211797181,17618.09929687339,0.5676,7.0472,-112.3627,-1.1236,-1.1550,0.0000,2,0.7186
short,sweep,be,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-25T01:30:00.000Z,0.061671493,0.0616899944479,196727.01196943433,12132.448541583886,0.8150,4.8530,-8.4927,-0.0859,-0.3751,1.4753,51,0.7981
short,sweep,sl,2026-04-25T03:35:00.000Z,2026-04-25T03:40:00.000Z,2026-04-25T03:50:00.000Z,0.062121358,0.062443327380000004,325784.17951711867,20238.155646519197,0.4881,8.0953,-112.9878,-1.1437,-1.1497,0.0000,2,0.7194
long,sweep,tp,2026-04-25T05:05:00.000Z,2026-04-25T05:10:00.000Z,2026-04-25T06:15:00.000Z,0.061798534,0.06250996000000002,372961.91098708904,23048.499336840596,0.4237,9.2194,256.1154,2.6225,-0.2999,2.7552,13,0.7960
short,sweep,sl,2026-04-26T04:00:00.000Z,2026-04-26T04:05:00.000Z,2026-04-26T04:45:00.000Z,0.05995200900000001,0.060218220048,403877.97045802383,24213.295719801183,0.4139,9.6853,-117.2021,-1.1694,-1.4426,0.0887,8,0.8500
short,sweep,sl,2026-04-26T07:40:00.000Z,2026-04-26T07:45:00.000Z,2026-04-26T09:10:00.000Z,0.060701784,0.060929853474,472128.645381472,28659.051052158713,0.3456,11.4636,-119.1418,-1.2028,-1.0401,0.6758,17,0.8500
short,sweep,sl,2026-04-26T10:35:00.000Z,2026-04-26T10:40:00.000Z,2026-04-26T11:05:00.000Z,0.061261616000000005,0.06154125684,374675.64538454835,22953.235512100375,0.4263,9.1813,-113.9559,-1.1645,-1.0659,0.0062,5,0.8500
long,sweep,be,2026-04-27T11:05:00.000Z,2026-04-27T11:10:00.000Z,2026-04-27T13:45:00.000Z,0.060258072,0.06023999457840001,405785.24493202544,24451.836505651627,0.3956,9.7807,-17.1163,-0.1770,-0.2856,2.4834,31,0.7086
short,sweep,be,2026-04-28T08:30:00.000Z,2026-04-28T08:35:00.000Z,2026-04-28T10:00:00.000Z,0.059792057,0.0598099946171,406070.5906491014,24279.79590211474,0.3976,9.7119,-16.9959,-0.1760,-0.9166,1.1442,17,0.8500
long,sweep,be,2026-04-28T15:35:00.000Z,2026-04-28T15:40:00.000Z,2026-04-29T01:25:00.000Z,0.058847649,0.0588299947053,296614.34735953086,17455.05700177775,0.5522,6.9820,-12.2185,-0.1268,-0.7006,2.1308,117,0.8500
short,sweep,be,2026-04-29T04:55:00.000Z,2026-04-29T05:00:00.000Z,2026-04-29T09:45:00.000Z,0.059712081,0.059729994624299995,261680.8382856972,15625.507411863451,0.6160,6.2502,-10.9379,-0.1136,-0.6468,2.0446,57,0.7763
short,sweep,tp,2026-04-29T09:55:00.000Z,2026-04-29T10:00:00.000Z,2026-04-29T12:10:00.000Z,0.059852039,0.05875928,247673.3427329928,14823.754568515453,0.6486,5.9295,264.7178,2.7533,-0.5099,2.8646,26,0.7391
long,sweep,sl,2026-04-29T12:15:00.000Z,2026-04-29T12:20:00.000Z,2026-04-29T12:25:00.000Z,0.058777628,0.05851514019,403360.2407537407,23708.55818101381,0.4167,9.4834,-115.3606,-1.1677,-1.2560,0.0000,1,0.7113
short,sweep,sl,2026-04-29T20:35:00.000Z,2026-04-29T20:40:00.000Z,2026-04-29T21:15:00.000Z,0.057292807,0.057562123458,387381.27041630726,22194.160361376304,0.4399,8.8777,-113.2058,-1.1594,-1.4965,0.3682,7,0.8500
long,sweep,tp,2026-04-29T23:05:00.000Z,2026-04-29T23:10:00.000Z,2026-04-30T01:50:00.000Z,0.057697304,0.05832548000000002,415154.83341229404,23953.314630458484,0.4029,9.5813,251.2090,2.6030,-0.8488,2.8077,32,0.8500
short,sweep,tp,2026-04-30T01:55:00.000Z,2026-04-30T02:00:00.000Z,2026-04-30T04:40:00.000Z,0.058182540000000005,0.05736984,336598.82712003245,19584.174722864376,0.5056,7.8337,265.7202,2.6835,-0.5692,2.7960,32,0.8303
long,sweep,tp,2026-04-30T06:25:00.000Z,2026-04-30T06:30:00.000Z,2026-04-30T09:30:00.000Z,0.057217159999999996,0.05778272000000002,480973.7224753232,27519.95043466616,0.3695,11.0080,261.0115,2.5670,-0.0812,2.7570,36,0.7474
long,sweep,be,2026-05-01T07:30:00.000Z,2026-05-01T07:35:00.000Z,2026-05-01T09:15:00.000Z,0.057537256,0.057519994823200006,430806.68928095343,24787.434767670675,0.4207,9.9150,-17.3512,-0.1664,-0.1539,1.5811,20,0.7403
short,sweep,be,2026-05-01T14:10:00.000Z,2026-05-01T14:15:00.000Z,2026-05-01T15:35:00.000Z,0.058172543,0.058189994762899995,444863.19714832696,25878.82346522853,0.4023,10.3515,-18.1152,-0.1740,-0.3310,2.0618,16,0.8500
short,sweep,be,2026-05-01T22:25:00.000Z,2026-05-01T22:30:00.000Z,2026-05-02T00:20:00.000Z,0.05793261500000001,0.057949994784500004,394366.4129721683,22846.677571647633,0.4549,9.1387,-15.9927,-0.1539,-0.3316,1.2621,22,0.8093
long,sweep,sl,2026-05-02T02:30:00.000Z,2026-05-02T02:35:00.000Z,2026-05-02T05:10:00.000Z,0.057807337,0.057517439590000004,380628.3430486139,22003.110898362833,0.4716,8.8012,-119.1444,-1.1481,-1.4941,0.7067,31,0.8500
short,sweep,be,2026-05-02T14:30:00.000Z,2026-05-02T14:35:00.000Z,2026-05-02T15:30:00.000Z,0.05850244400000001,0.058519994733200006,526039.1792106702,30774.5776235782,0.3157,12.3098,-21.5422,-0.2217,-0.5282,1.2044,11,0.7470
short,sweep,be,2026-05-03T04:35:00.000Z,2026-05-03T04:40:00.000Z,2026-05-03T07:25:00.000Z,0.058022588,0.0580399947764,420030.62372210756,24371.263827610874,0.4200,9.7485,-17.0599,-0.1667,-0.4407,1.5288,33,0.8141
short,sweep,sl,2026-05-03T11:35:00.000Z,2026-05-03T11:40:00.000Z,2026-05-03T11:45:00.000Z,0.058072573,0.058373986944,359962.609311391,20903.954906506235,0.4889,8.3616,-116.8593,-1.1435,-1.3646,0.0000,1,0.7079
short,sweep,be,2026-05-03T15:20:00.000Z,2026-05-03T15:25:00.000Z,2026-05-03T16:35:00.000Z,0.058332495,0.05834999474849999,471286.40964937594,27491.312134440173,0.3675,10.9965,-19.2439,-0.1905,-0.5948,1.2712,14,0.7387
long,sweep,sl,2026-05-04T19:45:00.000Z,2026-05-04T19:50:00.000Z,2026-05-04T21:00:00.000Z,0.058957682,0.058445301148000006,203771.85449002334,12013.916197573068,0.8393,4.8056,-109.2144,-1.0831,-1.2280,0.0000,14,0.7046
short,sweep,tp,2026-05-04T22:05:00.000Z,2026-05-04T22:10:00.000Z,2026-05-04T23:35:00.000Z,0.058952309,0.058315580000000006,422941.54878107295,24933.380872680387,0.4000,9.9734,259.3258,2.5999,-0.4566,3.2324,17,0.8500
long,sweep,sl,2026-05-05T14:20:00.000Z,2026-05-05T14:25:00.000Z,2026-05-05T14:35:00.000Z,0.059807937,0.059283369652,201934.94645817834,12077.312555869103,0.8473,4.8309,-110.7594,-1.0823,-1.2193,0.0633,2,0.7197
long,sweep,sl,2026-05-06T13:30:00.000Z,2026-05-06T13:35:00.000Z,2026-05-06T13:45:00.000Z,0.061258372,0.060779920552,219960.34939917488,13474.41290874463,0.7513,5.3898,-110.6301,-1.0929,-1.2785,0.0000,2,0.8500
long,sweep,be,2026-05-06T14:05:00.000Z,2026-05-06T14:10:00.000Z,2026-05-07T01:05:00.000Z,0.060398114,0.0603799945658,149925.11565994468,9055.194227092525,1.1057,3.6221,-6.3386,-0.0633,-0.9705,2.2340,131,0.8219
short,sweep,sl,2026-05-07T04:20:00.000Z,2026-05-07T04:25:00.000Z,2026-05-07T04:30:00.000Z,0.060241922,0.060528933234,372161.902676291,22419.748312396714,0.4463,8.9679,-115.7825,-1.1571,-1.4806,0.0000,1,0.7977
short,sweep,sl,2026-05-07T17:25:00.000Z,2026-05-07T17:30:00.000Z,2026-05-07T18:15:00.000Z,0.060221928,0.060919830468,145521.22231905273,8763.568572969987,1.1285,3.5054,-105.0650,-1.0623,-1.0860,0.0911,9,0.8500
long,sweep,sl,2026-05-07T21:00:00.000Z,2026-05-07T21:05:00.000Z,2026-05-07T21:05:00.000Z,0.06042812299999999,0.060151369174000005,378233.8391546486,22855.96095519932,0.4281,9.1424,-113.8200,-1.1632,-1.3456,0.0000,0,0.7541
short,sweep,sl,2026-05-08T08:05:00.000Z,2026-05-08T08:10:00.000Z,2026-05-08T08:15:00.000Z,0.061671493,0.061962223092,355366.8731454471,21916.00562962133,0.4413,8.7664,-112.0822,-1.1589,-1.3173,0.1157,1,0.7171
short,sweep,sl,2026-05-08T08:15:00.000Z,2026-05-08T08:20:00.000Z,2026-05-08T08:45:00.000Z,0.06178146,0.062172706218,256551.81418723075,15850.14564613583,0.6031,6.3401,-106.7150,-1.1164,-1.1770,0.3797,5,0.8500
long,sweep,sl,2026-05-08T13:30:00.000Z,2026-05-08T13:35:00.000Z,2026-05-08T13:40:00.000Z,0.061408417,0.061139092768,376624.3763905063,23127.906757753164,0.4087,9.2512,-110.6852,-1.1710,-1.7867,0.0462,1,0.8097
long,sweep,tp,2026-05-08T13:40:00.000Z,2026-05-08T13:45:00.000Z,2026-05-08T14:20:00.000Z,0.061198353999999996,0.062205759999999985,259294.88049954196,15868.419887198665,0.5887,6.3474,254.8679,2.7283,-0.0509,2.9745,7,0.7692
long,sweep,tp,2026-05-08T19:45:00.000Z,2026-05-08T19:50:00.000Z,2026-05-08T21:35:00.000Z,0.06432929300000001,0.06529466000000002,276150.48151115107,17764.565237221923,0.5402,7.1058,259.4807,2.7039,-0.3433,3.0235,21,0.8500
short,sweep,sl,2026-05-08T21:55:00.000Z,2026-05-08T22:00:00.000Z,2026-05-08T22:05:00.000Z,0.06561031099999999,0.06588121843799999,392439.10841486626,25748.051951662088,0.3828,10.2992,-116.6139,-1.1832,-1.0340,0.0411,1,0.7386
short,sweep,sl,2026-05-08T22:05:00.000Z,2026-05-08T22:10:00.000Z,2026-05-08T22:10:00.000Z,0.065740272,0.066021540522,372491.28267001675,24487.678240355788,0.3977,9.7951,-114.5651,-1.1763,-1.2993,0.2688,0,0.7250
long,sweep,tp,2026-05-09T10:10:00.000Z,2026-05-09T10:15:00.000Z,2026-05-09T11:35:00.000Z,0.066259872,0.06690689999999998,397440.24601877376,26334.33982885246,0.3655,10.5337,246.6212,2.5623,-0.6189,2.6846,16,0.7713
short,sweep,be,2026-05-09T12:30:00.000Z,2026-05-09T12:35:00.000Z,2026-05-09T13:30:00.000Z,0.066849939,0.0668699939817,256895.99406275977,17173.48153243985,0.5748,6.8694,-12.0214,-0.1218,-0.1043,1.1449,11,0.7088
short,sweep,sl,2026-05-09T21:10:00.000Z,2026-05-09T21:15:00.000Z,2026-05-09T22:05:00.000Z,0.06907927,0.06943938556799999,290591.81586202973,20073.870507723434,0.4912,8.0295,-112.6762,-1.1428,-1.1811,0.5873,10,0.8500
short,sweep,tp,2026-05-09T23:10:00.000Z,2026-05-09T23:15:00.000Z,2026-05-09T23:45:00.000Z,0.07094870900000001,0.07000310000000001,283674.87900889316,20126.366441412174,0.4843,8.0505,260.1950,2.6695,-0.5276,2.8194,6,0.7842
long,sweep,sl,2026-05-10T04:50:00.000Z,2026-05-10T04:55:00.000Z,2026-05-10T05:00:00.000Z,0.068770625,0.06844226115999999,325087.58247192285,22356.47622633318,0.4476,8.9426,-115.6896,-1.1561,-1.0741,0.2254,1,0.8500
long,sweep,sl,2026-05-10T06:45:00.000Z,2026-05-10T06:50:00.000Z,2026-05-10T07:00:00.000Z,0.06822046,0.06789352583,322655.2358440465,22011.68861068934,0.4494,8.8047,-114.2917,-1.1555,-1.2411,0.0964,2,0.8367
long,sweep,sl,2026-05-10T12:10:00.000Z,2026-05-10T12:15:00.000Z,2026-05-10T13:05:00.000Z,0.068380508,0.06804318092,308513.10831104795,21096.283070968482,0.4634,8.4385,-112.5083,-1.1507,-1.4531,0.1562,10,0.7499
