side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-24T10:25:00.000Z,2026-04-24T10:30:00.000Z,2026-04-24T11:00:00.000Z,85.414368,85.776885348,296.91916672604816,25361.16297299203,0.3943,10.1445,-117.7828,-1.1778,-1.6201,0.0000,6,0.7298
short,sweep,sl,2026-04-24T15:45:00.000Z,2026-04-24T15:50:00.000Z,2026-04-24T20:35:00.000Z,86.204131,86.729070918,198.06860667387204,17074.332116701942,0.5788,6.8297,-110.8039,-1.1212,-1.3747,0.6096,57,0.7003
short,sweep,be,2026-04-25T06:50:00.000Z,2026-04-25T06:55:00.000Z,2026-04-26T03:00:00.000Z,86.394074,86.4199922222,233.0933558900972,20137.884637677394,0.4852,8.0552,-14.0965,-0.1443,-0.8968,2.3236,241,0.8500
short,sweep,sl,2026-04-26T03:00:00.000Z,2026-04-26T03:05:00.000Z,2026-04-26T04:45:00.000Z,86.164143,86.628840858,222.4057152031914,19163.397848785055,0.5092,7.6654,-111.0168,-1.1378,-1.1530,0.8756,20,0.7181
short,sweep,be,2026-04-26T08:35:00.000Z,2026-04-26T08:40:00.000Z,2026-04-26T18:10:00.000Z,86.594014,86.6199922042,311.72805585072814,26993.783632530736,0.3574,10.7975,-18.8956,-0.1959,-0.3102,2.4367,114,0.7741
short,sweep,tp,2026-04-27T02:55:00.000Z,2026-04-27T03:00:00.000Z,2026-04-27T05:15:00.000Z,87.75366600000001,86.41164,199.55072086740148,17511.30730905718,0.5498,7.0045,260.7977,2.7089,-0.5728,3.2411,27,0.7249
long,sweep,be,2026-04-27T13:50:00.000Z,2026-04-27T13:55:00.000Z,2026-04-27T15:00:00.000Z,85.09552099999999,85.0699923437,160.83058453330696,13685.962383596296,0.7225,5.4744,-9.5802,-0.0969,-1.0825,1.1621,13,0.7601
long,sweep,be,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-28T02:35:00.000Z,84.065212,84.0399924364,200.5029898530214,16855.326348628092,0.5861,6.7421,-11.7987,-0.1194,-0.2338,1.6740,84,0.8157
short,sweep,be,2026-04-28T04:15:00.000Z,2026-04-28T04:20:00.000Z,2026-04-28T13:45:00.000Z,83.914818,83.9399924454,153.22058101599967,12857.477169811867,0.7674,5.1430,-9.0002,-0.0912,-0.7845,1.2187,113,0.7274
short,sweep,be,2026-04-28T19:45:00.000Z,2026-04-28T19:50:00.000Z,2026-04-28T22:05:00.000Z,83.87483,83.899992449,348.148435288856,29200.890824618797,0.3376,11.6804,-20.4406,-0.2074,-0.4067,1.0766,27,0.7129
long,sweep,sl,2026-04-29T12:15:00.000Z,2026-04-29T12:20:00.000Z,2026-04-29T12:20:00.000Z,84.42532,84.026344532,263.200511601732,22220.787416139934,0.4427,8.8883,-113.8989,-1.1578,-1.4858,0.0000,0,0.7121
long,sweep,sl,2026-04-29T13:35:00.000Z,2026-04-29T13:40:00.000Z,2026-04-29T15:05:00.000Z,83.835143,83.417747166,247.81856238650875,20775.904615727384,0.4680,8.3104,-111.7488,-1.1493,-1.1855,0.4457,17,0.7180
long,sweep,tp,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-05-01T03:20:00.000Z,81.98458799999999,84.18828,125.25913486438462,10269.318565093008,0.9360,4.1077,271.9248,2.8291,-0.8661,3.1086,397,0.7883
long,sweep,be,2026-05-01T06:50:00.000Z,2026-05-01T06:55:00.000Z,2026-05-01T10:10:00.000Z,83.805134,83.7799924598,297.3298202841364,24917.765431107968,0.3967,9.9671,-17.4424,-0.1765,-0.5870,1.3985,39,0.7210
short,sweep,sl,2026-05-01T11:20:00.000Z,2026-05-01T11:25:00.000Z,2026-05-01T12:25:00.000Z,83.914818,84.38368751399999,222.43152146016374,18665.300640792735,0.5286,7.4661,-111.7575,-1.1327,-1.1164,0.2138,12,0.7133
long,sweep,be,2026-05-01T14:35:00.000Z,2026-05-01T14:40:00.000Z,2026-05-01T15:50:00.000Z,84.095221,84.0699924337,236.23064878196453,19865.868616292686,0.4910,7.9463,-13.9061,-0.1426,-0.3033,1.1982,14,0.7340
long,sweep,be,2026-05-02T00:35:00.000Z,2026-05-02T00:40:00.000Z,2026-05-02T03:10:00.000Z,83.665092,83.63999247240001,225.53215768151526,18869.16872138248,0.5162,7.5477,-13.2084,-0.1356,-0.0813,1.0996,30,0.7785
short,sweep,be,2026-05-02T09:55:00.000Z,2026-05-02T10:00:00.000Z,2026-05-02T12:25:00.000Z,83.92481500000001,83.94999244450001,275.2463900180659,23100.00236168403,0.4211,9.2400,-16.1700,-0.1662,-0.2693,1.3152,29,0.8253
short,sweep,be,2026-05-02T21:50:00.000Z,2026-05-02T21:55:00.000Z,2026-05-03T20:20:00.000Z,84.494644,84.51999239319998,143.79342220665885,12149.774018893333,0.7993,4.8599,-8.5048,-0.0876,-0.1856,1.4432,269,0.7708
short,sweep,sl,2026-05-04T13:35:00.000Z,2026-05-04T13:40:00.000Z,2026-05-04T14:20:00.000Z,84.084767,84.49394057999999,252.78363775306,21255.253281878453,0.4565,8.5021,-111.9345,-1.1536,-1.0297,0.9243,8,0.7631
short,sweep,sl,2026-05-04T14:25:00.000Z,2026-05-04T14:30:00.000Z,2026-05-04T14:45:00.000Z,84.384677,84.864791802,210.94163623670943,17800.24183968622,0.5388,7.1201,-108.3963,-1.1302,-1.6833,0.0103,3,0.7050
