side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,be,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-25T02:30:00.000Z,0.9501148800000001,0.9503999144640001,12992.209870961566,12344.091922483465,0.8101,4.9376,-8.6409,-0.0864,-0.2189,1.0413,63,0.7445
long,sweep,tp,2026-04-25T05:05:00.000Z,2026-04-25T05:10:00.000Z,2026-04-25T08:30:00.000Z,0.94438323,0.9533574000000005,29656.486097345372,28007.08813106112,0.3567,11.2028,254.9395,2.5516,-0.9449,2.6764,40,0.7276
short,sweep,tp,2026-04-25T09:55:00.000Z,2026-04-25T10:00:00.000Z,2026-04-25T15:50:00.000Z,0.9521142800000001,0.9400723999999999,23313.959408230727,22197.553675916828,0.4616,8.8790,271.8649,2.6533,-0.5201,3.1432,70,0.7122
long,sweep,be,2026-04-25T20:05:00.000Z,2026-04-25T20:10:00.000Z,2026-04-26T01:45:00.000Z,0.93257969,0.932299916093,24806.462901237213,23134.0034824323,0.4547,9.2536,-16.1938,-0.1540,-0.1367,1.5614,67,0.7475
short,sigma,sl,2026-04-26T05:20:00.000Z,2026-04-26T05:25:00.000Z,2026-04-26T07:55:00.000Z,0.94261713,0.9461717663999999,32107.572987777028,30265.14830100391,0.3470,12.1061,-126.2368,-1.2020,-1.4623,0.8613,30,0.5022
short,sweep,be,2026-04-26T08:00:00.000Z,2026-04-26T08:05:00.000Z,2026-04-26T08:35:00.000Z,0.9468158700000001,0.9470999147610001,32875.66225165104,31127.19875662314,0.2936,12.4509,-21.7890,-0.2384,-0.7498,1.0491,6,0.7490
short,sweep,tp,2026-04-27T04:35:00.000Z,2026-04-27T04:40:00.000Z,2026-04-27T05:35:00.000Z,0.95651296,0.9315201999999998,11882.455414436048,11365.722600530251,0.9110,4.5463,292.4291,2.8243,-0.1936,2.9394,11,0.7640
long,sweep,be,2026-04-27T13:50:00.000Z,2026-04-27T13:55:00.000Z,2026-04-27T15:00:00.000Z,0.9277782499999999,0.927499916525,17966.590917600985,16669.012279997733,0.6387,6.6676,-11.6683,-0.1096,-0.4351,1.8769,13,0.8260
short,sweep,sl,2026-04-28T04:15:00.000Z,2026-04-28T04:20:00.000Z,2026-04-28T05:25:00.000Z,0.92932112,0.93484576962,20278.674362338126,18845.40037052335,0.5643,7.5382,-119.5707,-1.1243,-1.2354,0.2901,13,0.7201
long,sweep,be,2026-04-28T13:10:00.000Z,2026-04-28T13:15:00.000Z,2026-04-28T14:15:00.000Z,0.9168749799999999,0.9165999175059999,25012.330952417287,22933.180441750977,0.4585,9.1733,-16.0532,-0.1527,-0.4936,2.1468,12,0.8482
long,sweep,tp,2026-04-30T13:30:00.000Z,2026-04-30T13:35:00.000Z,2026-05-01T03:20:00.000Z,0.9049714099999999,0.9200083999999998,19536.044705035598,17679.5619225391,0.5939,7.0718,286.6915,2.7306,-0.8320,2.8895,165,0.7285
short,sweep,be,2026-05-01T03:20:00.000Z,2026-05-01T03:25:00.000Z,2026-05-01T12:30:00.000Z,0.91762463,0.917899917389,22868.799872624837,20984.974021661415,0.5140,8.3940,-14.6895,-0.1362,-0.3764,1.8711,109,0.7619
long,sweep,sl,2026-05-02T03:00:00.000Z,2026-05-02T03:05:00.000Z,2026-05-02T05:10:00.000Z,0.9185754899999999,0.9150909903200001,33555.92460710496,30823.64988837449,0.3494,12.3295,-129.2551,-1.2000,-1.4566,0.8176,25,0.7125
short,sweep,be,2026-05-02T07:00:00.000Z,2026-05-02T07:05:00.000Z,2026-05-02T09:30:00.000Z,0.91902421,0.919299917263,33084.19044764492,30405.17198963642,0.3500,12.1621,-21.2836,-0.2000,-0.3034,1.0645,29,0.7922
short,sweep,sl,2026-05-02T15:45:00.000Z,2026-05-02T15:50:00.000Z,2026-05-02T21:35:00.000Z,0.9241226800000001,0.93053587704,17313.88364558618,16000.15255576727,0.6638,6.4001,-117.4374,-1.1058,-1.5450,0.6069,69,0.7796
