side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-26T14:20:00.000Z,2026-04-26T14:25:00.000Z,2026-04-26T14:35:00.000Z,246.735957,248.01928346999998,82.71688574234015,20409.229963695954,0.4900,8.1637,-114.3165,-1.1432,-1.1614,0.1455,2,0.7093
short,sweep,sl,2026-04-26T16:05:00.000Z,2026-04-26T16:10:00.000Z,2026-04-26T19:05:00.000Z,248.13553700000003,250.484942946,43.46725336743735,10785.770256244126,0.9165,4.3143,-106.4365,-1.0767,-1.1804,0.3366,35,0.7059
long,sweep,sl,2026-04-27T05:20:00.000Z,2026-04-27T05:25:00.000Z,2026-04-27T06:30:00.000Z,251.295366,249.205655868,48.53402560394357,12196.37572759637,0.8018,4.8786,-106.3006,-1.0870,-1.5461,0.3398,13,0.7105
short,sweep,be,2026-04-28T12:50:00.000Z,2026-04-28T12:55:00.000Z,2026-04-28T15:00:00.000Z,251.58450200000001,251.6599773506,46.68865599861965,11746.14226846204,0.8235,4.6985,-8.2223,-0.0850,-0.9004,1.5371,25,0.7026
long,sweep,tp,2026-04-30T22:00:00.000Z,2026-04-30T22:05:00.000Z,2026-05-01T00:30:00.000Z,248.17442999999997,250.75625999999994,100.68994230843676,24988.669039129174,0.3868,9.9955,249.9688,2.5864,-0.4005,3.0479,29,0.7532
short,sweep,sl,2026-05-01T00:30:00.000Z,2026-05-01T00:35:00.000Z,2026-05-01T03:15:00.000Z,250.38486200000003,251.67768065999996,81.4456868890136,20392.76707220088,0.4862,8.1571,-113.4516,-1.1443,-1.8525,0.5872,32,0.7082
short,sweep,sl,2026-05-02T18:50:00.000Z,2026-05-02T18:55:00.000Z,2026-05-02T19:30:00.000Z,286.524017,289.594712358,32.84771131723083,9411.65819586934,1.0414,3.7647,-104.6300,-1.0675,-1.0242,0.6146,7,0.7633
short,sweep,be,2026-05-03T20:30:00.000Z,2026-05-03T20:35:00.000Z,2026-05-03T21:10:00.000Z,294.661575,294.7499734725,54.1666254412512,15960.82316495415,0.6075,6.3843,-11.1726,-0.1152,-0.5689,1.2410,7,0.7088
short,sweep,sl,2026-05-04T09:45:00.000Z,2026-05-04T09:50:00.000Z,2026-05-04T09:50:00.000Z,290.83272400000004,292.140555882,79.37478933104813,23084.78619807487,0.4196,9.2339,-113.0428,-1.1671,-1.0550,0.0186,0,0.7003
short,sweep,tp,2026-05-04T10:00:00.000Z,2026-05-04T10:05:00.000Z,2026-05-04T10:20:00.000Z,290.332874,280.98212,29.60761328106931,8596.063456173422,1.1136,3.4384,273.4151,2.8563,-0.0300,3.0351,3,0.7900
short,sweep,be,2026-05-08T09:25:00.000Z,2026-05-08T09:30:00.000Z,2026-05-08T14:05:00.000Z,310.756745,310.8499720235,31.060761713642922,9652.341207352298,1.0200,3.8609,-6.7566,-0.0686,-0.5626,1.8003,55,0.7026
short,sweep,sl,2026-05-10T02:00:00.000Z,2026-05-10T02:05:00.000Z,2026-05-10T02:15:00.000Z,311.586496,313.92054792,43.92623274629139,13686.820943897392,0.7189,5.4747,-108.0008,-1.0977,-1.3811,0.0000,2,0.7084
long,sweep,tp,2026-05-10T10:05:00.000Z,2026-05-10T10:10:00.000Z,2026-05-10T13:15:00.000Z,311.55343799999997,316.02335999999997,60.27069703954536,18777.542873326776,0.5182,7.5110,261.8943,2.6913,-0.5224,2.9027,37,0.7019
long,sigma,be,2026-05-13T05:40:00.000Z,2026-05-13T05:45:00.000Z,2026-05-13T08:30:00.000Z,304.261251,304.16997262470005,55.59696195530299,16916.001196319892,0.5907,6.7664,-11.8412,-0.1185,-0.3512,1.5349,33,0.6032
