side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,be,2026-04-24T13:55:00.000Z,2026-04-24T14:00:00.000Z,2026-04-24T14:55:00.000Z,0.35930776000000003,0.359199967672,51976.13255992692,18675.42776357041,0.5355,7.4702,-13.0728,-0.1307,-0.8357,1.3993,11,0.8500
short,sweep,be,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-25T01:35:00.000Z,0.36079173000000003,0.360899967519,24741.735230450377,8926.613456996141,1.1188,3.5706,-6.2486,-0.0626,-0.2746,1.0137,52,0.7705
short,sigma,sl,2026-04-26T04:50:00.000Z,2026-04-26T04:55:00.000Z,2026-04-26T05:10:00.000Z,0.35349392,0.35511510258,65892.98446632731,23292.76937950115,0.4285,9.3171,-116.1417,-1.1637,-1.6545,0.7222,3,0.6135
short,sigma,sl,2026-04-26T05:20:00.000Z,2026-04-26T05:25:00.000Z,2026-04-26T05:30:00.000Z,0.35659299000000005,0.35822223444,64821.08084999483,23114.7430353314,0.4268,9.2459,-114.8553,-1.1643,-1.3188,0.5211,1,0.5829
short,sweep,sl,2026-04-26T09:45:00.000Z,2026-04-26T09:50:00.000Z,2026-04-26T10:25:00.000Z,0.35659299000000005,0.35792154425999995,79836.24128568936,28469.04399042542,0.3425,11.3876,-117.4544,-1.2047,-1.2340,0.6493,7,0.7228
short,sweep,sl,2026-04-26T10:35:00.000Z,2026-04-26T10:40:00.000Z,2026-04-26T10:45:00.000Z,0.35849242,0.35992614545999996,72653.28505476298,26045.65198023181,0.3698,10.4183,-114.5831,-1.1896,-1.0617,0.2206,1,0.7084
long,sweep,sl,2026-04-26T21:10:00.000Z,2026-04-26T21:15:00.000Z,2026-04-26T21:30:00.000Z,0.35830746,0.35697727468,77818.29264846066,27882.87478040661,0.3413,11.1531,-114.6659,-1.2048,-1.8049,0.2392,3,0.8500
long,sweep,tp,2026-04-27T08:30:00.000Z,2026-04-27T08:35:00.000Z,2026-04-27T09:15:00.000Z,0.34650391999999997,0.3493765999999998,81410.1456650938,28208.934600726006,0.3163,11.2836,222.5817,2.4943,-0.6422,2.6421,8,0.8500
long,sweep,sl,2026-04-27T11:05:00.000Z,2026-04-27T11:10:00.000Z,2026-04-27T13:45:00.000Z,0.3481044,0.34620210819999997,53522.90882812903,18631.56006387056,0.5166,7.4526,-109.2688,-1.1352,-1.0589,0.8872,31,0.7383
short,sweep,sl,2026-04-27T20:05:00.000Z,2026-04-27T20:10:00.000Z,2026-04-27T21:30:00.000Z,0.34729578,0.34940198916000004,47547.6966806033,16513.114405893535,0.5763,6.6052,-106.7506,-1.1218,-1.1013,0.1478,16,0.8500
long,sweep,sl,2026-04-28T06:45:00.000Z,2026-04-28T06:50:00.000Z,2026-04-28T07:15:00.000Z,0.35580671,0.35378463276,49112.64343837345,17474.608081210747,0.5385,6.9898,-106.2994,-1.1297,-1.2562,0.8838,5,0.7237
short,sweep,be,2026-04-28T13:45:00.000Z,2026-04-28T13:50:00.000Z,2026-04-28T14:55:00.000Z,0.35719281,0.357299967843,29757.135441439743,10629.034825878452,0.8753,4.2516,-7.4403,-0.0800,-0.1622,1.1172,13,0.7561
short,sigma,be,2026-04-28T15:40:00.000Z,2026-04-28T15:45:00.000Z,2026-04-28T15:50:00.000Z,0.36838945,0.36849996683499997,36440.54467119369,13424.312209121474,0.6925,5.3697,-9.3970,-0.1011,-0.2001,1.2895,1,0.6807
short,sweep,sl,2026-04-28T19:05:00.000Z,2026-04-28T19:10:00.000Z,2026-04-28T19:45:00.000Z,0.36619011,0.36864616068,39592.59568086639,14498.416967561989,0.6405,5.7994,-103.0408,-1.1096,-1.1127,0.3795,7,0.7088
