side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-04-24T13:55:00.000Z,2026-04-24T14:00:00.000Z,2026-04-24T15:00:00.000Z,0.18095427,0.17978564812,89712.65038082923,16233.887159428175,0.6160,6.4936,-111.3337,-1.1133,-1.2150,0.2205,12,0.7703
short,sweep,be,2026-04-24T19:55:00.000Z,2026-04-24T20:00:00.000Z,2026-04-25T06:30:00.000Z,0.18024590999999998,0.18029998377299997,75113.87309427468,13538.968409502053,0.7304,5.4156,-9.4773,-0.0958,-0.8766,1.8579,126,0.7560
long,sweep,sl,2026-04-25T11:45:00.000Z,2026-04-25T11:50:00.000Z,2026-04-25T15:50:00.000Z,0.17855354999999998,0.17719162656,75485.68482217369,13478.23699918023,0.7330,5.3913,-108.1970,-1.0952,-1.3399,0.4175,48,0.8500
long,sweep,tp,2026-04-25T20:05:00.000Z,2026-04-25T20:10:00.000Z,2026-04-26T04:45:00.000Z,0.17675301,0.17895779999999997,121286.87556954978,21437.820330413386,0.4558,8.5751,258.8370,2.6490,-0.1899,3.2857,103,0.7226
short,sweep,be,2026-04-26T14:40:00.000Z,2026-04-26T14:45:00.000Z,2026-04-26T15:25:00.000Z,0.17854642,0.17859998392600002,140991.15725791224,25173.46638005725,0.3984,10.0694,-17.6214,-0.1757,-0.3565,1.0493,8,0.8500
short,sweep,be,2026-04-26T19:15:00.000Z,2026-04-26T19:20:00.000Z,2026-04-26T21:55:00.000Z,0.17844645,0.178499983935,90041.88604296133,16067.654915670997,0.6231,6.4271,-11.2474,-0.1123,-0.4978,2.0203,31,0.8500
long,sweep,sl,2026-04-27T05:20:00.000Z,2026-04-27T05:25:00.000Z,2026-04-27T05:30:00.000Z,0.17855354999999998,0.17679254632,58555.3450634164,10455.264732547972,0.9565,4.1821,-107.2983,-1.0729,-1.0267,0.0000,1,0.7449
short,sweep,be,2026-04-27T09:05:00.000Z,2026-04-27T09:10:00.000Z,2026-04-27T14:35:00.000Z,0.17704687000000002,0.17709998406100003,89234.18574470554,15798.633283098736,0.6262,6.3195,-11.0590,-0.1118,-1.1302,1.8461,65,0.8500
long,sweep,tp,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-28T02:20:00.000Z,0.17465238,0.1780428,82356.39621305917,14383.74060683377,0.6871,5.7535,273.4693,2.7672,-0.2937,2.8731,81,0.8500
long,sweep,sl,2026-04-28T06:45:00.000Z,2026-04-28T06:50:00.000Z,2026-04-28T07:15:00.000Z,0.17695307,0.17599438584000002,112114.0131517857,19838.918817228852,0.5119,7.9356,-115.4175,-1.1364,-1.4937,0.7142,5,0.7481
short,sweep,sl,2026-04-29T06:05:00.000Z,2026-04-29T06:10:00.000Z,2026-04-29T07:30:00.000Z,0.18044585,0.18161686872000002,89925.7051930572,16226.720310410621,0.6188,6.4907,-111.7954,-1.1134,-1.3024,0.6680,16,0.7811
