side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-24T11:30:00.000Z,2026-04-24T11:35:00.000Z,2026-04-24T12:05:00.000Z,0.26282113,0.2641062081,82927.67877134366,21795.146242961553,0.4588,8.7181,-115.2866,-1.1529,-1.1435,0.3492,6,0.7637
long,sweep,be,2026-04-24T13:55:00.000Z,2026-04-24T14:00:00.000Z,2026-04-24T14:45:00.000Z,0.26267878,0.262599976366,82182.22283069063,21587.526030853962,0.4579,8.6350,-15.1113,-0.1529,-0.9800,1.2648,9,0.7744
short,sweep,be,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-25T02:10:00.000Z,0.26202137000000003,0.262099976411,37860.55143376639,9920.273555630936,0.9949,3.9681,-6.9442,-0.0704,-0.1452,1.2741,59,0.7398
short,sweep,sl,2026-04-25T02:55:00.000Z,2026-04-25T03:00:00.000Z,2026-04-25T04:00:00.000Z,0.26132158000000005,0.26290344737999993,65618.94012002487,17147.645110090292,0.5752,6.8591,-110.6595,-1.1220,-1.0502,0.2805,12,0.7787
short,sweep,be,2026-04-25T04:10:00.000Z,2026-04-25T04:15:00.000Z,2026-04-25T05:40:00.000Z,0.26232128000000005,0.26239997638400003,80948.25701398982,21234.45039367879,0.4593,8.4938,-14.8641,-0.1524,-0.3144,1.5948,17,0.7114
long,sweep,sl,2026-04-25T11:45:00.000Z,2026-04-25T11:50:00.000Z,2026-04-25T14:10:00.000Z,0.26087824,0.25880353564,48757.833111575084,12719.857688361431,0.7655,5.0879,-106.2460,-1.0911,-1.4913,0.2112,28,0.7326
long,sweep,be,2026-04-25T20:05:00.000Z,2026-04-25T20:10:00.000Z,2026-04-26T01:30:00.000Z,0.25627686,0.25619997694200003,81063.98895424257,20774.824548267967,0.4636,8.3099,-14.5424,-0.1510,-0.1489,1.9554,64,0.7196
long,sweep,be,2026-04-26T08:45:00.000Z,2026-04-26T08:50:00.000Z,2026-04-26T11:00:00.000Z,0.25967787999999997,0.259599976636,107267.82409550829,27855.081153334508,0.3452,11.1420,-19.4986,-0.2028,-0.5331,1.4748,26,0.7304
long,sweep,sl,2026-04-27T05:30:00.000Z,2026-04-27T05:35:00.000Z,2026-04-27T06:30:00.000Z,0.2570771,0.25521181348000005,53652.63788062098,13792.864553700188,0.6958,5.5171,-105.5947,-1.1003,-2.6148,0.4601,11,0.8500
long,sweep,be,2026-04-27T13:50:00.000Z,2026-04-27T13:55:00.000Z,2026-04-27T15:00:00.000Z,0.25247572,0.25239997728400004,41680.950717062864,10523.428042574964,0.9019,4.2094,-7.3664,-0.0776,-0.4285,1.2842,13,0.7480
long,sweep,be,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-28T07:15:00.000Z,0.24917472999999998,0.249099977581,48138.377924574364,11994.867321993777,0.7907,4.7979,-8.3964,-0.0885,-0.3425,2.8045,140,0.8500
short,sweep,tp,2026-04-29T10:05:00.000Z,2026-04-29T10:10:00.000Z,2026-04-29T13:25:00.000Z,0.25512344,0.2509633999999999,63646.85941943966,16237.805720283846,0.5835,6.4951,258.2784,2.7258,-0.7903,3.0384,39,0.7363
long,sweep,sl,2026-04-29T15:15:00.000Z,2026-04-29T15:20:00.000Z,2026-04-29T15:40:00.000Z,0.24737419,0.24563388772,58405.29585380853,14447.962753546242,0.6737,5.7792,-107.4221,-1.1036,-1.0646,0.5555,4,0.7770
long,sweep,tp,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-04-30T01:45:00.000Z,0.23997197,0.2503214,27148.817173871863,6514.955140383864,1.4776,2.6060,278.3688,2.8917,-0.5279,2.9410,90,0.8500
