side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,be,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-27T00:55:00.000Z,1.43726869,1.4376998706069999,12474.878712992026,17929.752585730934,0.5577,7.1719,-12.5508,-0.1255,-0.3283,2.5285,620,0.7011
long,sweep,sl,2026-04-27T05:30:00.000Z,2026-04-27T05:35:00.000Z,2026-04-27T06:00:00.000Z,1.42132627,1.41414083044,14771.994925640376,20995.82444811936,0.4757,8.3983,-114.5416,-1.1469,-1.0688,0.0000,5,0.7006
long,sweep,sl,2026-04-27T12:40:00.000Z,2026-04-27T12:45:00.000Z,2026-04-27T13:25:00.000Z,1.41082312,1.4060594555800001,20993.9306212077,29618.722700075785,0.3077,11.8475,-111.8555,-1.2272,-1.3873,0.2020,8,0.7313
long,sweep,be,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-28T03:20:00.000Z,1.3894167,1.38899987499,14380.923811824356,19981.095705576416,0.4885,7.9924,-13.9868,-0.1433,-0.2235,1.7802,93,0.7053
long,sweep,sl,2026-04-28T11:40:00.000Z,2026-04-28T11:45:00.000Z,2026-04-28T11:45:00.000Z,1.38501538,1.37942084956,18814.621664527564,26058.540374251876,0.3740,10.4234,-115.6824,-1.1868,-1.5472,0.0000,0,0.7125
long,sweep,be,2026-04-28T21:45:00.000Z,2026-04-28T21:50:00.000Z,2026-04-29T01:15:00.000Z,1.37931367,1.3788998758989999,20948.20726422472,28894.148641538453,0.3023,11.5577,-20.2259,-0.2316,-0.4590,1.1240,41,0.7309
short,sweep,tp,2026-04-29T09:55:00.000Z,2026-04-29T10:00:00.000Z,2026-04-29T12:10:00.000Z,1.4024791300000001,1.3860658000000006,15932.902500160257,22345.563236799582,0.4301,8.9382,252.5738,2.6279,-0.5008,3.0965,26,0.7022
long,sweep,sl,2026-04-29T13:35:00.000Z,2026-04-29T13:40:00.000Z,2026-04-29T15:00:00.000Z,1.37381202,1.36764798248,17143.52136178985,23551.975711953666,0.4188,9.4208,-115.0941,-1.1668,-1.0623,0.6062,16,0.7751
short,sweep,sl,2026-04-30T00:40:00.000Z,2026-04-30T00:45:00.000Z,2026-04-30T00:45:00.000Z,1.37708675,1.3826736777,18847.96102001685,25955.277385181686,0.3756,10.3821,-115.6843,-1.1867,-1.0273,0.0000,0,0.7253
short,sweep,be,2026-04-30T09:30:00.000Z,2026-04-30T09:35:00.000Z,2026-04-30T12:30:00.000Z,1.37478744,1.375199876232,13248.164436091276,18213.410069792968,0.5289,7.2854,-12.7494,-0.1324,-0.2905,1.2360,35,0.8030
