symbol,config,trades,win_rate,avg_r,total_pnl,fees
WLD_USDT,current,2,100.0,1.831,368.40,3.43
WLD_USDT,ms05,2,100.0,1.830,368.28,3.43
WLD_USDT,ms12,2,100.0,1.820,366.22,3.43
WLD_USDT,tp2,2,100.0,1.366,274.79,3.43
WLD_USDT,tp4,2,100.0,2.367,476.44,3.43
WLD_USDT,be1,4,25.0,0.433,170.09,10.74
WLD_USDT,sig4,2,100.0,1.818,365.73,3.43
TAO_USDT,current,10,10.0,-0.675,-661.13,37.95
TAO_USDT,ms05,10,10.0,-0.675,-661.13,37.95
TAO_USDT,ms12,3,33.3,0.261,73.42,8.21
TAO_USDT,tp2,10,20.0,-0.462,-459.47,37.73
TAO_USDT,tp4,10,10.0,-0.565,-561.47,38.29
TAO_USDT,be1,10,10.0,-0.375,-375.01,38.43
TAO_USDT,sig4,10,10.0,-0.675,-661.13,37.95
HYPE_USDT,current,21,33.3,0.169,327.58,76.31
HYPE_USDT,ms05,21,33.3,0.169,327.82,76.31
HYPE_USDT,ms12,6,50.0,0.670,399.02,15.37
HYPE_USDT,tp2,21,47.6,0.350,736.72,78.62
HYPE_USDT,tp4,20,25.0,0.063,85.80,71.23
HYPE_USDT,be1,21,28.6,0.220,445.67,76.56
HYPE_USDT,sig4,21,33.3,0.168,324.29,76.31
LINK_USDT,current,11,54.5,1.066,1213.53,46.87
LINK_USDT,ms05,11,54.5,1.066,1213.53,46.87
LINK_USDT,ms12,3,33.3,0.261,73.43,9.14
LINK_USDT,tp2,12,50.0,0.446,534.55,49.16
LINK_USDT,tp4,9,66.7,2.282,2221.09,42.03
LINK_USDT,be1,12,25.0,0.326,384.06,49.39
LINK_USDT,sig4,11,54.5,1.066,1213.53,46.87
AVAX_USDT,current,18,33.3,0.239,407.02,69.66
AVAX_USDT,ms05,18,33.3,0.239,407.02,69.66
AVAX_USDT,ms12,5,20.0,-0.260,-135.59,13.71
AVAX_USDT,tp2,18,50.0,0.449,818.65,70.27
AVAX_USDT,tp4,17,35.3,0.711,1225.38,68.05
AVAX_USDT,be1,18,22.2,0.193,332.84,68.36
AVAX_USDT,sig4,17,35.3,0.314,516.86,67.81
SUI_USDT,current,12,41.7,0.576,690.06,41.90
SUI_USDT,ms05,12,41.7,0.576,690.06,41.90
SUI_USDT,ms12,5,40.0,0.529,258.13,13.86
SUI_USDT,tp2,12,50.0,0.453,543.61,41.84
SUI_USDT,tp4,12,41.7,0.830,1008.22,42.93
SUI_USDT,be1,12,16.7,0.178,205.88,41.16
SUI_USDT,sig4,12,41.7,0.576,690.06,41.90
PEPE_USDT,current,25,8.0,-0.844,-1916.76,77.76
PEPE_USDT,ms05,25,8.0,-0.844,-1916.19,77.76
PEPE_USDT,ms12,10,20.0,-0.507,-502.57,24.87
PEPE_USDT,tp2,25,8.0,-0.881,-1988.71,77.09
PEPE_USDT,tp4,25,8.0,-0.801,-1831.39,78.55
PEPE_USDT,be1,25,8.0,-0.644,-1500.32,78.87
PEPE_USDT,sig4,24,8.3,-0.834,-1827.64,73.72
DOGE_USDT,current,14,35.7,0.329,444.63,55.07
DOGE_USDT,ms05,14,35.7,0.329,444.63,55.07
DOGE_USDT,ms12,3,0.0,-1.046,-310.47,7.78
DOGE_USDT,tp2,15,40.0,0.145,202.55,58.12
DOGE_USDT,tp4,14,35.7,0.729,1026.92,56.55
DOGE_USDT,be1,15,26.7,0.110,145.21,58.02
DOGE_USDT,sig4,14,35.7,0.327,443.01,55.96
SEI_USDT,current,10,10.0,-0.678,-663.98,37.42
SEI_USDT,ms05,10,10.0,-0.678,-663.98,37.42
SEI_USDT,ms12,1,0.0,-1.005,-100.50,0.30
SEI_USDT,tp2,10,20.0,-0.461,-458.28,37.91
SEI_USDT,tp4,10,10.0,-0.564,-560.69,37.60
SEI_USDT,be1,10,0.0,-0.468,-459.16,37.42
SEI_USDT,sig4,10,10.0,-0.678,-663.98,37.42
ORDI_USDT,current,46,26.1,-0.041,-250.24,153.70
ORDI_USDT,ms05,46,26.1,-0.041,-250.24,153.70
ORDI_USDT,ms12,16,18.8,-0.307,-498.32,40.14
ORDI_USDT,tp2,47,29.8,-0.160,-766.56,155.37
ORDI_USDT,tp4,44,18.2,-0.148,-708.23,147.43
ORDI_USDT,be1,48,18.8,-0.018,-133.27,163.18
ORDI_USDT,sig4,45,26.7,-0.018,-144.25,150.35
BASED_USDT,current,65,26.2,-0.046,-386.23,201.71
BASED_USDT,ms05,65,26.2,-0.047,-389.37,201.71
BASED_USDT,ms12,29,31.0,0.146,383.80,65.44
BASED_USDT,tp2,66,28.8,-0.186,-1213.07,197.58
BASED_USDT,tp4,65,20.0,-0.086,-660.24,201.37
BASED_USDT,be1,68,13.2,-0.288,-1826.89,196.63
BASED_USDT,sig4,63,25.4,-0.077,-560.31,198.31
ZEN_USDT,current,17,17.6,-0.510,-845.70,60.43
ZEN_USDT,ms05,17,17.6,-0.509,-844.08,60.43
ZEN_USDT,ms12,4,75.0,1.320,532.60,9.23
ZEN_USDT,tp2,20,25.0,-0.383,-751.76,72.51
ZEN_USDT,tp4,17,17.6,-0.383,-652.90,61.32
ZEN_USDT,be1,20,15.0,-0.297,-591.11,72.38
ZEN_USDT,sig4,19,15.8,-0.575,-1051.02,68.85
