side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-02-24T03:10:00.000Z,2026-02-24T03:15:00.000Z,2026-02-24T03:30:00.000Z,0.81184348,0.80723955546,22926.945580602373,18613.09128592685,0.5373,7.4452,-112.9992,-1.1300,-1.0417,0.8383,3,0.7374
long,sweep,sl,2026-02-24T03:50:00.000Z,2026-02-24T03:55:00.000Z,2026-02-24T04:15:00.000Z,0.8106431199999999,0.8052441542600001,19170.811266510562,15540.686258015272,0.6362,6.2163,-109.7188,-1.1097,-1.4432,0.4376,4,0.7031
long,sweep,tp,2026-02-24T06:55:00.000Z,2026-02-24T07:00:00.000Z,2026-02-24T10:50:00.000Z,0.79993991,0.8107856,24846.273695934047,19875.525944160847,0.4919,7.9502,261.5248,2.6748,-0.7471,2.8614,46,0.7234
short,sweep,sl,2026-02-24T11:00:00.000Z,2026-02-24T11:05:00.000Z,2026-02-24T12:10:00.000Z,0.8107567000000001,0.8144694675599999,28942.79019790891,23465.56106964898,0.4278,9.3862,-116.8441,-1.1639,-1.3964,0.9101,13,0.7156
short,sweep,sl,2026-02-25T09:00:00.000Z,2026-02-25T09:05:00.000Z,2026-02-25T09:15:00.000Z,0.85314398,0.8579693136,21720.488752618843,18530.704221954475,0.5354,7.4123,-112.2209,-1.1310,-1.2163,0.1191,2,0.7642
short,sweep,sl,2026-02-25T09:20:00.000Z,2026-02-25T09:25:00.000Z,2026-02-25T10:10:00.000Z,0.85724275,0.8620787460599999,21430.58213044133,18371.211159600385,0.5340,7.3485,-110.9867,-1.1314,-1.1267,0.2278,9,0.7229
short,sweep,sl,2026-02-25T10:15:00.000Z,2026-02-25T10:20:00.000Z,2026-02-25T11:20:00.000Z,0.85944209,0.86538633804,17061.12558439843,14663.049430007859,0.6614,5.8652,-107.2808,-1.1061,-1.0481,0.6583,12,0.7134
short,sweep,sl,2026-02-25T15:45:00.000Z,2026-02-25T15:50:00.000Z,2026-02-25T16:00:00.000Z,0.95421365,0.9618076557599999,13129.024289753932,12527.894188464757,0.7656,5.0112,-104.7130,-1.0917,-2.0651,0.5494,2,0.7149
short,sweep,sl,2026-02-25T16:35:00.000Z,2026-02-25T16:40:00.000Z,2026-02-25T16:45:00.000Z,0.98590414,0.9996946184399998,7032.095758284847,6932.97232096947,1.3684,2.7732,-99.7492,-1.0515,-1.1635,0.0000,1,0.8500
short,sweep,sl,2026-02-25T20:00:00.000Z,2026-02-25T20:05:00.000Z,2026-02-25T20:25:00.000Z,1.05498341,1.067450139,7728.1048774802,8153.022436481693,1.1514,3.2612,-99.6054,-1.0611,-2.5700,1.0030,4,0.7676
short,sweep,sl,2026-02-26T12:30:00.000Z,2026-02-26T12:35:00.000Z,2026-02-26T12:55:00.000Z,0.96051176,0.96701961888,14936.709121189342,14346.884766601628,0.6473,5.7388,-102.9447,-1.1084,-1.1721,0.0180,4,0.8500
short,sweep,sl,2026-02-26T14:35:00.000Z,2026-02-26T14:40:00.000Z,2026-02-26T15:25:00.000Z,0.96011188,0.97163020164,8180.749480009211,7854.434763060666,1.1693,3.1418,-97.3703,-1.0602,-1.3172,0.3930,9,0.7294
long,sweep,sl,2026-02-26T16:15:00.000Z,2026-02-26T16:20:00.000Z,2026-02-26T16:30:00.000Z,0.95888758,0.95170660234,13178.522021321933,12636.721089002096,0.7191,5.0547,-99.6894,-1.0970,-1.8255,0.3644,2,0.7046
short,sweep,sl,2026-02-26T19:05:00.000Z,2026-02-26T19:10:00.000Z,2026-02-27T02:00:00.000Z,0.9642106500000001,0.97594009422,7858.353428094314,7577.108066832548,1.1861,3.0308,-95.2050,-1.0593,-1.0221,1.1988,82,0.8500
short,sweep,sl,2026-02-27T04:15:00.000Z,2026-02-27T04:20:00.000Z,2026-02-27T06:45:00.000Z,0.9927021,1.0024008300599998,9461.696933905032,9392.646415851086,0.9467,3.7571,-95.5235,-1.0742,-1.1596,0.8940,29,0.7825
