side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-02-23T20:20:00.000Z,2026-02-23T20:25:00.000Z,2026-02-24T01:15:00.000Z,8.3074915,8.245995459000001,1694.2978406174514,14075.364909397831,0.7105,5.6301,-109.8228,-1.0982,-1.6857,2.4484,58,0.7097
long,sweep,sl,2026-02-24T03:15:00.000Z,2026-02-24T03:20:00.000Z,2026-02-24T03:45:00.000Z,8.325496900000001,8.28091498,2349.383741929517,19559.787060344595,0.5056,7.8239,-112.5640,-1.1381,-1.0570,0.0595,5,0.7145
long,sweep,tp,2026-02-24T14:35:00.000Z,2026-02-24T14:40:00.000Z,2026-02-25T01:15:00.000Z,8.2654789,8.582038,898.4720676708428,7426.301917572723,1.3166,2.9705,281.4490,2.8785,-0.1514,3.1015,127,0.8500
short,sweep,sl,2026-02-25T15:00:00.000Z,2026-02-25T15:05:00.000Z,2026-02-25T15:35:00.000Z,9.4661593,9.5278695036,1709.1929988016022,16179.493201100675,0.6217,6.4718,-111.9464,-1.1129,-1.6285,0.1896,6,0.7477
short,sweep,sl,2026-02-25T17:00:00.000Z,2026-02-25T17:05:00.000Z,2026-02-25T21:35:00.000Z,9.704087900000001,9.837580389,761.9852779164162,7394.372115406833,1.3452,2.9577,-104.6771,-1.0523,-1.0411,0.9429,54,0.7196
short,sweep,sl,2026-02-26T04:10:00.000Z,2026-02-26T04:15:00.000Z,2026-02-26T04:40:00.000Z,9.4751566,9.5489178162,1388.2651232136216,13154.02944476736,0.7482,5.2616,-107.6617,-1.0939,-1.1826,0.1856,5,0.7351
long,sweep,sl,2026-02-26T06:45:00.000Z,2026-02-26T06:50:00.000Z,2026-02-26T06:50:00.000Z,9.432829,9.3723994364,1689.5668012875094,15937.394720622056,0.6108,6.3750,-108.4747,-1.1143,-1.5764,0.1071,0,0.8500
long,sweep,sl,2026-02-26T14:30:00.000Z,2026-02-26T14:35:00.000Z,2026-02-26T14:45:00.000Z,9.3598071,9.2776178794,1212.302773576904,11346.920107474798,0.8484,4.5388,-104.1770,-1.0822,-1.0806,0.3425,2,0.8500
long,sweep,tp,2026-02-27T00:45:00.000Z,2026-02-27T00:50:00.000Z,2026-02-27T04:00:00.000Z,9.272780999999998,9.436397999999997,1634.7838186483539,15158.992332669899,0.6282,6.0636,261.4148,2.7453,-0.6658,3.1112,38,0.8500
long,sweep,sl,2026-02-27T10:15:00.000Z,2026-02-27T10:20:00.000Z,2026-02-27T10:50:00.000Z,9.218764799999999,9.1618846098,1807.3887944762616,16661.892198432193,0.5872,6.6648,-109.4694,-1.1189,-1.8430,0.0967,6,0.7143
long,sweep,sl,2026-02-27T17:30:00.000Z,2026-02-27T17:35:00.000Z,2026-02-27T22:30:00.000Z,8.884664599999999,8.8356365136,2085.981024984415,18533.241768950746,0.5220,7.4133,-109.6850,-1.1338,-2.4293,2.0772,59,0.7855
long,sweep,tp,2026-02-28T09:10:00.000Z,2026-02-28T09:15:00.000Z,2026-02-28T13:45:00.000Z,8.4835443,8.690567999999999,1321.0422892860456,11207.120783331584,0.8534,4.4828,269.0042,2.8126,-0.7534,3.0311,54,0.7809
short,sweep,sl,2026-02-28T14:00:00.000Z,2026-02-28T14:05:00.000Z,2026-02-28T18:30:00.000Z,8.6444059,8.77013025,798.8514494172201,6905.59618256577,1.4240,2.7622,-103.1973,-1.0495,-1.1665,0.7913,53,0.8018
short,sweep,sl,2026-02-28T21:00:00.000Z,2026-02-28T21:05:00.000Z,2026-02-28T22:20:00.000Z,9.1192634,9.211142514,1091.8496332078598,9956.86439841586,0.9772,3.9827,-104.3009,-1.0719,-1.1079,0.3396,15,0.7351
short,sweep,tp,2026-03-01T05:10:00.000Z,2026-03-01T05:15:00.000Z,2026-03-01T09:00:00.000Z,9.262220500000002,9.113218,1803.4964504095874,16704.381794660916,0.5762,6.6818,262.0437,2.7223,-0.6704,3.0581,45,0.7781
long,sweep,sl,2026-03-01T11:50:00.000Z,2026-03-01T11:55:00.000Z,2026-03-01T12:30:00.000Z,9.122736,9.0870570648,3000.708760235438,27374.6738325152,0.3612,10.9499,-118.0120,-1.1935,-1.4183,0.5846,7,0.8328
long,sweep,sl,2026-03-01T12:35:00.000Z,2026-03-01T12:40:00.000Z,2026-03-01T13:00:00.000Z,9.092727,9.054132945,2723.1718214410275,24761.05794645601,0.3946,9.9044,-115.0027,-1.1771,-1.0516,0.3978,4,0.7089
long,sweep,sl,2026-03-01T16:00:00.000Z,2026-03-01T16:05:00.000Z,2026-03-01T16:45:00.000Z,9.1597471,9.0760823582,1192.8329214150137,10926.0478927157,0.8837,4.3704,-104.1685,-1.0789,-1.8501,0.0278,8,0.8045
