side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-02-24T09:35:00.000Z,2026-02-24T09:40:00.000Z,2026-02-24T13:30:00.000Z,0.091057309,0.090471490408,178996.86576487674,16298.972915983903,0.6135,6.5196,-111.3793,-1.1138,-1.6599,0.8998,46,0.8500
long,sweep,tp,2026-02-24T14:35:00.000Z,2026-02-24T14:40:00.000Z,2026-02-25T12:20:00.000Z,0.091057309,0.0949594,73955.23266210004,6734.164472679736,1.4684,2.6937,285.8864,2.8911,-0.1550,3.0309,260,0.8500
long,sweep,sl,2026-02-25T22:45:00.000Z,2026-02-25T22:50:00.000Z,2026-02-25T22:50:00.000Z,0.102860849,0.102294242518,189855.12654094526,19528.659503004063,0.5210,7.8115,-115.3846,-1.1341,-1.2891,0.0000,0,0.7210
long,sweep,sl,2026-02-26T07:45:00.000Z,2026-02-26T07:50:00.000Z,2026-02-26T10:30:00.000Z,0.099699901,0.099211347664,219257.60857148364,21859.961868073668,0.4602,8.7440,-115.8630,-1.1518,-1.3512,1.7876,32,0.7779
long,sweep,sl,2026-02-26T14:30:00.000Z,2026-02-26T14:35:00.000Z,2026-02-26T14:45:00.000Z,0.099089718,0.09809392299200001,102894.16004156972,10195.75330236601,0.9752,4.0783,-106.5398,-1.0715,-1.0863,0.3418,2,0.8500
long,sweep,tp,2026-02-27T00:45:00.000Z,2026-02-27T00:50:00.000Z,2026-02-27T04:00:00.000Z,0.096448926,0.09774702,208729.67026482572,20131.752521376577,0.4886,8.0527,262.8980,2.6726,-0.2099,4.7342,38,0.7521
short,sigma,tp,2026-02-27T04:20:00.000Z,2026-02-27T04:25:00.000Z,2026-02-27T06:20:00.000Z,0.098760363,0.09801690000000005,306791.633915516,30298.853130859476,0.2909,12.1195,215.9687,2.4499,-0.6948,2.8551,23,0.5858
long,sweep,sl,2026-02-27T10:15:00.000Z,2026-02-27T10:20:00.000Z,2026-02-27T10:50:00.000Z,0.096819037,0.096048636762,139103.37561116062,13467.854870121857,0.7659,5.3871,-112.5524,-1.0911,-1.2663,0.1092,6,0.7408
long,sweep,sl,2026-02-27T17:30:00.000Z,2026-02-27T17:35:00.000Z,2026-02-27T19:40:00.000Z,0.093287978,0.09273627077,194759.7337917328,18168.741761249024,0.5616,7.2675,-114.7178,-1.1244,-1.1414,1.1110,25,0.7028
long,sweep,sl,2026-02-28T06:55:00.000Z,2026-02-28T07:00:00.000Z,2026-02-28T07:00:00.000Z,0.088716607,0.08798721591400001,143506.43940761455,12731.404386894654,0.7924,5.0926,-109.7649,-1.0880,-1.0478,0.6592,0,0.7936
short,sweep,sl,2026-02-28T13:15:00.000Z,2026-02-28T13:20:00.000Z,2026-02-28T13:45:00.000Z,0.08902328500000001,0.08960567364,179627.03531933372,15990.988758938112,0.6240,6.3964,-111.0091,-1.1125,-5.2865,0.3479,5,0.7050
short,sweep,sl,2026-02-28T14:00:00.000Z,2026-02-28T14:05:00.000Z,2026-02-28T18:50:00.000Z,0.09067279,0.092231701212,64441.09134518477,5843.053542912756,1.6888,2.3372,-102.7952,-1.0418,-1.1737,0.6288,57,0.8121
short,sweep,sl,2026-02-28T18:55:00.000Z,2026-02-28T19:00:00.000Z,2026-02-28T19:35:00.000Z,0.09204237900000001,0.09301349567999999,103525.54651564076,9528.737588574737,1.0248,3.8115,-104.3469,-1.0686,-1.3863,0.6492,7,0.7412
long,sweep,tp,2026-03-01T01:15:00.000Z,2026-03-01T01:20:00.000Z,2026-03-01T01:40:00.000Z,0.09332798999999999,0.09457835999999996,212732.59939090224,19853.905908628127,0.4866,7.9416,258.0529,2.6712,-0.0616,2.8451,4,0.7592
short,sweep,tp,2026-03-01T02:05:00.000Z,2026-03-01T02:10:00.000Z,2026-03-01T09:00:00.000Z,0.096810948,0.09328301999999998,81652.71248556631,7904.876502499111,1.2547,3.1620,284.9029,2.8725,-0.6990,2.9315,82,0.7915
long,sweep,sl,2026-03-01T09:00:00.000Z,2026-03-01T09:05:00.000Z,2026-03-01T12:45:00.000Z,0.093908164,0.09303558095,120797.80728111355,11343.900296995205,0.8995,4.5376,-109.9437,-1.0775,-1.0278,0.5231,44,0.7215
long,sweep,sl,2026-03-01T16:00:00.000Z,2026-03-01T16:05:00.000Z,2026-03-01T16:45:00.000Z,0.094218257,0.09330496011200001,114011.59418477833,10741.973681881149,0.9396,4.2968,-108.4232,-1.0742,-1.8957,0.2731,8,0.7451
long,sweep,sl,2026-03-01T23:00:00.000Z,2026-03-01T23:05:00.000Z,2026-03-02T07:05:00.000Z,0.092477735,0.0912896049,86022.98548818102,7955.21085588485,1.2552,3.1821,-105.3886,-1.0555,-1.1180,1.6647,96,0.8335
long,sweep,sl,2026-03-02T10:25:00.000Z,2026-03-02T10:30:00.000Z,2026-03-02T12:20:00.000Z,0.091957579,0.09133948993,167258.36576837493,15380.674383556234,0.6423,6.1523,-109.5328,-1.1087,-1.0286,0.3258,22,0.7001
short,sweep,sl,2026-03-02T14:50:00.000Z,2026-03-02T14:55:00.000Z,2026-03-02T15:05:00.000Z,0.09336198300000001,0.09406591131,144588.15725916225,13499.037080031234,0.7238,5.3996,-107.1793,-1.0970,-2.6905,0.3433,2,0.7195
short,sigma,sl,2026-03-02T15:25:00.000Z,2026-03-02T15:30:00.000Z,2026-03-02T15:40:00.000Z,0.09560131100000001,0.096441363732,119128.87190387015,11388.876331961053,0.8484,4.5556,-104.6301,-1.0828,-1.1573,0.8523,2,0.5275
long,sweep,sl,2026-03-03T00:30:00.000Z,2026-03-03T00:35:00.000Z,2026-03-03T02:00:00.000Z,0.093357999,0.09253673065,120457.09180497531,11245.633056271792,0.8500,4.4983,-103.4259,-1.0821,-1.4342,0.5444,17,0.8500
