side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-02-24T11:00:00.000Z,2026-02-24T11:05:00.000Z,2026-02-24T14:45:00.000Z,26.4400656,26.737370805599998,345.6781929603349,9139.754098360714,1.0941,3.6559,-106.4278,-1.0643,-1.0783,1.1721,44,0.7150
short,sweep,tp,2026-02-25T01:20:00.000Z,2026-02-25T01:25:00.000Z,2026-02-25T03:20:00.000Z,27.7856618,27.086156,404.9992251764978,11253.171500016213,0.8792,4.5013,278.7980,2.8180,-0.6686,2.8682,23,0.7186
short,sweep,sl,2026-02-26T04:15:00.000Z,2026-02-26T04:20:00.000Z,2026-02-26T04:40:00.000Z,28.073575400000003,28.345060968000002,386.8047866885602,10858.993344182212,0.9368,4.3436,-109.3555,-1.0750,-1.0397,0.2836,4,0.7218
short,sweep,tp,2026-02-26T09:45:00.000Z,2026-02-26T09:50:00.000Z,2026-02-26T15:25:00.000Z,29.137256200000003,28.22563600000001,318.9223620560852,9292.522571137315,1.0829,3.7170,287.0191,2.8522,-0.9151,3.0274,67,0.7037
short,sigma,tp,2026-02-27T04:20:00.000Z,2026-02-27T04:25:00.000Z,2026-02-27T06:20:00.000Z,29.4461635,28.83338199999999,479.07396713305207,14106.890364793479,0.7337,5.6428,287.9249,2.7819,-0.2261,3.0557,23,0.5956
long,sweep,sl,2026-02-27T13:35:00.000Z,2026-02-27T13:40:00.000Z,2026-02-27T16:30:00.000Z,28.0434105,27.716122668,333.50916973447767,9352.734552378133,1.1374,3.7411,-112.8946,-1.0612,-1.1080,1.1838,34,0.7694
long,sweep,tp,2026-02-28T06:55:00.000Z,2026-02-28T07:00:00.000Z,2026-02-28T07:35:00.000Z,26.2218642,26.820383999999994,501.21214385790006,13142.716771632719,0.8008,5.2571,294.7283,2.8003,-0.5613,3.2436,7,0.7194
short,sweep,sl,2026-02-28T14:00:00.000Z,2026-02-28T14:05:00.000Z,2026-02-28T14:35:00.000Z,27.4047761,27.813841649999997,270.00616586468607,7399.458521141184,1.4622,2.9598,-113.4100,-1.0482,-1.0012,0.0968,6,0.8500
short,sweep,sl,2026-02-28T17:15:00.000Z,2026-02-28T17:20:00.000Z,2026-02-28T17:45:00.000Z,28.901327000000002,29.161935956999997,425.0875427031053,12285.594075288911,0.8715,4.9142,-115.6959,-1.0806,-2.0554,0.4420,5,0.7066
short,sweep,sl,2026-03-01T11:05:00.000Z,2026-03-01T11:10:00.000Z,2026-03-01T13:50:00.000Z,31.010694,31.2497281068,461.14230991698065,14300.343063288652,0.7406,5.7201,-115.9489,-1.0948,-1.1726,1.8753,32,0.7480
short,sweep,sl,2026-03-01T15:15:00.000Z,2026-03-01T15:20:00.000Z,2026-03-01T15:35:00.000Z,31.1876409,31.405084699799996,503.53239299640114,15703.987454289434,0.6670,6.2816,-115.7716,-1.1052,-1.1362,0.1329,3,0.7006
short,sweep,sl,2026-03-01T22:10:00.000Z,2026-03-01T22:15:00.000Z,2026-03-01T22:25:00.000Z,31.711483700000002,32.000451256199995,370.79696906916365,11758.522040646189,0.8810,4.7034,-111.8517,-1.0798,-1.0077,0.0626,2,0.7046
