side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-02-24T03:45:00.000Z,2026-02-24T03:50:00.000Z,2026-02-24T04:35:00.000Z,3.240972,3.2195798362,4895.721139723762,15866.8951336528,0.6302,6.3468,-111.0768,-1.1108,-1.5163,0.8826,9,0.8500
long,sweep,sl,2026-02-24T04:35:00.000Z,2026-02-24T04:40:00.000Z,2026-02-24T05:35:00.000Z,3.2389714,3.2026189260000004,2794.1599296457484,9050.204099148592,1.0927,3.6201,-105.1947,-1.0638,-1.3272,0.2269,11,0.8500
short,sweep,sl,2026-02-24T08:30:00.000Z,2026-02-24T08:35:00.000Z,2026-02-24T08:55:00.000Z,3.2150352000000004,3.2304148338,6789.164005865677,21827.40125743116,0.4482,8.7310,-113.1458,-1.1565,-2.0793,0.6964,4,0.8500
long,sweep,tp,2026-02-24T13:30:00.000Z,2026-02-24T13:35:00.000Z,2026-02-24T15:15:00.000Z,3.1589473999999997,3.2637739999999993,2671.033229532411,8437.653475745012,1.1461,3.3751,276.6203,2.8604,-0.7443,3.5921,20,0.7403
short,sigma,sl,2026-02-24T15:20:00.000Z,2026-02-24T15:25:00.000Z,2026-02-24T15:25:00.000Z,3.2710184,3.292557471,4840.111192997003,15832.092770339148,0.6283,6.3328,-110.5843,-1.1117,-1.3129,0.0496,0,0.5055
short,sweep,sl,2026-02-25T08:45:00.000Z,2026-02-25T08:50:00.000Z,2026-02-25T09:50:00.000Z,3.189043,3.2043550182,6854.308817265543,21858.68555353896,0.4500,8.7435,-113.6968,-1.1559,-1.0422,1.0482,12,0.8500
short,sweep,sl,2026-02-25T15:45:00.000Z,2026-02-25T15:50:00.000Z,2026-02-25T19:55:00.000Z,3.3290010000000003,3.3567047094,3641.95295654118,12124.065034278545,0.8020,4.8496,-105.7452,-1.0876,-1.0488,1.8354,49,0.7259
short,sweep,sl,2026-02-26T04:10:00.000Z,2026-02-26T04:15:00.000Z,2026-02-26T04:25:00.000Z,3.249025,3.2755183607999996,3769.815599430771,12248.225127940561,0.7852,4.8993,-104.7744,-1.0895,-1.0574,0.0010,2,0.7731
short,sweep,sl,2026-02-26T14:35:00.000Z,2026-02-26T14:40:00.000Z,2026-02-27T02:20:00.000Z,3.1900427,3.2344240362,2191.2272152253813,6990.108381971056,1.3608,2.7960,-100.0456,-1.0517,-1.0586,2.4658,140,0.8195
short,sweep,sl,2026-02-27T04:15:00.000Z,2026-02-27T04:20:00.000Z,2026-02-27T08:00:00.000Z,3.259022,3.2765206613999998,5698.932287326839,18572.94570090849,0.5068,7.4292,-107.1529,-1.1384,-1.5124,2.4232,44,0.7085
long,sweep,sl,2026-02-27T11:05:00.000Z,2026-02-27T11:10:00.000Z,2026-02-27T11:30:00.000Z,3.2219663,3.1966327224000004,3817.62910156655,12300.272311146702,0.7565,4.9201,-101.6343,-1.0922,-1.1474,0.1655,4,0.8054
long,sweep,sl,2026-02-27T21:55:00.000Z,2026-02-27T22:00:00.000Z,2026-02-27T22:25:00.000Z,3.060918,3.0389960275999996,4380.566106146646,13408.55364449418,0.6864,5.3634,-101.3941,-1.1017,-1.0432,0.2895,5,0.7373
short,sweep,sl,2026-02-28T14:00:00.000Z,2026-02-28T14:05:00.000Z,2026-02-28T18:50:00.000Z,2.9641105,3.0079041006,2122.139658972325,6290.256445626287,1.4470,2.5161,-95.4522,-1.0487,-1.2564,0.9352,57,0.8500
long,sweep,sl,2026-03-01T00:40:00.000Z,2026-03-01T00:45:00.000Z,2026-03-01T01:10:00.000Z,3.0909269999999998,3.0609454408,3099.0341943572616,9578.888465262107,0.9403,3.8316,-96.7454,-1.0741,-1.1330,0.1401,5,0.8500
long,sweep,sl,2026-03-01T09:00:00.000Z,2026-03-01T09:05:00.000Z,2026-03-01T09:35:00.000Z,3.0929276,3.062940842,3065.2608562500686,9480.62990349547,0.9398,3.7923,-95.7095,-1.0742,-1.2360,0.1401,6,0.8088
long,sweep,sl,2026-03-01T16:50:00.000Z,2026-03-01T16:55:00.000Z,2026-03-01T19:25:00.000Z,3.0299087,2.9970926024,2761.647713908005,8367.540434704975,1.0534,3.3470,-93.9735,-1.0662,-1.0311,0.6608,30,0.8500
short,sigma,sl,2026-03-02T15:15:00.000Z,2026-03-02T15:20:00.000Z,2026-03-02T15:20:00.000Z,3.1200637,3.137200878,5384.127635298527,16798.821191061772,0.5191,6.7195,-98.9883,-1.1351,-1.2927,0.0039,0,0.6003
long,sweep,sl,2026-03-03T00:30:00.000Z,2026-03-03T00:35:00.000Z,2026-03-03T02:00:00.000Z,3.0729216,3.0509684348,4098.046526134715,12592.975687964332,0.6846,5.0372,-95.0023,-1.1019,-1.0420,0.9544,17,0.7064
long,sweep,sl,2026-03-03T04:55:00.000Z,2026-03-03T05:00:00.000Z,2026-03-03T05:50:00.000Z,3.0599177,3.0449822312,6080.791970417535,18606.72298029849,0.4582,7.4427,-98.2622,-1.1525,-1.2779,1.7888,10,0.7345
short,sweep,sl,2026-03-03T15:40:00.000Z,2026-03-03T15:45:00.000Z,2026-03-03T16:05:00.000Z,3.0030988,3.031959315,3015.270152700041,9055.15417724931,0.9307,3.6221,-90.6443,-1.0755,-1.4633,0.0035,4,0.7500
