side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,tp,2026-02-24T06:00:00.000Z,2026-02-24T06:05:00.000Z,2026-02-24T08:25:00.000Z,50.31509,50.99101999999999,407.44815222263145,20500.7904494154,0.4878,8.2003,267.2061,2.6721,-0.0615,2.7907,28,0.7339
short,sweep,sl,2026-02-24T14:50:00.000Z,2026-02-24T14:55:00.000Z,2026-02-24T15:20:00.000Z,51.074673000000004,51.407997774,322.96256808916235,16495.2075563942,0.6224,6.5981,-114.2495,-1.1128,-1.1177,0.7067,5,0.8500
short,sweep,tp,2026-02-25T02:30:00.000Z,2026-02-25T02:35:00.000Z,2026-02-25T05:35:00.000Z,52.794157000000006,52.072300000000006,387.89792297447906,20478.743845488556,0.4958,8.1915,271.8153,2.6772,-0.2898,3.1869,36,0.7030
long,sigma,tp,2026-02-25T23:45:00.000Z,2026-02-25T23:50:00.000Z,2026-02-26T00:05:00.000Z,56.236866,56.79683999999999,498.44471989697547,28030.96892125374,0.3719,11.2124,267.9037,2.5699,-0.2241,3.1707,3,0.5069
short,sweep,sl,2026-02-27T03:55:00.000Z,2026-02-27T04:00:00.000Z,2026-02-27T04:10:00.000Z,55.903224,56.158902618,447.69949399455066,25027.845097464022,0.4272,10.0111,-124.4783,-1.1641,-1.4938,0.0135,2,0.7363
long,sigma,sl,2026-02-28T06:40:00.000Z,2026-02-28T06:45:00.000Z,2026-02-28T06:50:00.000Z,52.955881999999995,52.439143536,210.9412199716879,11170.578353756748,0.9461,4.4682,-113.4697,-1.0737,-1.6485,0.0000,1,0.5243
long,sweep,sl,2026-03-01T12:05:00.000Z,2026-03-01T12:10:00.000Z,2026-03-01T12:50:00.000Z,53.966185,53.726177310000004,466.9686506680356,25200.516591151583,0.4149,10.0802,-122.1563,-1.1684,-1.3676,0.2850,8,0.7190
short,sigma,sl,2026-03-02T14:50:00.000Z,2026-03-02T14:55:00.000Z,2026-03-02T15:05:00.000Z,54.113761000000004,54.485060616,291.0919672890647,15752.081146900267,0.6559,6.3008,-114.3832,-1.1070,-1.9896,0.2078,2,0.5041
short,sigma,sl,2026-03-02T15:15:00.000Z,2026-03-02T15:20:00.000Z,2026-03-02T15:40:00.000Z,54.923518,55.256832077999995,322.60288163748186,17718.485176468104,0.5767,7.0874,-114.6155,-1.1217,-1.4096,1.0214,4,0.6038
long,sweep,tp,2026-03-02T17:45:00.000Z,2026-03-02T17:50:00.000Z,2026-03-02T22:25:00.000Z,54.366305,55.18508,342.88336644794293,18641.301679735632,0.5420,7.4565,273.2878,2.7049,-0.4965,3.1687,55,0.7657
