side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-02-24T14:10:00.000Z,2026-02-24T14:15:00.000Z,2026-02-24T14:30:00.000Z,0.9652894999999999,0.9567948754,12183.97806883959,11761.066098081132,0.8503,4.7044,-108.2027,-1.0820,-1.4973,0.0866,3,0.7991
short,sweep,tp,2026-02-25T21:35:00.000Z,2026-02-25T21:40:00.000Z,2026-02-25T23:25:00.000Z,1.2426271000000002,1.181434000000001,4734.072550589632,5882.686844728798,1.6815,2.3531,287.3395,2.9048,-0.4007,2.9494,21,0.7058
long,sweep,sl,2026-02-26T02:40:00.000Z,2026-02-26T02:45:00.000Z,2026-02-26T03:20:00.000Z,1.1593477,1.152344193,15289.269198054557,17725.579079445397,0.5743,7.0902,-114.1687,-1.1216,-1.4040,0.5486,7,0.7196
long,sweep,sl,2026-02-26T10:30:00.000Z,2026-02-26T10:35:00.000Z,2026-02-26T11:25:00.000Z,1.1303389999999998,1.1244085762,17995.65174057602,20341.186992790954,0.4948,8.1365,-114.8583,-1.1412,-1.6698,0.6546,10,0.7677
long,sweep,sl,2026-02-26T14:20:00.000Z,2026-02-26T14:25:00.000Z,2026-02-26T14:45:00.000Z,1.1293387,1.1214154744000002,13115.201210444562,14811.504285241886,0.6718,5.9246,-109.8393,-1.1039,-1.4945,0.7462,4,0.8500
long,sweep,sl,2026-02-27T10:55:00.000Z,2026-02-27T11:00:00.000Z,2026-02-27T12:00:00.000Z,1.1253374999999999,1.1164269714000001,11474.86490890805,12913.095789428311,0.7620,5.1652,-107.4124,-1.0916,-1.4387,1.8264,12,0.8202
short,sweep,sl,2026-02-28T11:00:00.000Z,2026-02-28T11:05:00.000Z,2026-02-28T13:45:00.000Z,1.0576826000000001,1.0704570408,7815.422336363016,8266.23621682251,1.1774,3.3065,-103.1441,-1.0598,-1.2300,1.1790,32,0.7954
short,sweep,sl,2026-02-28T14:00:00.000Z,2026-02-28T14:05:00.000Z,2026-02-28T17:55:00.000Z,1.0626811,1.0784754455999999,6224.404467688773,6614.55698656842,1.4558,2.6458,-100.9562,-1.0484,-1.0548,0.6258,46,0.7050
short,sweep,sl,2026-02-28T18:15:00.000Z,2026-02-28T18:20:00.000Z,2026-02-28T18:45:00.000Z,1.0806757,1.0945122552,7054.002124475388,7623.088683668927,1.2500,3.0492,-100.6523,-1.0563,-1.1344,1.0124,5,0.7392
short,sweep,sl,2026-03-01T02:15:00.000Z,2026-03-01T02:20:00.000Z,2026-03-01T07:35:00.000Z,1.1806457000000001,1.1967469164,5989.026612728442,7070.918517503401,1.3334,2.8284,-99.2590,-1.0528,-1.1024,2.7090,63,0.7367
short,sweep,sl,2026-03-01T13:55:00.000Z,2026-03-01T14:00:00.000Z,2026-03-01T14:05:00.000Z,1.1646505,1.1746963031999997,9623.816354909695,11208.382529653754,0.8323,4.4834,-101.1623,-1.0844,-1.5835,0.0000,1,0.8085
long,sweep,sl,2026-03-01T16:50:00.000Z,2026-03-01T16:55:00.000Z,2026-03-01T17:20:00.000Z,1.1423425999999999,1.1303947798,7949.006827253349,9080.48912646234,1.0162,3.6322,-98.6055,-1.0686,-1.0632,0.3151,5,0.8500
long,sweep,sl,2026-03-01T17:20:00.000Z,2026-03-01T17:25:00.000Z,2026-03-01T20:00:00.000Z,1.1393417,1.127401678,7868.742137354152,8965.186043634712,1.0183,3.5861,-97.5390,-1.0684,-1.0638,1.5220,31,0.7144
short,sweep,sl,2026-03-01T23:10:00.000Z,2026-03-01T23:15:00.000Z,2026-03-02T00:10:00.000Z,1.1526541000000001,1.1596617941999998,13561.073795168939,15631.22731040404,0.5778,6.2525,-101.2843,-1.1215,-1.2532,1.9000,11,0.7783
short,sweep,sl,2026-03-02T00:20:00.000Z,2026-03-02T00:25:00.000Z,2026-03-02T00:45:00.000Z,1.1636507999999999,1.1736940026,9214.80847339832,10722.819251916731,0.8328,4.2891,-96.8353,-1.0844,-1.2743,0.2735,4,0.7933
short,sweep,sl,2026-03-02T03:25:00.000Z,2026-03-02T03:30:00.000Z,2026-03-02T04:25:00.000Z,1.1956412,1.2037630206,11382.099618107251,13608.907245913297,0.6491,5.4436,-97.8869,-1.1081,-1.5925,0.8557,11,0.7223
long,sweep,sl,2026-03-02T04:55:00.000Z,2026-03-02T05:00:00.000Z,2026-03-02T05:05:00.000Z,1.1903569999999999,1.1782844086000002,7454.162417930599,8873.114413320613,0.9845,3.5492,-93.5403,-1.0708,-1.2251,0.6522,1,0.7504
short,sweep,sl,2026-03-02T21:35:00.000Z,2026-03-02T21:40:00.000Z,2026-03-02T22:15:00.000Z,1.3735878000000001,1.3901909322000001,5339.11148676436,7333.738401059387,1.1784,2.9335,-91.5795,-1.0597,-1.1375,0.6541,7,0.8500
short,sweep,sl,2026-03-03T14:30:00.000Z,2026-03-03T14:35:00.000Z,2026-03-03T15:35:00.000Z,1.3485953,1.3671380184000002,4715.466072620555,6359.255382845538,1.3446,2.5437,-89.9813,-1.0524,-2.2283,1.7976,12,0.7689
short,sweep,sl,2026-03-03T15:40:00.000Z,2026-03-03T15:45:00.000Z,2026-03-03T16:25:00.000Z,1.3865839,1.4002139381999998,6404.517682559769,8880.401105902687,0.9527,3.5522,-90.8460,-1.0738,-1.1670,1.4825,8,0.7030
short,sweep,tp,2026-03-04T03:20:00.000Z,2026-03-04T03:25:00.000Z,2026-03-04T07:10:00.000Z,1.3985803,1.348522,4853.143637387927,6787.511084321099,1.2331,2.7150,240.2251,2.8702,-0.1983,3.5128,45,0.8499
long,sweep,tp,2026-03-04T07:15:00.000Z,2026-03-04T07:20:00.000Z,2026-03-04T08:05:00.000Z,1.3454035,1.3770220000000002,7772.341266928213,10456.935143719653,0.8234,4.1828,241.5670,2.8057,-0.2170,3.3940,9,0.8214
short,sweep,tp,2026-03-04T19:20:00.000Z,2026-03-04T19:25:00.000Z,2026-03-05T00:50:00.000Z,1.3186043,1.275014,5878.306804313251,7751.1606288867115,1.1419,3.1005,253.1367,2.8599,-0.6904,3.1615,65,0.7349
long,sweep,sl,2026-03-05T11:40:00.000Z,2026-03-05T11:45:00.000Z,2026-03-05T15:15:00.000Z,1.2853854999999998,1.2750613668000002,9158.089553459065,11771.675519717755,0.7734,4.7087,-99.2580,-1.0902,-1.7488,1.8724,42,0.7059
long,sweep,sl,2026-03-06T09:40:00.000Z,2026-03-06T09:45:00.000Z,2026-03-06T11:40:00.000Z,1.2593777,1.252114253,13074.403244850644,16465.61188737254,0.5469,6.5862,-101.5515,-1.1277,-1.2163,0.9615,23,0.8240
long,sweep,sl,2026-03-06T13:30:00.000Z,2026-03-06T13:35:00.000Z,2026-03-06T13:55:00.000Z,1.2663798,1.242137247,3730.113047941466,4723.739815629504,1.8849,1.8895,-92.3170,-1.0368,-1.3146,0.0679,4,0.8500
short,sweep,sl,2026-03-07T11:05:00.000Z,2026-03-07T11:10:00.000Z,2026-03-07T11:10:00.000Z,1.2186343000000002,1.2248113332000001,15166.683794324075,18482.641089017467,0.4767,7.3931,-101.0782,-1.1471,-1.0957,0.1092,0,0.8500
short,sweep,sl,2026-03-07T13:15:00.000Z,2026-03-07T13:20:00.000Z,2026-03-07T15:05:00.000Z,1.2286313000000002,1.2368389403999998,11114.767846442537,13655.951668372896,0.6378,5.4624,-96.6884,-1.1100,-1.0679,1.8670,21,0.8174
long,sweep,sl,2026-03-08T02:50:00.000Z,2026-03-08T02:55:00.000Z,2026-03-08T06:15:00.000Z,1.2053615,1.1972407200000001,11097.882780314223,13376.960634903722,0.6439,5.3508,-95.4742,-1.1084,-1.5927,1.4995,40,0.8500
short,sweep,sl,2026-03-08T08:45:00.000Z,2026-03-08T08:50:00.000Z,2026-03-08T09:10:00.000Z,1.2136358,1.2197998302000002,14691.020439381278,17829.54834376485,0.4778,7.1318,-97.6877,-1.1468,-1.4426,0.4546,4,0.7041
long,sweep,sl,2026-03-08T12:15:00.000Z,2026-03-08T12:20:00.000Z,2026-03-08T13:15:00.000Z,1.2313693,1.2211855344,8577.164554579558,10561.657113557443,0.7973,4.2247,-91.5725,-1.0875,-1.1581,2.4070,11,0.7957
long,sweep,tp,2026-03-09T05:05:00.000Z,2026-03-09T05:10:00.000Z,2026-03-09T05:45:00.000Z,1.2313693,1.2533560000000001,10648.980683499654,13112.827889954491,0.6352,5.2451,228.8908,2.7482,-0.3029,3.1492,7,0.7073
short,sweep,sl,2026-03-09T12:30:00.000Z,2026-03-09T12:35:00.000Z,2026-03-09T12:35:00.000Z,1.2346295,1.2418504434,12495.842993974582,15427.736387729341,0.5547,6.1711,-96.4029,-1.1265,-1.5143,0.0000,0,0.8500
long,sweep,sl,2026-03-10T18:45:00.000Z,2026-03-10T18:50:00.000Z,2026-03-10T21:35:00.000Z,1.2853854999999998,1.2730659655999998,7088.062998847093,9110.89340180457,0.9287,3.6444,-90.9660,-1.0751,-1.1213,0.6379,33,0.7517
long,sweep,tp,2026-03-11T05:40:00.000Z,2026-03-11T05:45:00.000Z,2026-03-11T12:30:00.000Z,1.2743822,1.305596,7669.283329579169,9773.598161972426,0.8564,3.9094,235.4780,2.8132,-0.5848,2.8969,81,0.8500
short,sweep,sl,2026-03-11T12:30:00.000Z,2026-03-11T12:35:00.000Z,2026-03-11T13:10:00.000Z,1.2966109,1.3090045836000002,7170.91537300511,9297.887035615991,0.9256,3.7192,-92.5932,-1.0759,-1.6989,0.2176,7,0.8452
long,sweep,sl,2026-03-11T15:30:00.000Z,2026-03-11T15:35:00.000Z,2026-03-12T05:05:00.000Z,1.2943882,1.2800498697999998,6100.882914984433,7896.9108547374535,1.0781,3.1588,-90.6352,-1.0646,-1.0311,0.7605,162,0.8007
long,sweep,tp,2026-03-12T05:25:00.000Z,2026-03-12T05:30:00.000Z,2026-03-12T06:40:00.000Z,1.280384,1.2966620000000002,14184.336138664841,18161.397042568242,0.4638,7.2646,223.6281,2.6551,-0.2331,3.3035,14,0.7318
short,sweep,sl,2026-03-12T08:10:00.000Z,2026-03-12T08:15:00.000Z,2026-03-12T09:45:00.000Z,1.3166049,1.3320574974,5743.857985389933,7562.3915684685135,1.1433,3.0250,-91.7825,-1.0615,-1.3549,0.4388,18,0.7860
