side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-02-24T09:35:00.000Z,2026-02-24T09:40:00.000Z,2026-02-24T11:30:00.000Z,2.3056915,2.2817412722,4298.209795620135,9910.345790978083,1.0090,3.9641,-106.9072,-1.0691,-1.0183,0.1422,22,0.8500
long,sweep,tp,2026-02-24T11:45:00.000Z,2026-02-24T11:50:00.000Z,2026-02-24T14:35:00.000Z,2.2816843,2.312650000000001,8806.14970042281,20092.85351490443,0.4924,8.0371,264.6514,2.6751,-0.3280,3.2326,33,0.7420
long,sweep,tp,2026-02-24T14:35:00.000Z,2026-02-24T14:40:00.000Z,2026-02-25T01:10:00.000Z,2.3126936,2.4156919999999986,2881.0084084903315,6662.889707861775,1.5245,2.6652,294.0741,2.8951,-0.1331,3.2420,126,0.8500
long,sweep,tp,2026-02-26T21:10:00.000Z,2026-02-26T21:15:00.000Z,2026-02-27T02:20:00.000Z,2.4257275,2.4664959999999994,7178.693160408505,17413.55341326482,0.6002,6.9654,285.6991,2.7335,-0.4621,2.9034,61,0.7316
short,sweep,sl,2026-02-27T02:20:00.000Z,2026-02-27T02:25:00.000Z,2026-02-27T02:30:00.000Z,2.4582623000000003,2.4736778807999995,7317.52553046733,17988.397140835343,0.5969,7.1954,-119.9993,-1.1176,-1.0044,0.0000,1,0.7689
short,sweep,sl,2026-02-27T02:35:00.000Z,2026-02-27T02:40:00.000Z,2026-02-27T03:50:00.000Z,2.4582623000000003,2.4796916844,5132.781666907151,12617.723665889009,0.8415,5.0471,-115.0394,-1.0835,-1.3893,0.5444,14,0.7238
short,sweep,sl,2026-02-27T06:15:00.000Z,2026-02-27T06:20:00.000Z,2026-02-27T08:00:00.000Z,2.5482353,2.5749102414,4054.5884142835826,10332.04532424845,1.0165,4.1328,-112.2887,-1.0692,-1.3807,0.3951,20,0.8500
short,sweep,sl,2026-02-27T09:15:00.000Z,2026-02-27T09:20:00.000Z,2026-02-27T09:30:00.000Z,2.5862239000000002,2.5969608546000003,10433.908080240766,26984.42244752179,0.3850,10.7938,-122.8222,-1.1821,-1.8855,1.1271,2,0.8465
short,sweep,tp,2026-02-28T00:50:00.000Z,2026-02-28T00:55:00.000Z,2026-02-28T01:30:00.000Z,2.4422671,2.4133120000000003,9659.85928839998,23591.956530688683,0.4352,9.4368,270.2654,2.6323,-0.7275,2.9417,7,0.7482
short,sweep,sl,2026-02-28T14:00:00.000Z,2026-02-28T14:05:00.000Z,2026-02-28T18:35:00.000Z,2.3133058,2.350394907,2896.2113357217263,6699.822480950817,1.5728,2.6799,-110.0978,-1.0448,-1.2284,1.0803,54,0.7032
long,sweep,sl,2026-03-01T00:40:00.000Z,2026-03-01T00:45:00.000Z,2026-03-01T01:10:00.000Z,2.4207259999999997,2.404458446,6707.535975170046,16237.106731029484,0.6422,6.4948,-115.6100,-1.1087,-1.1402,0.2749,5,0.7188
short,sweep,sl,2026-03-02T03:30:00.000Z,2026-03-02T03:35:00.000Z,2026-03-02T03:35:00.000Z,2.4682593,2.4867077885999995,5825.057974559745,14377.753518746254,0.7172,5.7511,-113.2146,-1.0979,-1.2846,0.0000,0,0.7487
short,sigma,sl,2026-03-02T14:55:00.000Z,2026-03-02T15:00:00.000Z,2026-03-02T15:05:00.000Z,2.4972506,2.5077561011999996,10456.569774210519,26112.675142589083,0.3906,10.4451,-120.2966,-1.1795,-4.8957,1.0510,1,0.5286
short,sigma,sl,2026-03-02T15:15:00.000Z,2026-03-02T15:20:00.000Z,2026-03-02T15:20:00.000Z,2.5482353,2.5648872354,6345.529530375939,16169.90234649639,0.6233,6.4680,-112.1333,-1.1126,-1.3074,0.0000,0,0.5668
short,sweep,tp,2026-03-03T08:10:00.000Z,2026-03-03T08:15:00.000Z,2026-03-03T10:05:00.000Z,2.4562629,2.388149999999999,4207.4719482136015,10334.65724918779,0.9644,4.1339,282.4493,2.8340,-0.2000,2.8819,22,0.7834
long,sweep,tp,2026-03-03T15:20:00.000Z,2026-03-03T15:25:00.000Z,2026-03-03T16:05:00.000Z,2.3947182000000002,2.450280000000001,5261.641286984754,12600.148151813813,0.8134,5.0401,287.3062,2.8033,-0.0369,3.2489,8,0.8287
short,sweep,sl,2026-03-03T16:25:00.000Z,2026-03-03T16:30:00.000Z,2026-03-03T18:25:00.000Z,2.4852542000000004,2.5057514999999997,5335.8366504338255,13260.910446004598,0.7945,5.3044,-114.6746,-1.0884,-1.0000,2.7983,23,0.7337
long,sweep,tp,2026-03-04T05:35:00.000Z,2026-03-04T05:40:00.000Z,2026-03-04T08:45:00.000Z,2.4697406999999996,2.5406999999999993,4229.328600429458,10445.344978154668,0.9977,4.1781,295.9321,2.8397,-0.6388,3.1760,37,0.8500
short,sweep,sl,2026-03-04T08:50:00.000Z,2026-03-04T08:55:00.000Z,2026-03-04T08:55:00.000Z,2.5362389,2.5548642293999997,6001.026806180187,15220.03762577695,0.7042,6.0880,-117.8591,-1.0997,-1.3305,0.0000,0,0.8500
short,sweep,tp,2026-03-04T09:20:00.000Z,2026-03-04T09:25:00.000Z,2026-03-04T11:35:00.000Z,2.5772266,2.514436,4826.392974660814,12438.708356348974,0.8521,4.9755,298.0766,2.8122,-0.8093,3.5165,26,0.7255
short,sweep,sl,2026-03-04T14:15:00.000Z,2026-03-04T14:20:00.000Z,2026-03-04T14:30:00.000Z,2.549235,2.5648872354,7322.120066346574,18665.804747333008,0.5838,7.4663,-122.0739,-1.1202,-2.2015,0.2846,2,0.7448
short,sweep,tp,2026-03-04T19:20:00.000Z,2026-03-04T19:25:00.000Z,2026-03-04T23:30:00.000Z,2.6062179000000003,2.528232,3985.2790787589797,10386.505671557165,1.0374,4.1546,306.6410,2.8457,-0.5097,2.8929,49,0.7710
long,sweep,sl,2026-03-05T00:35:00.000Z,2026-03-05T00:40:00.000Z,2026-03-05T01:45:00.000Z,2.5277581000000002,2.5171986138,11303.514243406978,28572.549687237362,0.3879,11.4290,-130.7883,-1.1802,-1.1993,2.4726,13,0.7929
long,sweep,tp,2026-03-05T07:55:00.000Z,2026-03-05T08:00:00.000Z,2026-03-05T10:35:00.000Z,2.5197557,2.585012000000001,4811.702296971853,12124.31428949792,0.9033,4.8497,309.1442,2.8229,-0.4286,2.9985,31,0.8500
long,sweep,sl,2026-03-05T12:05:00.000Z,2026-03-05T12:10:00.000Z,2026-03-05T12:15:00.000Z,2.5377611,2.524182518,8782.736457655954,22288.48693379108,0.5052,8.9154,-128.1725,-1.1383,-1.2293,0.0000,1,0.7658
long,sweep,sl,2026-03-05T12:15:00.000Z,2026-03-05T12:20:00.000Z,2026-03-05T13:30:00.000Z,2.5367608,2.5162009132,5620.991748352428,14259.111524343904,0.7807,5.7036,-121.2706,-1.0894,-1.2502,0.8705,14,0.7504
short,sweep,tp,2026-03-05T14:35:00.000Z,2026-03-05T14:40:00.000Z,2026-03-05T16:05:00.000Z,2.539238,2.473658000000001,4813.337619827625,12222.209791095858,0.9009,4.8889,310.7698,2.8224,-0.9076,3.4638,17,0.7280
short,sweep,sl,2026-03-06T10:15:00.000Z,2026-03-06T10:20:00.000Z,2026-03-06T10:25:00.000Z,2.5362389,2.545843524,12805.828388219985,32478.640104927825,0.3486,12.9915,-135.9866,-1.2011,-1.1041,0.0000,1,0.7153
long,sweep,sl,2026-03-06T14:00:00.000Z,2026-03-06T14:05:00.000Z,2026-03-06T14:10:00.000Z,2.4577370999999997,2.4294009610000002,4051.774475982701,9958.196450455742,1.1233,3.9833,-118.7949,-1.0620,-1.5480,0.0000,1,0.8500
long,sweep,tp,2026-03-06T16:10:00.000Z,2026-03-06T16:15:00.000Z,2026-03-06T16:35:00.000Z,2.3847152,2.416267999999999,9647.621338885065,23006.829250683564,0.4810,9.2027,295.2067,2.6675,-0.2367,2.9016,4,0.8238
short,sweep,tp,2026-03-06T19:15:00.000Z,2026-03-06T19:20:00.000Z,2026-03-07T02:45:00.000Z,2.4292710000000004,2.403396,11839.310331502766,28760.89324832006,0.3951,11.5044,294.8378,2.5949,-0.3886,2.8416,89,0.8500
short,sweep,tp,2026-03-07T17:25:00.000Z,2026-03-07T17:30:00.000Z,2026-03-07T18:00:00.000Z,2.3752872,2.352726,13761.42031764573,32687.325534323834,0.3566,13.0749,297.3992,2.5512,-0.3203,3.1033,6,0.7289
long,sweep,sl,2026-03-07T19:55:00.000Z,2026-03-07T20:00:00.000Z,2026-03-07T22:20:00.000Z,2.3437029,2.3316263022,10507.6278674581,24626.757905082366,0.4854,9.8507,-136.7471,-1.1439,-1.9076,1.3446,28,0.7437
long,sweep,sl,2026-03-08T01:05:00.000Z,2026-03-08T01:10:00.000Z,2026-03-08T01:30:00.000Z,2.3276980999999997,2.3116722902000006,7707.800007682727,17941.431433063066,0.6587,7.1766,-130.7003,-1.1060,-1.0891,0.0197,4,0.8500
long,sweep,sl,2026-03-08T02:10:00.000Z,2026-03-08T02:15:00.000Z,2026-03-08T02:30:00.000Z,2.3156944999999998,2.3026929847999997,9493.502083835761,21984.05056127701,0.5316,8.7936,-132.2235,-1.1314,-1.1124,0.0248,3,0.8214
long,sweep,tp,2026-03-08T12:15:00.000Z,2026-03-08T12:20:00.000Z,2026-03-08T12:40:00.000Z,2.330699,2.370926,8057.145393234244,18778.78071086566,0.6153,7.5115,316.6033,2.7400,-0.0487,2.8102,4,0.7955
long,sweep,sl,2026-03-08T13:25:00.000Z,2026-03-08T13:30:00.000Z,2026-03-08T15:35:00.000Z,2.330699,2.3026929847999997,4346.093898548921,10129.436703254072,1.1720,4.0518,-125.7685,-1.0594,-1.0507,0.3771,25,0.8358
long,sweep,tp,2026-03-08T22:05:00.000Z,2026-03-08T22:10:00.000Z,2026-03-09T05:40:00.000Z,2.3136939,2.410710000000001,3531.031219256229,8169.7253927027,1.4377,3.2679,339.2990,2.8887,-0.6522,3.0756,90,0.8500
short,sweep,tp,2026-03-09T05:50:00.000Z,2026-03-09T05:55:00.000Z,2026-03-09T07:15:00.000Z,2.4102767000000003,2.3574560000000004,6507.291317858967,15684.372643547764,0.7705,6.2737,337.4459,2.7923,-0.7390,3.3534,16,0.8500
long,sweep,sl,2026-03-09T09:10:00.000Z,2026-03-09T09:15:00.000Z,2026-03-09T11:15:00.000Z,2.3647091999999996,2.3465918112,7133.859289844081,16869.502694199764,0.7364,6.7478,-135.9947,-1.0948,-1.7636,1.2227,24,0.7060
short,sweep,sl,2026-03-10T14:45:00.000Z,2026-03-10T14:50:00.000Z,2026-03-10T14:50:00.000Z,2.4462659,2.4606479730000004,9004.87181647355,22028.310858510304,0.5578,8.8113,-138.3200,-1.1258,-1.3731,0.0000,0,0.7396
