side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-02-24T07:15:00.000Z,2026-02-24T07:20:00.000Z,2026-02-24T12:25:00.000Z,0.29421171,0.2961798273,53211.5852263361,15655.471481251083,0.6388,6.2622,-110.9888,-1.1099,-1.1112,1.3365,61,0.8500
long,sweep,tp,2026-02-24T13:30:00.000Z,2026-02-24T13:35:00.000Z,2026-02-25T01:10:00.000Z,0.29408819999999997,0.3038477999999999,29337.282455094537,8627.748590110332,1.1462,3.4511,282.8690,2.8604,-0.7678,4.9281,139,0.8500
short,sweep,sl,2026-02-25T07:40:00.000Z,2026-02-25T07:45:00.000Z,2026-02-25T08:00:00.000Z,0.30880733,0.31051272588,63090.426618219346,19482.786192533244,0.5221,7.7931,-115.3873,-1.1344,-1.3600,0.0666,3,0.7769
short,sweep,sl,2026-02-25T12:10:00.000Z,2026-02-25T12:15:00.000Z,2026-02-25T12:20:00.000Z,0.32020391,0.32203918277999993,57839.48227847819,18520.428377944427,0.5430,7.4082,-113.5594,-1.1292,-1.4931,1.3251,1,0.7011
short,sweep,sl,2026-02-25T14:35:00.000Z,2026-02-25T14:40:00.000Z,2026-02-25T14:40:00.000Z,0.33539935000000004,0.33857714268,32321.60437380143,10840.645097930159,0.9172,4.3363,-107.0476,-1.0766,-1.5606,0.0000,0,0.7041
short,sweep,sl,2026-02-25T16:35:00.000Z,2026-02-25T16:40:00.000Z,2026-02-25T16:40:00.000Z,0.36339095,0.37145260236,12371.794509187022,4495.798159898256,2.1878,1.7983,-101.5354,-1.0323,-1.0829,0.0000,0,0.7392
short,sweep,tp,2026-02-25T20:40:00.000Z,2026-02-25T20:45:00.000Z,2026-02-25T22:35:00.000Z,0.36718981,0.3587836000000001,33009.099739232995,12120.605061520013,0.8031,4.8482,272.6332,2.8007,-0.3426,2.9128,22,0.7254
long,sweep,sl,2026-02-26T04:20:00.000Z,2026-02-26T04:25:00.000Z,2026-02-26T05:10:00.000Z,0.34570368,0.34330877646,43662.773296569816,15094.381407629917,0.6630,6.0378,-110.6059,-1.1053,-1.3542,0.7401,9,0.7345
long,sweep,sl,2026-02-26T14:30:00.000Z,2026-02-26T14:35:00.000Z,2026-02-26T16:30:00.000Z,0.33990193999999996,0.33562648184,23705.37519317905,8057.503016589433,1.2282,3.2230,-104.5743,-1.0567,-1.1981,1.1733,23,0.8500
short,sweep,sl,2026-02-27T04:10:00.000Z,2026-02-27T04:15:00.000Z,2026-02-27T04:15:00.000Z,0.34109764000000004,0.34258634507999997,70649.97158926091,24098.538575163948,0.4063,9.6394,-114.8164,-1.1726,-1.1561,0.2148,0,0.8130
short,sweep,sl,2026-02-27T04:15:00.000Z,2026-02-27T04:20:00.000Z,2026-02-27T09:20:00.000Z,0.3408977,0.34348841562,38899.333019850346,13260.693158001039,0.7297,5.3043,-106.0814,-1.0962,-1.1667,1.6874,60,0.8344
long,sweep,sl,2026-02-27T11:20:00.000Z,2026-02-27T11:25:00.000Z,2026-02-27T11:25:00.000Z,0.33540059,0.33353131057999996,54097.670054785645,18144.390454000437,0.5275,7.2578,-108.3814,-1.1324,-1.3004,0.3388,0,0.7857
long,sweep,sl,2026-02-27T21:55:00.000Z,2026-02-27T22:00:00.000Z,2026-02-27T22:25:00.000Z,0.31839549,0.31597178002,40631.04857222847,12936.742619368484,0.7314,5.1747,-103.6526,-1.0954,-1.0286,0.2166,5,0.8500
long,sweep,tp,2026-02-28T13:40:00.000Z,2026-02-28T13:45:00.000Z,2026-02-28T13:45:00.000Z,0.29968987999999996,0.3070861999999999,36200.61152357897,10848.956923427997,0.8627,4.3396,263.4117,2.8146,-0.0348,3.2918,0,0.7073
short,sweep,sl,2026-02-28T14:00:00.000Z,2026-02-28T14:05:00.000Z,2026-02-28T18:35:00.000Z,0.30510844000000004,0.31021203569999994,19204.00797560058,5859.304915183052,1.6422,2.3437,-100.3532,-1.0429,-1.1359,0.7202,54,0.7055
short,sweep,sl,2026-02-28T22:05:00.000Z,2026-02-28T22:10:00.000Z,2026-02-28T22:30:00.000Z,0.32490250000000004,0.32634907536,70600.80229650358,22938.377168139756,0.4151,9.1754,-111.3047,-1.1689,-1.6293,1.0399,4,0.7571
