side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-04-25T00:30:00.000Z,2026-04-25T00:35:00.000Z,2026-04-25T16:25:00.000Z,9.3648086,9.317525903400002,2247.86789729946,21050.852616293898,0.4750,8.4203,-114.7056,-1.1471,-1.1196,1.7352,190,0.7652
short,sigma,sl,2026-04-26T05:20:00.000Z,2026-04-26T05:25:00.000Z,2026-04-26T08:30:00.000Z,9.39718,9.429644044799998,3155.8279408828803,29655.883209505788,0.3154,11.8624,-114.3133,-1.2223,-1.0737,0.5797,37,0.5749
long,sweep,sl,2026-04-26T21:50:00.000Z,2026-04-26T21:55:00.000Z,2026-04-27T05:20:00.000Z,9.4548356,9.3823764424,1402.997706929425,13265.112666194693,0.7366,5.3060,-106.9661,-1.0947,-1.4479,1.9121,89,0.7066
long,sweep,tp,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-27T23:50:00.000Z,9.2037603,9.310098000000004,2469.9537224846868,22732.86201384178,0.4251,9.0931,253.5561,2.6237,-0.0961,2.9964,51,0.7029
short,sweep,tp,2026-04-27T23:55:00.000Z,2026-04-28T00:00:00.000Z,2026-04-28T06:40:00.000Z,9.3122055,9.217025999999995,2797.4250296467217,26050.19674691386,0.3807,10.4201,255.8374,2.5796,-0.3327,3.0521,80,0.7006
long,sweep,sl,2026-04-28T11:40:00.000Z,2026-04-28T11:45:00.000Z,2026-04-28T13:10:00.000Z,9.1997591,9.1618846098,2896.3358177673435,26645.591796161058,0.3818,10.6582,-120.3555,-1.1830,-1.2173,0.8325,17,0.7089
long,sweep,sl,2026-04-28T13:10:00.000Z,2026-04-28T13:15:00.000Z,2026-04-28T14:35:00.000Z,9.1847546,9.135944394200001,2182.1920014937787,20042.89802380319,0.5016,8.0172,-114.5304,-1.1393,-1.0800,1.2643,16,0.7732
long,sweep,sl,2026-04-29T13:35:00.000Z,2026-04-29T13:40:00.000Z,2026-04-29T15:05:00.000Z,9.215763899999999,9.1678708134,2201.618151673782,20289.59308377996,0.4898,8.1158,-113.5581,-1.1426,-1.4347,0.5812,17,0.7054
short,sweep,sl,2026-04-29T18:00:00.000Z,2026-04-29T18:05:00.000Z,2026-04-30T01:45:00.000Z,9.098269700000001,9.1770642936,1292.0393673090389,11755.322626795001,0.8358,4.7021,-106.5078,-1.0841,-1.0353,2.5679,92,0.7006
long,sweep,sl,2026-05-01T06:40:00.000Z,2026-05-01T06:45:00.000Z,2026-05-01T10:10:00.000Z,9.1587468,9.1199811846,2697.413367128421,24704.92604446465,0.3934,9.8820,-114.4489,-1.1776,-1.3252,0.7564,41,0.7161
short,sweep,sl,2026-05-02T15:20:00.000Z,2026-05-02T15:25:00.000Z,2026-05-02T21:35:00.000Z,9.1492544,9.2201632194,1409.377815756242,12894.756182070187,0.7448,5.1579,-105.0952,-1.0943,-1.5078,0.6641,74,0.8500
long,sweep,tp,2026-05-03T05:45:00.000Z,2026-05-03T05:50:00.000Z,2026-05-03T11:40:00.000Z,9.0837243,9.165425999999997,3077.4380450847866,27954.59875188117,0.3398,11.1818,240.2501,2.5292,-0.8010,3.1839,70,0.7216
short,sweep,sl,2026-05-03T15:25:00.000Z,2026-05-03T15:30:00.000Z,2026-05-03T22:15:00.000Z,9.1692484,9.2131471152,2367.5752082205113,21708.88518985559,0.4486,8.6836,-112.6171,-1.1563,-1.3067,1.5619,81,0.7194
short,sweep,sl,2026-05-04T08:50:00.000Z,2026-05-04T08:55:00.000Z,2026-05-04T09:15:00.000Z,9.3841839,9.4607153634,1306.2844392795291,12258.413403907485,0.7853,4.9034,-104.8752,-1.0894,-1.1102,0.2467,4,0.8023
short,sweep,sl,2026-05-05T00:05:00.000Z,2026-05-05T00:10:00.000Z,2026-05-05T01:50:00.000Z,9.3851836,9.423630241199998,2673.0947391256227,25087.484906888072,0.3795,10.0350,-112.8065,-1.1847,-1.2301,1.0720,20,0.7117
short,sweep,sl,2026-05-06T03:35:00.000Z,2026-05-06T03:40:00.000Z,2026-05-06T04:05:00.000Z,9.8550426,9.892706921999999,2711.691330262088,26723.833577783545,0.3521,10.6895,-112.8235,-1.1991,-1.1228,0.7217,5,0.7040
short,sweep,sl,2026-05-06T09:00:00.000Z,2026-05-06T09:05:00.000Z,2026-05-06T09:10:00.000Z,10.0729772,10.136265967799998,1542.9419884553427,15542.01947063333,0.5981,6.2168,-103.8677,-1.1173,-1.6768,0.2486,1,0.7103
long,sweep,sl,2026-05-06T14:05:00.000Z,2026-05-06T14:10:00.000Z,2026-05-07T02:15:00.000Z,9.951984699999999,9.8453095208,886.2428254321687,8819.875039185714,1.0422,3.5280,-98.0681,-1.0669,-1.0218,1.1764,145,0.7069
short,sweep,sl,2026-05-07T07:15:00.000Z,2026-05-07T07:20:00.000Z,2026-05-07T07:45:00.000Z,10.0529832,10.1192268576,1438.7402640370865,14463.631703528394,0.6288,5.7855,-101.0929,-1.1116,-1.0128,0.0000,5,0.7003
long,sweep,sl,2026-05-07T13:50:00.000Z,2026-05-07T13:55:00.000Z,2026-05-07T14:30:00.000Z,9.942981999999999,9.883222143600001,1583.4439712010767,15744.154903660823,0.5712,6.2977,-100.9240,-1.1222,-1.4259,0.3349,7,0.7026
long,sweep,tp,2026-05-08T09:55:00.000Z,2026-05-08T10:00:00.000Z,2026-05-08T15:00:00.000Z,9.872960999999998,10.042991999999996,1466.7361061841655,14481.028373648121,0.6141,5.7924,243.5982,2.7395,-0.1478,2.8378,60,0.7095
short,sweep,sl,2026-05-09T01:15:00.000Z,2026-05-09T01:20:00.000Z,2026-05-09T01:40:00.000Z,10.441866500000001,10.499098785,1689.1816985333471,17638.20979032846,0.5179,7.0553,-103.7310,-1.1354,-1.4077,0.4228,4,0.7140
long,sweep,sl,2026-05-09T14:40:00.000Z,2026-05-09T14:45:00.000Z,2026-05-09T15:05:00.000Z,10.3421017,10.294274790800001,2018.868834776679,20879.34680822091,0.4326,8.3517,-104.9080,-1.1615,-1.2093,0.2436,4,0.7288
