side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
long,sweep,sl,2026-04-25T11:45:00.000Z,2026-04-25T11:50:00.000Z,2026-04-25T12:35:00.000Z,0.0000038391514,0.00000381690318542,4738707659.646944,18192.61614572429,0.5497,7.2770,-112.7048,-1.1270,-1.1160,0.1113,9,0.7288
short,sweep,sl,2026-04-26T11:00:00.000Z,2026-04-26T11:05:00.000Z,2026-04-26T11:20:00.000Z,0.00000390152919,0.00000392009787666,5684637201.207878,22178.77797507244,0.4458,8.8715,-114.4278,-1.1573,-1.9991,0.2087,3,0.7045
short,sweep,sl,2026-04-29T03:20:00.000Z,2026-04-29T03:25:00.000Z,2026-04-29T03:40:00.000Z,0.0000038935315900000005,0.00000391157832156,5791805909.075304,22550.579270133367,0.4334,9.0202,-113.5434,-1.1618,-1.2842,0.3693,3,0.7028
short,sweep,sl,2026-04-29T07:35:00.000Z,2026-04-29T07:40:00.000Z,2026-04-29T08:20:00.000Z,0.00000394221698,0.0000039644997932399995,4579219891.108552,18052.278409881885,0.5351,7.2209,-109.2588,-1.1311,-1.0659,0.5365,8,0.7099
short,sweep,tp,2026-04-29T18:00:00.000Z,2026-04-29T18:05:00.000Z,2026-04-29T18:05:00.000Z,0.0000038476453600000004,0.0000037361284000000028,2466962355.538777,9491.996260583446,1.0061,3.7968,271.3113,2.8409,-0.1151,2.9098,0,0.7143
long,sweep,tp,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-04-30T00:50:00.000Z,0.00000377583241,0.0000039210004,1968242892.6597574,7431.7553048568625,1.3215,2.9727,282.7532,2.8790,-0.6059,2.9774,79,0.7298
short,sweep,tp,2026-04-30T01:00:00.000Z,2026-04-30T01:05:00.000Z,2026-04-30T02:35:00.000Z,0.00000391872403,0.000003826040200000001,3112547683.56943,12197.215402124362,0.8284,4.8789,283.6040,2.8068,-0.7170,2.8933,18,0.7018
long,sweep,sl,2026-04-30T13:30:00.000Z,2026-04-30T13:35:00.000Z,2026-04-30T14:15:00.000Z,0.00000386665965,0.0000038362585770599996,3551380147.190833,13731.978316953855,0.7565,5.4928,-113.4586,-1.0922,-1.0961,0.8356,8,0.7334
short,sweep,sl,2026-05-02T09:35:00.000Z,2026-05-02T09:40:00.000Z,2026-05-02T14:45:00.000Z,0.000003933419620000001,0.00000395197103574,5916255101.359296,23271.11389261175,0.4415,9.3084,-119.0634,-1.1588,-1.0239,1.5501,61,0.7159
short,sweep,sl,2026-05-08T12:30:00.000Z,2026-05-08T12:35:00.000Z,2026-05-08T14:15:00.000Z,0.0000041928417700000004,0.00000422158989714,3695218929.622608,15493.468277416363,0.6555,6.1974,-112.4280,-1.1071,-1.6068,1.6571,20,0.7006
long,sweep,sl,2026-05-12T01:20:00.000Z,2026-05-12T01:25:00.000Z,2026-05-12T01:30:00.000Z,0.00000432039573,0.00000428532361712,2972457554.959869,12842.192928054857,0.7820,5.1369,-109.3872,-1.0892,-1.0802,0.0504,1,0.7045
long,sweep,sl,2026-05-12T01:40:00.000Z,2026-05-12T01:45:00.000Z,2026-05-12T08:15:00.000Z,0.00000427898331,0.00000423593743742,2377849299.986948,10174.777468339333,0.9763,4.0699,-106.4265,-1.0714,-1.3210,0.5965,78,0.7180
