side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-25T03:05:00.000Z,0.061671493,0.06219275223,198962.6089568979,12270.321145547066,0.8150,4.9081,-108.6192,-1.0862,-1.0117,1.4753,70,0.7981
short,sweep,sl,2026-04-25T03:35:00.000Z,2026-04-25T03:40:00.000Z,2026-04-25T03:50:00.000Z,0.062121358,0.062443327380000004,326187.6908607002,20263.222319150886,0.4881,8.1053,-113.1277,-1.1437,-1.1497,0.0000,2,0.7194
long,sweep,tp,2026-04-25T05:05:00.000Z,2026-04-25T05:10:00.000Z,2026-04-25T06:15:00.000Z,0.061798534,0.06250996000000002,373423.8559533247,23077.04685854264,0.4237,9.2308,256.4326,2.6225,-0.2999,2.7552,13,0.7960
short,sweep,sl,2026-04-26T04:00:00.000Z,2026-04-26T04:05:00.000Z,2026-04-26T04:45:00.000Z,0.05995200900000001,0.060218220048,404378.20758661634,24243.285940636695,0.4139,9.6973,-117.3473,-1.1694,-1.4426,0.0887,8,0.8500
short,sweep,sl,2026-04-26T07:40:00.000Z,2026-04-26T07:45:00.000Z,2026-04-26T09:10:00.000Z,0.060701784,0.060929853474,472713.4167608667,28694.54771812011,0.3456,11.4778,-119.2893,-1.2028,-1.0401,0.6758,17,0.8500
short,sweep,sl,2026-04-26T10:35:00.000Z,2026-04-26T10:40:00.000Z,2026-04-26T11:05:00.000Z,0.061261616000000005,0.06154125684,375139.7129562165,22981.66504147396,0.4263,9.1927,-114.0971,-1.1645,-1.0659,0.0062,5,0.8500
long,sweep,tp,2026-04-27T11:05:00.000Z,2026-04-27T11:10:00.000Z,2026-04-27T14:35:00.000Z,0.060258072,0.06090084000000001,406287.8443818539,24482.12217948655,0.3956,9.7928,251.3560,2.5956,-0.3275,3.5323,41,0.7086
short,sweep,sl,2026-04-28T08:30:00.000Z,2026-04-28T08:35:00.000Z,2026-04-28T10:35:00.000Z,0.059792057,0.060047828946,417866.0264505657,24985.069271895736,0.3976,9.9940,-116.8724,-1.1763,-1.0008,1.1442,24,0.8500
long,sweep,tp,2026-04-28T15:35:00.000Z,2026-04-28T15:40:00.000Z,2026-04-29T04:40:00.000Z,0.058847649,0.05975184,302171.7227528175,17782.095478283118,0.5522,7.1128,266.1081,2.7103,-0.7006,2.9925,156,0.8500
short,sweep,sl,2026-04-29T04:55:00.000Z,2026-04-29T05:00:00.000Z,2026-04-29T09:55:00.000Z,0.059712081,0.060097943976,274156.4566076817,16370.452543630874,0.6160,6.5482,-112.3350,-1.1139,-1.1090,2.0446,59,0.7763
short,sweep,tp,2026-04-29T09:55:00.000Z,2026-04-29T10:00:00.000Z,2026-04-29T12:10:00.000Z,0.059852039,0.05875928,256882.61176446485,15374.94809774861,0.6486,6.1500,274.5608,2.7533,-0.5099,2.8646,26,0.7391
long,sweep,sl,2026-04-29T12:15:00.000Z,2026-04-29T12:20:00.000Z,2026-04-29T12:25:00.000Z,0.058777628,0.05851514019,418358.4352817047,24590.116479650114,0.4167,9.8360,-119.6500,-1.1677,-1.2560,0.0000,1,0.7113
short,sweep,sl,2026-04-29T20:35:00.000Z,2026-04-29T20:40:00.000Z,2026-04-29T21:15:00.000Z,0.057292807,0.057562123458,401785.31688191,23019.408615549113,0.4399,9.2078,-117.4152,-1.1594,-1.4965,0.3682,7,0.8500
long,sweep,tp,2026-04-29T23:05:00.000Z,2026-04-29T23:10:00.000Z,2026-04-30T01:50:00.000Z,0.057697304,0.05832548000000002,430591.5877614752,24843.973738916513,0.4029,9.9376,260.5497,2.6030,-0.8488,2.8077,32,0.8500
short,sweep,tp,2026-04-30T01:55:00.000Z,2026-04-30T02:00:00.000Z,2026-04-30T04:40:00.000Z,0.058182540000000005,0.05736984,349114.62361399794,20312.375553006383,0.5056,8.1250,275.6005,2.6835,-0.5692,2.7960,32,0.8303
long,sweep,tp,2026-04-30T06:25:00.000Z,2026-04-30T06:30:00.000Z,2026-04-30T09:30:00.000Z,0.057217159999999996,0.05778272000000002,498857.8288489307,28543.228210501882,0.3695,11.4173,270.7167,2.5670,-0.0812,2.7570,36,0.7474
long,sweep,sl,2026-05-01T07:30:00.000Z,2026-05-01T07:35:00.000Z,2026-05-01T09:35:00.000Z,0.057537256,0.057277991446,446825.4285540902,25709.1090700264,0.4207,10.2836,-126.1296,-1.1661,-1.3106,1.5811,24,0.7403
short,sweep,tp,2026-05-01T14:10:00.000Z,2026-05-01T14:15:00.000Z,2026-05-02T05:10:00.000Z,0.058172543,0.057540259999999996,456784.25228438707,26572.301557736355,0.4023,10.6289,278.1880,2.6022,-0.3310,3.3009,179,0.8500
short,sweep,sl,2026-05-02T14:30:00.000Z,2026-05-02T14:35:00.000Z,2026-05-02T15:45:00.000Z,0.05850244400000001,0.058704746142,562470.3269808071,32905.88880585636,0.3157,13.1624,-126.9513,-1.2220,-1.0696,1.2044,14,0.7470
short,sweep,sl,2026-05-03T04:35:00.000Z,2026-05-03T04:40:00.000Z,2026-05-03T11:40:00.000Z,0.058022588,0.05828377989,444856.15375812934,25811.70532877259,0.4200,10.3247,-126.5175,-1.1670,-1.3434,1.5288,84,0.8141
short,sweep,sl,2026-05-03T15:20:00.000Z,2026-05-03T15:25:00.000Z,2026-05-03T20:10:00.000Z,0.058332495,0.058564424058000004,499855.8903160497,29157.841222581515,0.3675,11.6631,-127.5942,-1.1908,-1.0146,1.2712,57,0.7387
long,sweep,sl,2026-05-04T19:45:00.000Z,2026-05-04T19:50:00.000Z,2026-05-04T21:00:00.000Z,0.058957682,0.058445301148000006,213958.5271762444,12614.498806445374,0.8393,5.0458,-114.6741,-1.0831,-1.2280,0.0000,14,0.7046
short,sweep,tp,2026-05-04T22:05:00.000Z,2026-05-04T22:10:00.000Z,2026-05-04T23:35:00.000Z,0.058952309,0.058315580000000006,444084.6410575734,26179.814981780153,0.4000,10.4719,272.2896,2.5999,-0.4566,3.2324,17,0.8500
long,sweep,sl,2026-05-05T14:20:00.000Z,2026-05-05T14:25:00.000Z,2026-05-05T14:35:00.000Z,0.059807937,0.059283369652,212029.79105105487,12681.064385304653,0.8473,5.0724,-116.2963,-1.0823,-1.2193,0.0633,2,0.7197
long,sweep,sl,2026-05-06T13:30:00.000Z,2026-05-06T13:35:00.000Z,2026-05-06T13:45:00.000Z,0.061258372,0.060779920552,230956.29429492055,14148.00659165972,0.7513,5.6592,-116.1606,-1.0929,-1.2785,0.0000,2,0.8500
long,sweep,sl,2026-05-06T14:05:00.000Z,2026-05-06T14:10:00.000Z,2026-05-07T02:30:00.000Z,0.060398114,0.05971238091,157419.9587750249,9507.868615969253,1.1057,3.8031,-111.7512,-1.0630,-1.0004,2.2340,148,0.8219
short,sweep,sl,2026-05-07T04:20:00.000Z,2026-05-07T04:25:00.000Z,2026-05-07T04:30:00.000Z,0.060241922,0.060528933234,386857.5237758874,23305.040772420154,0.4463,9.3220,-120.3545,-1.1571,-1.4806,0.0000,1,0.7977
short,sweep,sl,2026-05-07T17:25:00.000Z,2026-05-07T17:30:00.000Z,2026-05-07T18:15:00.000Z,0.060221928,0.060919830468,151267.44386879326,9109.61711341051,1.1285,3.6438,-109.2138,-1.0623,-1.0860,0.0911,9,0.8500
long,sweep,sl,2026-05-07T21:00:00.000Z,2026-05-07T21:05:00.000Z,2026-05-07T21:05:00.000Z,0.06042812299999999,0.060151369174000005,393169.22385493893,23758.47821892078,0.4281,9.5034,-118.3145,-1.1632,-1.3456,0.0000,0,0.7541
