side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-25T06:50:00.000Z,2026-04-25T06:55:00.000Z,2026-04-26T18:15:00.000Z,86.394074,86.839323984,238.54620401425402,20608.978402026558,0.4852,8.2436,-114.4563,-1.1446,-1.3500,2.3236,424,0.8500
short,sweep,tp,2026-04-27T02:55:00.000Z,2026-04-27T03:00:00.000Z,2026-04-27T05:15:00.000Z,87.75366600000001,86.41164,204.9012696571857,17980.837580472613,0.5498,7.1923,267.7905,2.7089,-0.5728,3.2411,27,0.7249
long,sweep,sl,2026-04-27T13:50:00.000Z,2026-04-27T13:55:00.000Z,2026-04-27T15:00:00.000Z,85.09552099999999,84.45535579,165.14293121737026,14052.923771409285,0.7225,5.6212,-111.3399,-1.0966,-1.0825,1.1621,13,0.7601
long,sweep,sl,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-28T07:15:00.000Z,84.065212,83.547448244,203.81890273533762,17134.079268053538,0.5861,6.8536,-112.3837,-1.1191,-1.0051,1.6740,140,0.8157
long,sweep,sl,2026-04-28T09:50:00.000Z,2026-04-28T09:55:00.000Z,2026-04-28T14:25:00.000Z,83.635083,83.07852896200001,186.77917641480528,15621.29192212388,0.6356,6.2485,-110.2012,-1.1098,-1.3451,0.6488,54,0.8500
short,sweep,sl,2026-04-28T19:45:00.000Z,2026-04-28T19:50:00.000Z,2026-04-29T01:45:00.000Z,83.87483,84.18322739399999,346.79178487374844,29087.102001682222,0.3376,11.6348,-118.5845,-1.2077,-1.0071,1.2178,71,0.7129
long,sweep,sl,2026-04-29T12:15:00.000Z,2026-04-29T12:20:00.000Z,2026-04-29T12:20:00.000Z,84.42532,84.026344532,259.54689814810195,21912.329931160915,0.4427,8.7649,-112.3178,-1.1578,-1.4858,0.0000,0,0.7121
long,sweep,sl,2026-04-29T13:35:00.000Z,2026-04-29T13:40:00.000Z,2026-04-29T15:05:00.000Z,83.835143,83.417747166,244.37847320095017,20487.504246923327,0.4680,8.1950,-110.1976,-1.1493,-1.1855,0.4457,17,0.7180
long,sweep,tp,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-05-01T03:20:00.000Z,81.98458799999999,84.18828,123.52035230068248,10126.765192986304,0.9360,4.0507,268.1501,2.8291,-0.8661,3.1086,397,0.7883
long,sweep,tp,2026-05-01T06:50:00.000Z,2026-05-01T06:55:00.000Z,2026-05-01T13:50:00.000Z,83.805134,84.70184000000002,293.2024414088274,24571.869891393926,0.3967,9.8287,253.0876,2.5967,-0.5870,2.9327,83,0.7210
long,sweep,sl,2026-05-01T14:35:00.000Z,2026-05-01T14:40:00.000Z,2026-05-01T20:20:00.000Z,84.095221,83.65719531,242.1661111039849,20365.012632000162,0.4910,8.1460,-114.2210,-1.1423,-1.0540,1.1982,68,0.7340
long,sweep,tp,2026-05-02T00:35:00.000Z,2026-05-02T00:40:00.000Z,2026-05-02T21:35:00.000Z,83.665092,84.86039999999997,228.88421858597206,19149.619205343464,0.5162,7.6598,265.9273,2.6901,-0.4749,3.0445,251,0.7785
short,sweep,sl,2026-05-02T21:50:00.000Z,2026-05-02T21:55:00.000Z,2026-05-04T02:00:00.000Z,84.494644,85.195551,150.30966754156842,12700.361848683178,0.7993,5.0801,-110.4332,-1.0879,-1.1333,1.7689,337,0.7708
short,sweep,sl,2026-05-04T13:35:00.000Z,2026-05-04T13:40:00.000Z,2026-05-04T14:20:00.000Z,84.084767,84.49394057999999,261.59346226962117,21996.025323664388,0.4565,8.7984,-115.8355,-1.1536,-1.0297,0.9243,8,0.7631
short,sweep,sl,2026-05-04T14:25:00.000Z,2026-05-04T14:30:00.000Z,2026-05-04T14:45:00.000Z,84.384677,84.864791802,218.29321490295635,18420.602430877556,0.5388,7.3682,-112.1740,-1.1302,-1.6833,0.0103,3,0.7050
short,sweep,sl,2026-05-04T14:55:00.000Z,2026-05-04T15:00:00.000Z,2026-05-05T13:00:00.000Z,84.924515,85.49624117999998,179.6938343320043,15260.411729135812,0.6430,6.1042,-108.8398,-1.1092,-1.5116,1.8212,264,0.7018
short,sweep,sl,2026-05-06T03:05:00.000Z,2026-05-06T03:10:00.000Z,2026-05-06T06:05:00.000Z,87.01388800000001,87.52088839199999,201.84982939136248,17563.738447479125,0.5525,7.0255,-109.3634,-1.1270,-1.0111,0.8401,35,0.7163
short,sweep,sl,2026-05-06T06:05:00.000Z,2026-05-06T06:10:00.000Z,2026-05-06T07:10:00.000Z,87.243819,87.7013025,222.51925478974763,19413.429588891628,0.4942,7.7654,-109.5643,-1.1419,-1.0812,0.3104,12,0.7111
short,sweep,sl,2026-05-06T10:20:00.000Z,2026-05-06T10:25:00.000Z,2026-05-06T11:20:00.000Z,89.483147,89.90636382,239.36836366199148,21419.434472715442,0.4428,8.5678,-109.8725,-1.1584,-1.2286,0.5127,11,0.7271
long,sweep,tp,2026-05-06T14:05:00.000Z,2026-05-06T14:10:00.000Z,2026-05-07T07:35:00.000Z,88.016397,90.22451999999998,121.56017837770803,10699.288919483166,0.8762,4.2797,264.1401,2.8174,-0.5658,3.0517,209,0.7267
short,sweep,tp,2026-05-07T12:15:00.000Z,2026-05-07T12:20:00.000Z,2026-05-07T13:45:00.000Z,89.823045,88.67963999999996,231.11696551796913,20759.629593983987,0.4643,8.3039,255.9564,2.6553,-0.2804,3.6517,17,0.7000
long,sweep,sl,2026-05-08T01:15:00.000Z,2026-05-08T01:20:00.000Z,2026-05-08T02:15:00.000Z,88.136433,87.677928728,228.95482530863498,20179.26162084121,0.4904,8.0717,-113.0485,-1.1424,-1.3106,0.3090,11,0.7953
long,sweep,tp,2026-05-08T06:35:00.000Z,2026-05-08T06:40:00.000Z,2026-05-08T14:15:00.000Z,88.0264,89.2765,216.46866145860136,19054.956981019426,0.5134,7.6220,262.9855,2.6884,-0.9436,2.8847,91,0.7151
short,sweep,sl,2026-05-08T17:20:00.000Z,2026-05-08T17:25:00.000Z,2026-05-08T17:25:00.000Z,89.89302400000001,90.267192036,289.40708916873905,26015.678412415604,0.3861,10.4063,-118.6932,-1.1816,-1.2301,0.0000,0,0.7245
short,sweep,sl,2026-05-08T22:15:00.000Z,2026-05-08T22:20:00.000Z,2026-05-09T01:40:00.000Z,92.462253,92.993449668,197.22577171959696,18235.93920285762,0.5443,7.2944,-112.0600,-1.1289,-1.6645,1.4946,40,0.7187
short,sweep,sl,2026-05-09T12:05:00.000Z,2026-05-09T12:10:00.000Z,2026-05-10T08:05:00.000Z,93.431962,93.91556622,215.49477865757862,20134.099970733296,0.4875,8.0536,-112.2678,-1.1439,-1.0716,2.4196,239,0.7067
short,sweep,sl,2026-05-10T08:10:00.000Z,2026-05-10T08:15:00.000Z,2026-05-10T09:00:00.000Z,93.67189,94.276394436,168.37344941933014,15771.859232928058,0.6152,6.3087,-108.0912,-1.1141,-1.9404,0.0727,9,0.8205
long,sweep,tp,2026-05-10T20:50:00.000Z,2026-05-10T20:55:00.000Z,2026-05-11T16:10:00.000Z,94.29828099999999,97.67992,82.35830614366354,7766.24669541921,1.2354,3.1065,275.3996,2.8705,-0.1015,3.1176,231,0.7249
short,sigma,sl,2026-05-11T16:15:00.000Z,2026-05-11T16:20:00.000Z,2026-05-11T19:40:00.000Z,97.500741,98.205412788,146.1672671602756,14251.416858071838,0.6925,5.7006,-108.7005,-1.1014,-1.2429,0.9786,40,0.5640
long,sweep,sl,2026-05-12T01:40:00.000Z,2026-05-12T01:45:00.000Z,2026-05-12T10:20:00.000Z,96.09882099999999,95.25047628200001,119.06874174581897,11442.365699726683,0.8530,4.5769,-105.5883,-1.0818,-1.1696,1.0383,103,0.7496
short,sweep,tp,2026-05-12T12:40:00.000Z,2026-05-12T12:45:00.000Z,2026-05-12T15:20:00.000Z,95.251416,93.98688000000001,210.067420235031,20009.219232853757,0.4825,8.0037,257.6341,2.6683,-0.3015,3.6147,31,0.7932
long,sweep,tp,2026-05-12T15:25:00.000Z,2026-05-12T15:30:00.000Z,2026-05-13T01:20:00.000Z,93.838143,95.15130000000002,208.58459616304611,19573.191162345174,0.5064,7.8293,266.0750,2.6841,-0.6063,3.1391,118,0.7365
short,sweep,tp,2026-05-13T04:30:00.000Z,2026-05-13T04:35:00.000Z,2026-05-13T12:30:00.000Z,95.50134100000001,93.60412000000001,151.78382911176848,14495.55922228873,0.7022,5.7982,282.1692,2.7721,-0.5199,3.4018,95,0.7763
long,sigma,sl,2026-05-13T12:40:00.000Z,2026-05-13T12:45:00.000Z,2026-05-13T13:45:00.000Z,92.98788799999998,92.13765040999999,127.17279140800395,11825.529284094831,0.8846,4.7302,-112.8573,-1.0788,-1.3590,0.4888,12,0.5415
long,sweep,sl,2026-05-13T22:05:00.000Z,2026-05-13T22:10:00.000Z,2026-05-14T03:05:00.000Z,90.817237,90.371720348,247.33026084026397,22461.850916002073,0.4607,8.9847,-119.1745,-1.1516,-2.0250,1.4406,59,0.7550
short,sweep,sl,2026-05-14T07:00:00.000Z,2026-05-14T07:05:00.000Z,2026-05-14T14:45:00.000Z,91.052676,91.830780972,136.28483945892035,12409.09933096509,0.8243,4.9636,-111.0076,-1.0852,-1.3288,0.7896,92,0.7272
long,sweep,sl,2026-05-15T02:00:00.000Z,2026-05-15T02:05:00.000Z,2026-05-15T04:55:00.000Z,92.02759999999999,91.219765858,129.64203000078155,11930.644880099922,0.8481,4.7723,-109.5015,-1.0822,-1.0604,0.5284,34,0.8033
long,sweep,sl,2026-05-16T04:00:00.000Z,2026-05-16T04:05:00.000Z,2026-05-16T04:25:00.000Z,89.036703,88.66565232200001,290.57174503230056,25871.55016263267,0.3869,10.3486,-118.1655,-1.1806,-1.0356,0.0386,4,0.8038
long,sweep,sl,2026-05-16T06:50:00.000Z,2026-05-16T06:55:00.000Z,2026-05-16T07:10:00.000Z,88.086418,87.538250644,189.50781367909482,16693.064490002864,0.5925,6.6772,-110.5592,-1.1178,-2.2350,0.0643,3,0.7690
long,sweep,sl,2026-05-16T09:20:00.000Z,2026-05-16T09:25:00.000Z,2026-05-16T10:25:00.000Z,86.06581200000001,85.542849444,196.66143174205436,16925.825811962484,0.5778,6.7703,-109.6169,-1.1208,-1.2584,0.3704,12,0.7730
long,sweep,sl,2026-05-17T01:00:00.000Z,2026-05-17T01:05:00.000Z,2026-05-17T01:30:00.000Z,86.145836,85.66257351600001,211.34459554791366,18206.4568675569,0.5311,7.2826,-109.4175,-1.1315,-1.2366,0.3369,5,0.7480
long,sweep,sl,2026-05-19T05:25:00.000Z,2026-05-19T05:30:00.000Z,2026-05-19T11:40:00.000Z,84.805434,84.20593064,166.49625900034653,14119.787503900794,0.6771,5.6479,-105.4630,-1.1031,-1.0369,1.3663,74,0.8242
long,sweep,sl,2026-05-19T19:30:00.000Z,2026-05-19T19:35:00.000Z,2026-05-19T22:25:00.000Z,84.375305,83.976459502,253.05619765769552,21351.693859508345,0.4428,8.5407,-109.4710,-1.1578,-1.0312,0.7352,34,0.7460
short,sweep,sl,2026-05-20T10:35:00.000Z,2026-05-20T10:40:00.000Z,2026-05-20T12:55:00.000Z,84.984497,85.355919096,270.2494424795462,22967.012933654667,0.4069,9.1868,-109.5634,-1.1723,-1.1147,1.3432,27,0.7190
short,sweep,sl,2026-05-20T12:55:00.000Z,2026-05-20T13:00:00.000Z,2026-05-20T14:30:00.000Z,85.03448200000001,85.566402222,182.44223054486974,15513.88056930758,0.5954,6.2056,-103.2503,-1.1179,-1.0380,1.9841,18,0.7863
short,sweep,sl,2026-05-21T00:15:00.000Z,2026-05-21T00:20:00.000Z,2026-05-21T00:45:00.000Z,86.204131,86.608794846,241.17504366688945,20790.28505819126,0.4393,8.3161,-105.9109,-1.1596,-1.3358,0.1694,5,0.7308
short,sweep,sl,2026-05-21T01:15:00.000Z,2026-05-21T01:20:00.000Z,2026-05-21T17:15:00.000Z,86.484047,87.210175206,128.9638696973197,11153.317368204873,0.8094,4.4613,-98.1056,-1.0868,-1.0085,1.7201,191,0.7614
long,sweep,sl,2026-05-21T22:00:00.000Z,2026-05-21T22:05:00.000Z,2026-05-21T23:10:00.000Z,87.416217,86.989515314,222.89275870949297,19484.441763077677,0.4583,7.7938,-102.9025,-1.1525,-1.0390,0.1093,13,0.7385
short,sweep,sl,2026-05-22T04:15:00.000Z,2026-05-22T04:20:00.000Z,2026-05-22T12:10:00.000Z,87.17384000000001,87.55095741,251.55659104575741,21929.15401876829,0.4025,8.7717,-103.6380,-1.1742,-1.3856,2.0915,94,0.7206
short,sweep,tp,2026-05-22T13:10:00.000Z,2026-05-22T13:15:00.000Z,2026-05-22T14:20:00.000Z,87.633702,86.44265999999998,201.87272950115084,17690.854619030462,0.4931,7.0763,233.3626,2.6754,-0.2460,3.1099,13,0.8500
short,sweep,tp,2026-05-22T17:30:00.000Z,2026-05-22T17:35:00.000Z,2026-05-22T18:35:00.000Z,86.863933,85.79752,229.50331677159463,19935.56073132557,0.4492,7.9742,236.7711,2.6438,-0.7587,2.9058,12,0.7066
short,sweep,sl,2026-05-23T13:30:00.000Z,2026-05-23T13:35:00.000Z,2026-05-23T14:20:00.000Z,83.035082,83.45154795600001,234.84204843777152,19500.128749078332,0.4714,7.8001,-105.6038,-1.1488,-1.1877,0.2940,9,0.7176
short,sweep,sl,2026-05-23T14:45:00.000Z,2026-05-23T14:50:00.000Z,2026-05-23T14:55:00.000Z,83.744869,84.18322739399999,219.96524919276766,18420.96097820068,0.4933,7.3684,-103.7920,-1.1422,-1.6343,0.0000,1,0.7096
