side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-27T01:40:00.000Z,0.9501148800000001,0.9580991435399999,12992.209870961566,12344.091922483465,0.8101,4.9376,-108.6709,-1.0867,-1.0115,2.5874,629,0.7445
short,sweep,tp,2026-04-27T04:35:00.000Z,2026-04-27T04:40:00.000Z,2026-04-27T05:35:00.000Z,0.95651296,0.9315201999999998,11351.546696505908,10857.901531253086,0.9110,4.3432,279.3633,2.8243,-0.1936,2.9394,11,0.7640
long,sweep,sl,2026-04-27T13:50:00.000Z,2026-04-27T13:55:00.000Z,2026-04-27T15:15:00.000Z,0.9277782499999999,0.92157604422,17163.842713046368,15924.23995558541,0.6387,6.3697,-112.8234,-1.1093,-1.2283,1.8769,16,0.8260
short,sweep,sl,2026-04-28T04:15:00.000Z,2026-04-28T04:20:00.000Z,2026-04-28T05:25:00.000Z,0.92932112,0.93484576962,19178.74155611876,17823.20958312283,0.5643,7.1293,-113.0851,-1.1243,-1.2354,0.2901,13,0.7201
long,sweep,sl,2026-04-28T13:10:00.000Z,2026-04-28T13:15:00.000Z,2026-04-28T14:35:00.000Z,0.9168749799999999,0.9123971987,23655.640525666542,21689.2649338577,0.4585,8.6757,-114.6005,-1.1524,-1.0407,2.1468,16,0.8482
long,sweep,tp,2026-04-30T13:30:00.000Z,2026-04-30T13:35:00.000Z,2026-05-01T03:20:00.000Z,0.9049714099999999,0.9200083999999998,18291.40185245853,16553.195725296006,0.5939,6.6213,268.4263,2.7306,-0.8320,2.8895,165,0.7285
short,sweep,sl,2026-05-01T03:20:00.000Z,2026-05-01T03:25:00.000Z,2026-05-01T13:50:00.000Z,0.91762463,0.9226177023,21411.826941909694,19648.019775193916,0.5140,7.8592,-114.7700,-1.1365,-1.5214,1.8711,125,0.7619
long,sweep,sl,2026-05-02T03:00:00.000Z,2026-05-02T03:05:00.000Z,2026-05-02T05:10:00.000Z,0.9185754899999999,0.9150909903200001,31103.370568758917,28570.7938608493,0.3494,11.4283,-119.8080,-1.2000,-1.4566,0.8176,25,0.7125
short,sweep,sl,2026-05-02T07:00:00.000Z,2026-05-02T07:05:00.000Z,2026-05-02T15:20:00.000Z,0.91902421,0.9225174722399999,30666.114777317518,28182.901906993557,0.3500,11.2732,-118.3979,-1.2003,-1.1738,1.1578,99,0.7922
short,sweep,sl,2026-05-02T15:45:00.000Z,2026-05-02T15:50:00.000Z,2026-05-02T21:35:00.000Z,0.9241226800000001,0.93053587704,15887.582687647624,14682.075492030526,0.6638,5.8728,-107.7630,-1.1058,-1.5450,0.6069,69,0.7796
long,sweep,sl,2026-05-03T00:15:00.000Z,2026-05-03T00:20:00.000Z,2026-05-03T01:00:00.000Z,0.9239771099999999,0.9196804130799999,23970.5694843276,22148.257517183203,0.4352,8.8593,-111.8536,-1.1606,-1.4617,0.4534,8,0.7251
short,sweep,sl,2026-05-03T14:15:00.000Z,2026-05-03T14:20:00.000Z,2026-05-03T14:45:00.000Z,0.92402271,0.9271280550000001,30927.867350962653,28578.051804157032,0.3060,11.4312,-107.4729,-1.2291,-1.3714,0.2910,5,0.7005
short,sweep,sl,2026-05-03T14:55:00.000Z,2026-05-03T15:00:00.000Z,2026-05-04T02:00:00.000Z,0.92532232,0.9320393279399999,14630.793958337541,13538.200208970877,0.6957,5.4153,-103.6904,-1.1009,-1.5344,2.0850,132,0.7701
short,sweep,sl,2026-05-04T02:20:00.000Z,2026-05-04T02:25:00.000Z,2026-05-04T02:40:00.000Z,0.9339197400000001,0.9393561223200001,18070.743579249654,16876.624145139507,0.5519,6.7506,-104.9901,-1.1271,-1.3348,0.1590,3,0.7108
