side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-26T14:20:00.000Z,2026-04-26T14:25:00.000Z,2026-04-26T14:35:00.000Z,246.735957,248.01928346999998,82.71688574234015,20409.229963695954,0.4900,8.1637,-114.3165,-1.1432,-1.1614,0.1455,2,0.7093
short,sweep,sl,2026-04-26T16:05:00.000Z,2026-04-26T16:10:00.000Z,2026-04-26T19:05:00.000Z,248.13553700000003,250.484942946,43.46725336743735,10785.770256244126,0.9165,4.3143,-106.4365,-1.0767,-1.1804,0.3366,35,0.7059
long,sweep,sl,2026-04-27T05:20:00.000Z,2026-04-27T05:25:00.000Z,2026-04-27T06:30:00.000Z,251.295366,249.205655868,48.53402560394357,12196.37572759637,0.8018,4.8786,-106.3006,-1.0870,-1.5461,0.3398,13,0.7105
short,sweep,sl,2026-04-28T12:50:00.000Z,2026-04-28T12:55:00.000Z,2026-04-28T15:10:00.000Z,251.58450200000001,253.73239689000002,46.68865599861965,11746.14226846204,0.8235,4.6985,-104.9808,-1.0853,-1.5569,1.5371,27,0.7026
long,sweep,tp,2026-04-30T22:00:00.000Z,2026-04-30T22:05:00.000Z,2026-05-01T00:30:00.000Z,248.17442999999997,250.75625999999994,99.68188393515064,24738.494726932164,0.3868,9.8954,247.4663,2.5864,-0.4005,3.0479,29,0.7532
short,sweep,sl,2026-05-01T00:30:00.000Z,2026-05-01T00:35:00.000Z,2026-05-01T03:15:00.000Z,250.38486200000003,251.67768065999996,80.63029257301514,20188.604678914024,0.4862,8.0754,-112.3158,-1.1443,-1.8525,0.5872,32,0.7082
short,sweep,sl,2026-05-02T18:50:00.000Z,2026-05-02T18:55:00.000Z,2026-05-02T19:30:00.000Z,286.524017,289.594712358,32.518856123976384,9317.433284886763,1.0414,3.7270,-103.5825,-1.0675,-1.0242,0.6146,7,0.7633
short,sweep,tp,2026-05-03T20:30:00.000Z,2026-05-03T20:35:00.000Z,2026-05-03T21:50:00.000Z,294.661575,289.64483999999993,53.62433572415667,15801.031222808771,0.6075,6.3204,262.6987,2.7366,-0.5689,3.0230,15,0.7088
short,sweep,sl,2026-05-04T09:45:00.000Z,2026-05-04T09:50:00.000Z,2026-05-04T09:50:00.000Z,290.83272400000004,292.140555882,80.82366004774632,23506.165215336034,0.4196,9.4025,-115.1062,-1.1671,-1.0550,0.0186,0,0.7003
short,sweep,tp,2026-05-04T10:00:00.000Z,2026-05-04T10:05:00.000Z,2026-05-04T10:20:00.000Z,290.332874,280.98212,30.148056968993348,8752.972025323568,1.1136,3.5012,278.4059,2.8563,-0.0300,3.0351,3,0.7900
short,sweep,sl,2026-05-08T09:25:00.000Z,2026-05-08T09:30:00.000Z,2026-05-08T14:20:00.000Z,310.756745,314.02077798,31.627730501396716,9828.530582351263,1.0200,3.9314,-107.1654,-1.0689,-1.0515,1.8003,58,0.7026
short,sweep,sl,2026-05-10T02:00:00.000Z,2026-05-10T02:05:00.000Z,2026-05-10T02:15:00.000Z,311.586496,313.92054792,44.28032004576326,13797.149764817934,0.7189,5.5189,-108.8714,-1.0977,-1.3811,0.0000,2,0.7084
long,sweep,tp,2026-05-10T10:05:00.000Z,2026-05-10T10:10:00.000Z,2026-05-10T13:15:00.000Z,311.55343799999997,316.02335999999997,60.75653629817885,18928.907764669413,0.5182,7.5716,264.0054,2.6913,-0.5224,2.9027,37,0.7019
long,sigma,sl,2026-05-13T05:40:00.000Z,2026-05-13T05:45:00.000Z,2026-05-13T11:50:00.000Z,304.261251,302.37312084200005,56.0451264548925,17052.360287618787,0.5907,6.8209,-112.6414,-1.1182,-1.4806,2.1691,73,0.6032
