side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,tp,2026-04-24T19:55:00.000Z,2026-04-24T20:00:00.000Z,2026-04-25T16:35:00.000Z,0.18024590999999998,0.17651279999999991,75959.559130717,13691.399858714893,0.7304,5.4766,278.0888,2.7809,-0.8766,3.1492,247,0.7560
long,sweep,tp,2026-04-25T20:05:00.000Z,2026-04-25T20:10:00.000Z,2026-04-26T04:45:00.000Z,0.17675301,0.17895779999999997,127581.44548656534,22550.40450990134,0.4558,9.0202,272.2701,2.6490,-0.1899,3.2857,103,0.7226
short,sweep,tp,2026-04-26T14:40:00.000Z,2026-04-26T14:45:00.000Z,2026-04-26T21:50:00.000Z,0.17854642,0.17662660000000005,148308.34382796247,26479.923846611797,0.3984,10.5920,274.1334,2.5983,-0.9187,3.2984,85,0.8500
long,sweep,tp,2026-04-26T21:50:00.000Z,2026-04-26T21:55:00.000Z,2026-04-27T03:20:00.000Z,0.17735319,0.18165720000000007,71895.35211008637,12750.87004289705,0.8489,5.1003,304.3380,2.8116,-0.1682,3.9498,65,0.8500
long,sweep,sl,2026-04-27T05:20:00.000Z,2026-04-27T05:25:00.000Z,2026-04-27T05:30:00.000Z,0.17855354999999998,0.17679254632,65158.99344103032,11634.369593322677,0.9565,4.6537,-119.3990,-1.0729,-1.0267,0.0000,1,0.7449
short,sweep,sl,2026-04-27T09:05:00.000Z,2026-04-27T09:10:00.000Z,2026-04-27T14:35:00.000Z,0.17704687000000002,0.17820904668,99297.6767083833,17580.342859491167,0.6262,7.0321,-122.4336,-1.1121,-1.1302,1.8461,65,0.8500
long,sweep,tp,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-28T02:20:00.000Z,0.17465238,0.1780428,90726.49317735499,15845.59796247881,0.6871,6.3382,301.2627,2.7672,-0.2937,2.8731,81,0.8500
long,sweep,sl,2026-04-28T06:45:00.000Z,2026-04-28T06:50:00.000Z,2026-04-28T07:15:00.000Z,0.17695307,0.17599438584000002,123508.45492300029,21855.200269581514,0.5119,8.7421,-127.1477,-1.1364,-1.4937,0.7142,5,0.7481
short,sweep,sl,2026-04-29T06:05:00.000Z,2026-04-29T06:10:00.000Z,2026-04-29T07:30:00.000Z,0.18044585,0.18161686872000002,99065.09091971451,17875.884536335165,0.6188,7.1504,-123.1574,-1.1134,-1.3024,0.6680,16,0.7811
long,sweep,sl,2026-04-29T12:15:00.000Z,2026-04-29T12:20:00.000Z,2026-04-29T13:15:00.000Z,0.18185453999999998,0.18038426848,77237.81050504222,14046.04650000162,0.7787,5.6184,-119.1790,-1.0896,-1.1683,0.0321,11,0.7309
long,sweep,sl,2026-04-29T15:15:00.000Z,2026-04-29T15:20:00.000Z,2026-04-29T15:35:00.000Z,0.17725316,0.17579484572,76971.28778001787,13643.403988277552,0.7930,5.4574,-117.7057,-1.0880,-1.4607,0.3179,3,0.7270
long,sweep,tp,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-04-30T00:30:00.000Z,0.17295186999999998,0.18022479999999996,42916.380126865064,7422.468196572149,1.4417,2.9690,309.1588,2.8890,-0.5021,2.9469,75,0.8500
short,sweep,sl,2026-04-30T03:25:00.000Z,2026-04-30T03:30:00.000Z,2026-04-30T03:55:00.000Z,0.18444465000000002,0.185425611,118984.48669942019,21946.052004704212,0.5017,8.7784,-125.4976,-1.1398,-1.1405,1.9935,5,0.7004
short,sweep,sl,2026-04-30T08:45:00.000Z,2026-04-30T08:50:00.000Z,2026-04-30T09:00:00.000Z,0.18364489,0.18482423064,96847.00656522017,17785.457867499135,0.6120,7.1142,-121.3298,-1.1147,-1.3837,0.1289,2,0.7552
short,sweep,sl,2026-04-30T15:30:00.000Z,2026-04-30T15:35:00.000Z,2026-04-30T15:50:00.000Z,0.18604416999999998,0.18833228274000002,48231.123085008774,8973.119262518296,1.1995,3.5892,-113.9475,-1.0587,-1.5486,0.0646,3,0.7572
short,sweep,sl,2026-04-30T15:55:00.000Z,2026-04-30T16:00:00.000Z,2026-04-30T16:05:00.000Z,0.18884333000000003,0.19023665388,79695.38062008351,15049.941061914038,0.7076,6.0200,-117.0615,-1.0992,-1.0901,0.3318,1,0.7318
long,sweep,sl,2026-04-30T22:10:00.000Z,2026-04-30T22:15:00.000Z,2026-04-30T22:35:00.000Z,0.18365508,0.18267897986,114323.47573757498,20996.087082462393,0.5016,8.3984,-119.9896,-1.1392,-1.3623,0.5915,4,0.7380
short,sweep,sl,2026-05-01T03:20:00.000Z,2026-05-01T03:25:00.000Z,2026-05-01T03:35:00.000Z,0.18974306,0.1909382643,91502.21960073037,17361.911143834557,0.5997,6.9448,-116.3086,-1.1170,-1.1925,0.6530,2,0.7078
short,sweep,tp,2026-05-01T03:35:00.000Z,2026-05-01T03:40:00.000Z,2026-05-01T04:25:00.000Z,0.189943,0.18555340000000003,66892.50887774,12705.763813764568,0.8103,5.0823,288.5491,2.8025,-0.0370,2.8866,9,0.8500
long,sweep,tp,2026-05-01T06:40:00.000Z,2026-05-01T06:45:00.000Z,2026-05-01T13:05:00.000Z,0.18535559,0.18850760000000005,94103.29055117631,17442.57094105471,0.6068,6.9770,289.6375,2.7364,-0.8496,2.9734,76,0.7027
long,sweep,sl,2026-05-02T03:05:00.000Z,2026-05-02T03:10:00.000Z,2026-05-02T13:35:00.000Z,0.18725616,0.18557231159999998,66788.77691614816,12506.609896414546,0.8695,5.0026,-117.4648,-1.0802,-1.3857,2.4223,125,0.8500
