side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-24T11:30:00.000Z,2026-04-24T11:35:00.000Z,2026-04-24T12:05:00.000Z,0.26282113,0.2641062081,82927.67877134366,21795.146242961553,0.4588,8.7181,-115.2866,-1.1529,-1.1435,0.3492,6,0.7637
long,sweep,sl,2026-04-24T13:55:00.000Z,2026-04-24T14:00:00.000Z,2026-04-24T14:55:00.000Z,0.26267878,0.2613975572,82182.22283069063,21587.526030853962,0.4579,8.6350,-113.9287,-1.1526,-1.3957,1.2648,11,0.7744
short,sweep,sl,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-27T03:30:00.000Z,0.26202137000000003,0.26470758846,37481.47999513745,9820.94873795351,0.9949,3.9284,-104.6118,-1.0707,-1.0275,2.6167,651,0.7398
long,sweep,sl,2026-04-27T05:30:00.000Z,2026-04-27T05:35:00.000Z,2026-04-27T06:30:00.000Z,0.2570771,0.25521181348000005,54040.212593537835,13892.501136930186,0.6958,5.5570,-106.3575,-1.1003,-2.6148,0.4601,11,0.8500
long,sweep,sl,2026-04-27T13:50:00.000Z,2026-04-27T13:55:00.000Z,2026-04-27T15:15:00.000Z,0.25247572,0.25012354042,41982.044626820134,10599.446944228544,0.9019,4.2398,-102.9891,-1.0773,-2.5803,1.2842,16,0.7480
long,sweep,tp,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-29T09:55:00.000Z,0.24917472999999998,0.25478619999999996,48001.02662863402,11960.64284991269,0.7907,4.7843,264.5721,2.7977,-0.6978,3.0076,460,0.8500
short,sweep,tp,2026-04-29T10:05:00.000Z,2026-04-29T10:10:00.000Z,2026-04-29T13:25:00.000Z,0.25512344,0.2509633999999999,65298.62652773185,16659.210227030206,0.5835,6.6637,264.9812,2.7258,-0.7903,3.0384,39,0.7363
long,sweep,sl,2026-04-29T15:15:00.000Z,2026-04-29T15:20:00.000Z,2026-04-29T15:40:00.000Z,0.24737419,0.24563388772,59921.033590459985,14822.91714840283,0.6737,5.9292,-110.2099,-1.1036,-1.0646,0.5555,4,0.7770
long,sweep,tp,2026-04-29T18:10:00.000Z,2026-04-29T18:15:00.000Z,2026-04-30T01:45:00.000Z,0.23997197,0.2503214,27853.384903464237,6684.031646452573,1.4776,2.6736,285.5930,2.8917,-0.5279,2.9410,90,0.8500
long,sweep,sl,2026-04-30T09:05:00.000Z,2026-04-30T09:10:00.000Z,2026-04-30T09:55:00.000Z,0.24527356,0.24393779670000001,80485.38448532,19740.936780683205,0.5148,7.8964,-115.4058,-1.1357,-1.1671,0.8922,9,0.7040
