side,signalType,reason,signalTime,entryTime,exitTime,entryPrice,exitPrice,quantity,notional,stopPct,fees,pnl,r,maeR,mfeR,barsHeld,confidence
short,sweep,sl,2026-04-24T21:10:00.000Z,2026-04-24T21:15:00.000Z,2026-04-27T01:45:00.000Z,1.43726869,1.4457183854399998,12474.878712992026,17929.752585730934,0.5577,7.1719,-112.5808,-1.1258,-1.0393,2.5285,630,0.7011
long,sweep,sl,2026-04-27T05:30:00.000Z,2026-04-27T05:35:00.000Z,2026-04-27T06:00:00.000Z,1.42132627,1.41414083044,14624.044970973435,20785.53929090593,0.4757,8.3142,-113.3944,-1.1469,-1.0688,0.0000,5,0.7006
long,sweep,sl,2026-04-27T12:40:00.000Z,2026-04-27T12:45:00.000Z,2026-04-27T13:25:00.000Z,1.41082312,1.4060594555800001,20783.664431750964,29322.074298635922,0.3077,11.7288,-110.7352,-1.2272,-1.3873,0.2020,8,0.7313
long,sweep,sl,2026-04-27T19:30:00.000Z,2026-04-27T19:35:00.000Z,2026-04-28T11:40:00.000Z,1.3894167,1.38221441124,14236.890657417083,19780.973635489274,0.4885,7.9124,-110.4506,-1.1430,-1.0043,1.7802,193,0.7053
long,sweep,sl,2026-04-28T11:40:00.000Z,2026-04-28T11:45:00.000Z,2026-04-28T11:45:00.000Z,1.38501538,1.37942084956,18439.70935051351,25539.28105319102,0.3740,10.2157,-113.3772,-1.1868,-1.5472,0.0000,0,0.7125
long,sweep,tp,2026-04-28T21:45:00.000Z,2026-04-28T21:50:00.000Z,2026-04-29T04:20:00.000Z,1.37931367,1.3901674000000006,20530.779744293046,28318.3851570625,0.3023,11.3274,211.5082,2.4708,-0.8187,2.6589,78,0.7309
short,sweep,tp,2026-04-29T09:55:00.000Z,2026-04-29T10:00:00.000Z,2026-04-29T12:10:00.000Z,1.4024791300000001,1.3860658000000006,15998.902411517529,22438.126735060006,0.4301,8.9753,253.6200,2.6279,-0.5008,3.0965,26,0.7022
long,sweep,sl,2026-04-29T13:35:00.000Z,2026-04-29T13:40:00.000Z,2026-04-29T15:00:00.000Z,1.37381202,1.36764798248,17214.53609938824,23649.536612063475,0.4188,9.4598,-115.5709,-1.1668,-1.0623,0.6062,16,0.7751
short,sweep,sl,2026-04-30T00:40:00.000Z,2026-04-30T00:45:00.000Z,2026-04-30T00:45:00.000Z,1.37708675,1.3826736777,18926.036170264826,26062.793640092434,0.3756,10.4251,-116.1635,-1.1867,-1.0273,0.0000,0,0.7253
short,sweep,sl,2026-04-30T09:30:00.000Z,2026-04-30T09:35:00.000Z,2026-05-01T12:20:00.000Z,1.37478744,1.3824732175799999,13303.043180150607,18288.85667784871,0.5289,7.3155,-109.5598,-1.1327,-1.2532,1.7587,321,0.8030
